IDlist,CONCEPT,FORM,ID,NOTES,DOCULECT,,
1,mother,dɨhɨ̄,881,,coat11,,
2,"mother!, mom!",ñāâ,882,,coat11,,
3,father,uvā,883,,coat11,,
4,"father!, dad!",ūvâ,884,,coat11,,
5,"son/daughter, child",ihshá,885,,coat11,,
6,son,$,,,coat11,,
7,daughter,dyōkó,886,,coat11,,
8,cross-sex sibling,$,,,coat11,,
9,brother of man,ení,887,,coat11,,
10,sister of woman,tahan,888,sister in general?,coat11,,
11,aunt,ñāná,889,,coat11,,
12,uncle,dītó,890,,coat11,,
11,man,$,,,coat11,,
12,woman,$,,,coat11,,
13,"owner, boss",tōhó,891,,coat11,,
14,priest,dutu,892,,coat11,,
15,blood,$,,,coat11,,
16,bone,$,,,coat11,,
17,hair,idi,893,,coat11,,
18,face,núu,894,,coat11,,
19,tongue,$,,,coat11,,
20,tooth,$,,,coat11,,
21,mouth,shuhu,895,,coat11,,
22,ear,$,,,coat11,,
23,nose,dítsīn,896,,coat11,,
24,neck,dukun,897,,coat11,,
25,hand,ndaha,898,,coat11,,
26,fingernail,tsiin,899,,coat11,,
27,back,átā,900,,coat11,,
28,"stomach, belly",$,,,coat11,,
29,"intestine, guts",$,,,coat11,,
30,foot,dɨ́hɨn,901,,coat11,,
31,"disease, illness, sickness",kwíhí,902,,coat11,,
32,"herb, medicine",chóhō,903,,coat11,,
33,swelling,$,,,coat11,,
34,pimple,$,,,coat11,,
35,pus,$,,,coat11,,
36,urine,$,,,coat11,,
37,"cloth, clothes",doo,904,,coat11,,
38,"sandal, sandals",ndihshen,905,,coat11,,
39,pants,$,,,coat11,,
40,"blouse, woven blouse",$,,,coat11,,
41,"village, town",ñuú,906,,coat11,,
42,house,vihi,907,,coat11,,
43,"road, trail",itsi,908,,coat11,,
44,post,$,,,coat11,,
45,palm mat,shuvi,909,,coat11,,
46,bed,$,,,coat11,,
47,"stool, chair",$,,,coat11,,
48,animal,kɨtɨ,910,,coat11,,
49,bird,láā,911,,coat11,,
50,fish,tsāká,912,,coat11,,
51,snake,kóō,913,,coat11,,
52,frog,$,,,coat11,,
53,hawk,$,,,coat11,,
54,scorpion,tduhmé,914,,coat11,,
55,cockroach,$,,,coat11,,
56,"grasshopper, cricket",skundi,915,,coat11,,
57,bee,kɨtume,916,,coat11,,
58,"mouse, rat",shtɨ̄ñɨ̄,917,,coat11,,
59,deer,rkuhú,918,a compound of idú ‘horse’ and kuhu ‘wild’,coat11,,
60,squirrel,$,,,coat11,,
61,skunk,$,,,coat11,,
62,(o)possum,$,,,coat11,,
63,raccoon,tɨ́-māhá,919,,coat11,,
64,rabbit,tsīdó,920,,coat11,,
65,vulture,$,,,coat11,,
66,dog,tīná,921,,coat11,,
67,cat,mishtun,922,from Old Sp. mistón,coat11,,
68,rooster,$,,,coat11,,
69,hen,$,,,coat11,,
70,pig,kutsin,923,from Sp. cochino,coat11,,
71,horse,idú,924,,coat11,,
72,sheep,$,,,coat11,,
73,ant,tsóko,925,,coat11,,
74,horn (anatomy),$,,,coat11,,
75,feather,$,,,coat11,,
76,wing,$,,,coat11,,
77,tail,dúhmē,926,,coat11,,
78,tree,utun,927,,coat11,,
79,herb,chóhō,928,,coat11,,
80,grass,ite,929,,coat11,,
81,flower,$,,,coat11,,
82,"maguey, century plant",$,,,coat11,,
83,root,$,,,coat11,,
84,thorn,íñū,930,,coat11,,
85,corn,nuni,931,,coat11,,
86,cornfield,itú,932,,coat11,,
87,fresh ear of corn,$,,,coat11,,
88,nixtamal,$,,,coat11,,
89,"dough, paste",uhshen,933,,coat11,,
90,tortilla,ita,934,,coat11,,
91,"cleared field, cornstalk",$,,,coat11,,
92,"furrow, planting row",$,,,coat11,,
93,"tassel, maize spike",$,,,coat11,,
94,bean,ndutsi,935,,coat11,,
95,green bean,$,,,coat11,,
96,chili pepper,shaha,936,,coat11,,
97,salt,ñɨɨ,937,,coat11,,
98,squash,$,,,coat11,,
99,chayote squash,$,,,coat11,,
100,sugar cane,$,,,coat11,,
101,honey,$,,,coat11,,
102,lard,dēhén,938,,coat11,,
103,egg,ndɨvi,939,,coat11,,
104,tomato,$,,,coat11,,
105,edible tuber,$,,,coat11,,
106,avocado,tɨ̄tsín,940,,coat11,,
107,banana,ndika,941,,coat11,,
108,prickly pear cactus,$,,,coat11,,
109,mamey,ndika kwēhé,942,compound: ‘banana red’,coat11,,
110,custard apple,$,,,coat11,,
111,mushroom,$,,,coat11,,
112,meat,kúñū,943,,coat11,,
113,griddle,$,,,coat11,,
114,"pot, cooking pot",$,,,coat11,,
115,oven,$,,,coat11,,
116,fire,ñúhū,944,,coat11,,
117,ash,$,,,coat11,,
118,charcoal,túūn,945,,coat11,,
119,smoke,uhme,946,,coat11,,
120,"garbage, trash",$,,,coat11,,
121,plate,$,,,coat11,,
122,"gourd, gourd bowl",$,,,coat11,,
123,basket,$,,,coat11,,
124,box,etun,947,,coat11,,
125,thread,shuhve,948,,coat11,,
126,comb,$,,,coat11,,
127,rope,$,,,coat11,,
128,hole,$,,,coat11,,
129,net,$,,,coat11,,
130,soap,nama,949,,coat11,,
131,ring,$,,,coat11,,
132,moon,shóō,950,,coat11,,
133,cloud,$,,,coat11,,
134,lightning,$,,,coat11,,
135,water,ndute,951,,coat11,,
136,rain (precipitation),dávī,952,,coat11,,
137,river,$,,,coat11,,
138,dew,$,,,coat11,,
139,mountain,shuku,953,,coat11,,
140,"plain, flatland, lowland",$,,,coat11,,
141,"stone, rock",shúū,954,,coat11,,
142,cotton,$,,,coat11,,
143,"metal, machete, bell",kāá,955,,coat11,,
144,paper,tutú,956,,coat11,,
145,lime (material),kaka,957,,coat11,,
146,"beeswax, wax",shúmē,958,,coat11,,
147,mud,ndōhshó,959,,coat11,,
148,foam,$,,,coat11,,
149,dust,$,,,coat11,,
150,red,kwēhé,960,,coat11,,
151,green,$,,,coat11,,
152,yellow,$,,,coat11,,
153,black,tūún,961,,coat11,,
154,white,kwīshín,962,,coat11,,
155,one,uun,963,,coat11,,
155,one,ɨɨn,964,following ‘ten’,coat11,,
156,two,úvī,965,,coat11,,
157,three,únī,966,,coat11,,
158,four,kɨ́mī,967,,coat11,,
159,five,úhūn,968,,coat11,,
160,six,íñū,969,,coat11,,
161,seven,úhshē,970,,coat11,,
162,eight,únā,971,,coat11,,
163,nine,ɨ̄ɨ̄n,972,,coat11,,
164,ten,úhshī,973,,coat11,,
165,fifteen,shéhūn,974,,coat11,,
166,twenty,ókō,975,,coat11,,
167,poor,ndāhví,976,,coat11,,
168,rich,$,977,,coat11,,
169,cold,vishín,978,,coat11,,
170,hot,ihni,979,,coat11,,
171,big.SG,kahnu,980,,coat11,,
172,big.PL,nahnu,981,,coat11,,
173,small.SG,lúhndī,982,,coat11,,
174,small.PL,kwetsī,983,,coat11,,
175,long.SG,kani,984,,coat11,,
176,long.PL,nani,985,,coat11,,
177,good,vāhá,986,,coat11,,
178,sweet,$,,,coat11,,
179,salty,$,,,coat11,,
180,bitter,$,,,coat11,,
181,"tasty, delicious",$,,,coat11,,
182,wide,$,,,coat11,,
183,new,$,,,coat11,,
184,"lazy, bothersome",duhshēn,987,,coat11,,
185,ugly,kini,988,,coat11,,
186,jealous,$,,,coat11,,
187,near,etsin,989,,coat11,,
188,far,ikā,990,,coat11,,
189,heavy,vií,991,,coat11,,
190,raw,$,,,coat11,,
191,smooth,ndɨɨ́,992,"only as part of ndu-ndɨɨ́ ‘to become smooth, get ironed’",coat11,,
192,slow,$,,,coat11,,
193,yesterday,iku,993,,coat11,,
194,year,kwíā,994,,coat11,,
195,"now, today",ve,995,,coat11,,
196,night,$,,,coat11,,
197,night time,nīñū,996,,coat11,,
198,day,ndúvi,997,,coat11,,
199,day time,ndúvi,998,,coat11,,
200,"half, middle",dava,999,,coat11,,
201,money,dyuhun,1000,,coat11,,
202,work,tsiñu,1001,,coat11,,
203,word,túhūn,1002,,coat11,,
204,"fault, blame, sin",kwétsi,1003,,coat11,,
205,dream,$,,,coat11,,
206,when,amá,1004,,coat11,,
207,"song, music",$,,,coat11,,
