Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
’	<?>	yo’o, nto’o	ocot11	52	U+2019
i$	i	kiti, kàchi	ocot11	46	U+0069 U+0024
a	a	xa’an, chaká	ocot11	40	U+0061
a$	a	naña, yùcha	ocot11	36	U+0061 U+0024
u	u	ñu’un, tu’un	ocot11	36	U+0075
i	i	ti’in, kiti	ocot11	33	U+0069
t	t	kiti, xito	ocot11	32	U+0074
^n	n	naña, ntòò	ocot11	29	U+005e U+006e
^k	k	kiti, kàchi	ocot11	26	U+005e U+006b
^y	y	yo’o, yuvi	ocot11	22	U+005e U+0079
k	k	chaká, oko	ocot11	19	U+006b
u$	u	yutu, vilu	ocot11	17	U+0075 U+0024
n$	n	tu’un, tsa’un	ocot11	17	U+006e U+0024
ch	ch	nchichi, xichi	ocot11	16	U+0063 U+0068
n	n	ùna, mi’ncha	ocot11	14	U+006e
^s	s	so’o, sa’ma	ocot11	14	U+005e U+0073
o$	o	yo’o, so’o	ocot11	14	U+006f U+0024
^i	i	ixi, iki	ocot11	12	U+005e U+0069
^ts	ts	tsi’i, tsa’un	ocot11	11	U+005e U+0074 U+0073
v	v	yavi, yuvi	ocot11	11	U+0076
o	o	yo’o, so’o	ocot11	10	U+006f
^t	t	to’lo, ti’in	ocot11	8	U+005e U+0074
^ñ	ñ	ñùma, ñuu	ocot11	8	U+005e U+00f1
^v	v	vilu, vichi	ocot11	8	U+005e U+0076
^x	x	xichi, xito	ocot11	7	U+005e U+0078
^ch	ch	chaká, chata	ocot11	7	U+005e U+0063 U+0068
à	à	kàchi, chàa	ocot11	7	U+00e0
m	m	ñùma, sa’ma	ocot11	7	U+006d
ts	ts	ntsítsa, utsi	ocot11	7	U+0074 U+0073
í	í	ntíxi, tsíto	ocot11	7	U+00ed
ñ	ñ	naña, ìñu	ocot11	6	U+00f1
^u	u	utsi, uvi	ocot11	6	U+005e U+0075
^m	m	mi’ncha, mi’í	ocot11	5	U+005e U+006d
aa$	aa	kaa, staa	ocot11	5	U+0061 U+0061 U+0024
e	e	kue’é, sesi’i	ocot11	5	U+0065
x	x	ixi, xixi	ocot11	5	U+0078
à$	à	nchikà, kua’à	ocot11	4	U+00e0 U+0024
á$	á	chaká, yaá	ocot11	4	U+00e1 U+0024
í$	í	nti’í, nchá’í	ocot11	4	U+00ed U+0024
ì	ì	si’ìn, kìni	ocot11	4	U+00ec
ù	ù	ñùma, kùmi	ocot11	4	U+00f9
e$	e	ve’e, se’e	ocot11	3	U+0065 U+0024
s	s	ási, isu	ocot11	3	U+0073
uu$	uu	ñuu, ntuu	ocot11	3	U+0075 U+0075 U+0024
òò$	òò	yòò, ntòò	ocot11	3	U+00f2 U+00f2 U+0024
ì$	ì	niì, yàvì	ocot11	2	U+00ec U+0024
ùù$	ùù	yùù, nùù	ocot11	2	U+00f9 U+00f9 U+0024
l	l	vilu, to’lo	ocot11	2	U+006c
ú	ú	kúni, túmi	ocot11	2	U+00fa
ù$	ù	kù’ù, tsìtù	ocot11	2	U+00f9 U+0024
á	á	nchá’í, tsá’á	ocot11	2	U+00e1
^ù	ù	ùna, ùni	ocot11	2	U+005e U+00f9
ii$	ii	kii, ntii	ocot11	2	U+0069 U+0069 U+0024
^p	p	paa	ocot11	1	U+005e U+0070
ú$	ú	sukú	ocot11	1	U+00fa U+0024
é$	é	kue’é	ocot11	1	U+00e9 U+0024
ò	ò	yòko	ocot11	1	U+00f2
ìs	ìs	kìsi	ocot11	1	U+00ec U+0073
àà$	àà	yàà	ocot11	1	U+00e0 U+00e0 U+0024
ó$	ó	nto’ó	ocot11	1	U+00f3 U+0024
ò$	ò	víkò	ocot11	1	U+00f2 U+0024
^ì	ì	ìñu	ocot11	1	U+005e U+00ec
^ìì	ìì	ììn	ocot11	1	U+005e U+00ec U+00ec
^o	o	oko	ocot11	1	U+005e U+006f
^l	l	luu	ocot11	1	U+005e U+006c
^á	á	ási	ocot11	1	U+005e U+00e1
ee$	ee	vee	ocot11	1	U+0065 U+0065 U+0024
kue kueni ~ kueni kueni	<???>	kue kueni ~ kueni kueni	ocot11	1	U+006b U+0075 U+0065 U+0020 U+006b U+0075 U+0065 U+006e U+0069 U+0020 U+007e U+0020 U+006b U+0075 U+0065 U+006e U+0069 U+0020 U+006b U+0075 U+0065 U+006e U+0069
uu	uu	chuun	ocot11	1	U+0075 U+0075
áá$	áá	yáá	ocot11	1	U+00e1 U+00e1 U+0024
