ID,Doculect,Concept,Form,PMCouplet,CogID_Durr,ToneMod,CitForm
332,atat11,water,ⁿdūtē,HHʔ,4,no,no
432,gran11,water,ⁿdūčā (),HHʔ,4,yes,no
660,ayut11,water,(ti kʷii),HHʔ,4,no,no
830,cahu11,water,(ta kʷiyi),HHʔ,4,no,no
1046,jica11,water,ⁿdùtà,HHʔ,4,no,no
35,peno11,hand,ⁿdàʔà,HHʔ,5,no,no
133,coat11,hand,ⁿdàʔà,HHʔ,5,no,no
202,moli11,hand,ⁿdāʔā (),HHʔ,5,yes,no
272,ocot11,hand,ⁿdāʔá,HHʔ,5,no,no
333,atat11,hand,ⁿdāʔā,HHʔ,5,no,no
433,gran11,hand,ⁿdāʔā (),HHʔ,5,yes,no
608,xaya11,hand,ⁿdāʔà (),HHʔ,5,yes,no
661,ayut11,hand,ⁿdàʔáʔ,HHʔ,5,no,no
729,alac11,hand,ⁿdàʔā,HHʔ,5,no,no
767,metl11,hand,ⁿdàʔā,HHʔ,5,no,no
831,cahu11,hand,ⁿdāʔā,HHʔ,5,no,no
907,mixt11,hand,ⁿdāʔá,HHʔ,5,no,no
964,prog12,hand,ⁿdáʔà,HHʔ,5,no,no
1047,jica11,hand,ⁿdàʔà,HHʔ,5,no,no
134,coat11,clothes,đàʔmà̧,HHʔ,6,no,no
203,moli11,clothes,sāʔmā (),HHʔ,6,yes,no
273,ocot11,clothes,sāʔmā,HHʔ,6,no,no
334,atat11,clothes,sāʔmā,HHʔ,6,no,no
434,gran11,clothes,sāʔmā (),HHʔ,6,yes,no
545,caca11,clothes,đāʔmà̧ (),HHʔ,6,yes,no
609,xaya11,clothes,đāʔmà̧ (),HHʔ,6,yes,no
662,ayut11,clothes,sàʔmáʔ,HHʔ,6,no,no
908,mixt11,clothes,sàʔmǎ,HHʔ,6,no,no
965,prog12,clothes,háʔmà,HHʔ,6,no,no
1048,jica11,clothes,sàʔmà,HHʔ,6,no,no
36,peno11,tree,žùtù̧,HHʔ,7,no,no
204,moli11,tree,žūtū̧ (),HHʔ,7,yes,no
274,ocot11,tree,ñū̧tū̧,HHʔ,7,no,no
335,atat11,tree,žūNū,HHʔ,7,no,no
435,gran11,tree,žūnū (),HHʔ,7,yes,no
546,caca11,tree,žītò̧,HHʔ,7,no,no
663,ayut11,tree,ìtú̧ʔ,HHʔ,7,no,no
768,metl11,tree,yūtú̧,HHʔ,7,no,no
832,cahu11,tree,yītnō,HHʔ,7,no,no
966,prog12,tree,žítò,HHʔ,7,no,no
1049,jica11,tree,yùtù̧,HHʔ,7,no,no
37,peno11,mountain,žùkù,HHʔ,8,no,no
205,moli11,mountain,žūkū (),HHʔ,8,yes,no
275,ocot11,mountain,žūkū,HHʔ,8,no,no
336,atat11,mountain,žūkū,HHʔ,8,no,no
436,gran11,mountain,žūkū (),HHʔ,8,yes,no
833,cahu11,mountain,yǖkǜ,HHʔ,8,no,no
967,prog12,mountain,žǘkǜ,HHʔ,8,no,no
1110,chay11,mountain,yūkū,HHʔ,8,no,no
38,peno11,straw mat,žùù,HHʔ,9,no,no
276,ocot11,straw mat,žūū,HHʔ,9,no,no
337,atat11,straw mat,žūū,HHʔ,9,no,no
437,gran11,straw mat,žūū (),HHʔ,9,yes,no
547,caca11,straw mat,žūù (),HHʔ,9,yes,no
610,xaya11,straw mat,yūì,HHʔ,9,no,no
664,ayut11,straw mat,yìwìʔ,HHʔ,9,no,no
769,metl11,straw mat,yūƀì (),HHʔ,9,yes,no
834,cahu11,straw mat,yīwí,HHʔ,9,no,no
909,mixt11,straw mat,yùƀǐ,HHʔ,9,no,no
1050,jica11,straw mat,yùƀì,HHʔ,9,no,no
1111,chay11,straw mat,yūū,HHʔ,9,no,no
39,peno11,mouth,žùʔù,HHʔ,10,no,no
135,coat11,mouth,šùʔù,HHʔ,10,no,no
206,moli11,mouth,žūʔū (),HHʔ,10,yes,no
277,ocot11,mouth,žūʔú,HHʔ,10,no,no
338,atat11,mouth,žūʔū,HHʔ,10,no,no
438,gran11,mouth,žūʔū (),HHʔ,10,yes,no
548,caca11,mouth,žūʔū (),HHʔ,10,yes,no
665,ayut11,mouth,yùʔúʔ,HHʔ,10,no,no
730,alac11,mouth,yūʔù,HHʔ,10,no,no
770,metl11,mouth,yùʔū,HHʔ,10,no,no
835,cahu11,mouth,yǖʔǖ,HHʔ,10,no,no
910,mixt11,mouth,yūʔú,HHʔ,10,no,no
968,prog12,mouth,žǘʔǜ,HHʔ,10,no,no
1112,chay11,mouth,yūʔū,HHʔ,10,no,no
2,diux11,bone,žɨ̀kɨ̀,HHʔ,11,no,no
40,peno11,bone,žɨ̀kɨ̀,HHʔ,11,no,no
339,atat11,bone,žɨ̄kɨ̄,HHʔ,11,no,no
439,gran11,bone,žɨ̄kɨ̄ (),HHʔ,11,yes,no
666,ayut11,bone,ìkìʔ,HHʔ,11,no,no
771,metl11,bone,īkí,HHʔ,11,no,no
836,cahu11,bone,yīkī,HHʔ,11,no,no
3,diux11,chile,žàʔà,HHʔ,12,no,no
41,peno11,chile,žàʔà,HHʔ,12,no,no
136,coat11,chile,šàʔà,HHʔ,12,no,no
207,moli11,chile,žāʔā (),HHʔ,12,yes,no
340,atat11,chile,žāʔā,HHʔ,12,no,no
440,gran11,chile,žāʔā (),HHʔ,12,yes,no
837,cahu11,chile,yāʔā,HHʔ,12,no,no
911,mixt11,chile,yāʔá,HHʔ,12,no,no
