ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,SubGroup,Number
ixta12,ixta12,,,,,17.54171,-97.11437,,Santiago Ixtaltepec,Mixtec,60
ixta13,ixta13,,,,,18.80685,-100.15039,,San Miguel Ixtapam,Mixtec,61
jami11,jami11,jami1235,,mxt,,16.2279,-97.8417,,Santiago Jamiltepec,Mixtec,62
jate11,jate11,,,,,17.38592,-97.26345,,San Francisco Jaltepetongo,Mixtec,63
jica11,jica11,pino1237,,mio,,16.38086,-98.04128,,Santa María Jicaltepec,Mixtec,64
jica12,jica12,,,,,16.45235,-98.0151,,San Pedro Jicayán,Mixtec,65
jica13,jica13,coic1238,,jmx,,17.12602,-98.196842,,El Jicaral,Mixtec,66
joco11,joco11,,,,,17.7687,-97.07983,,San Pedro Jocotipac,Mixtec,67
juxt11,juxt11,juxt1235,,vmc,,17.3518,-98.0146,,Santiago Juxtlahuaca,Mixtec,68
lore11,lore11,,,,,17.66757,-98.11901,,San Lorenzo,Mixtec,69
mech11,mech11,chay1249,,mih,,16.33471,-97.83626,,Santa Catarina Mechoacán,Mixtec,70
metl11,metl11,metl1238,,mxv,,17.1947,-98.3514,,Metlatónoc,Mixtec,71
mica11,mica11,,,,,18.04537,-97.85057,,El Rosario Micaltepec,Mixtec,72
mixt11,mixt11,mixt1425,,mix,,17.3317,-97.8791,,San Juan Mixtepec,Mixtec,74
moli11,moli11,sanp1259,,mig,,17.10495,-97.54152,,San Pedro Molinos,Mixtec,75
mont12,mont12,sila1250,,mks,,17.6793,-98.02259,,San Sebastián del Monte,Mixtec,77
mont13,mont13,sant1439,,mdv,,16.9969,-97.6277,,Santa Lucía Monteverde,Mixtec,78
mont14,mont14,,,,,17.63031,-97.28821,,San Agustín Monte Lobos,Mixtec,79
more11,more11,tama1339,,vmx,,17.70342,-98.21456,,San Luis Morelia,Mixtec,80
ndua11,ndua11,apas1235,,mip,,17.68547,-97.14745,,San Antonio Nduayaco,Mixtec,81
nuch11,nuch11,sila1250,,mks,,17.65569,-98.10499,,San Jorge Nuchita,Mixtec,83
nund11,nund11,,,,,17.17339,-97.72325,,Santa Cruz Nundaco,Mixtec,85
nund12,nund12,nort2985,,xtn,,17.3312,-97.67444,,Santiago Nundiche,Mixtec,86
nund13,nund13,,,,,17.60855,-97.68566,,Santo Domingo Nundo,Mixtec,87
nuti11,nuti11,,,,,16.48542,-97.90405,,Santa María Nutio,Mixtec,88
nuxa11,nuxa11,,,,,17.21663,-97.12285,,Santo Domingo Nuxaá,Mixtec,89
nuxi11,nuxi11,,,,,17.23883,-97.10497,,San Andrés Nuxiño,Mixtec,90
nuyo11,nuyo11,nuyo1238,,meh,,17.0147,-97.76674,,Santiago Nuyoó,Mixtec,91
ocot11,ocot11,ocot1243,,mie,,17.14419,-97.76322,,Santo Tomás Ocotepec,Mixtec,92
papa11,papa11,sant1437,,cux,,17.26813,-96.56338,,Santa María Pápalo,Cuicatec,93
pena11,pena11,magd1235,,xtm,,17.2837,-97.5413,,Magdalena Peñasco,Mixtec,94
pena12,pena12,sanm1293,,xtm,,17.15127,-97.53321,,San Mateo Peñasco,Mixtec,95
peno11,peno11,sant1445,,mil,,17.07959,-97.00272,,Santa María Peñoles,Mixtec,96
pied11,pied11,sanm1294,,xtp,,16.9944,-97.2056,,San Miguel Piedras,Mixtec,100
pied12,pied12,NA,,NA,,17.380833,-98.185833,,Piedra Azul,Mixtec,101
pino11,pino11,pino1237,,mio,,16.3043,-97.9966,,Santiago Pinotepa Nacional,Mixtec,103
pino12,pino12,pino1237,,mio,,16.42666,-97.97647,,Pinotepa de Don Luis,Mixtec,104
prog11,prog11,,,,,17.1743,-97.79838,,San Miguel Progreso,Mixtec,107
prog12,prog12,sila1250,,mks,,17.44616,-98.15466,,San Jerónimo Progreso,Mixtec,108
prom01,prom01,mixt1427,,,,,,,Proto-Mixtec,Mixtec,109
reye11,reye11,,,,,17.43262,-97.93997,,Santos Reyes Tepejillo,Mixtec,111
sayu11,sayu11,pino1237,,mio,,16.59537,-98.12933,,San Francisco Sayultepec,Mixtec,112
sind11,sind11,sind1277,,xts,,17.02,-97.3036,,San Mateo Sindihui,Mixtec,114
sini11,sini11,sini1243,,xti,,17.2218,-97.5904,,San José Sinicahua,Mixtec,115
soso11,soso11,,,,,17.36657,-97.03295,,San Jerónimo Sosola,Mixtec,116
soya11,soya11,soya1236,,vmq,,17.5892,-97.1921,,San Bartolo Soyaltepec,Mixtec,117
tama11,tama11,tama1339,,vmx,,17.1258,-97.0998,,San Juan Tamazola,Mixtec,118
tama12,tama12,,,,,17.67041,-98.2216,,Santiago Tamazola,Mixtec,119
tata11,tata11,sant1444,,,,17.14222,-97.39407,,Santa María Tataltepec,Mixtec,120
teco11,teco11,,,,,17.34568,-98.0312,,San Sebastián Tecomaxtlahuaca,Mixtec,121
teit11,teit11,sanj1282,,xtj,,17.1542,-97.3899,,San Juan Teita,Mixtec,122
tejo11,tejo11,,,,,17.31342,-97.89609,,Los Tejocotes,Mixtec,123
tepe03,tepe03,tepe1280,,cux,,18.72299,-95.84118,,San Juan Tepeuxila 1900,Mixtec,126
tepe11,tepe11,,,,,18.05265,-97.83906,,Tepejillo,Mixtec,127
tepe12,tepe12,,,,,16.54182,-98.06578,,San Antonio Tepetlapa,Mixtec,128
tepo01,tepo01,,,,,17.51167,-97.48883,,San Pedro y San Pablo Teposcolula 1600,Mixtec,130
tepo11,tepo11,,,,,17.51167,-97.48883,,San Pedro y San Pablo Teposcolula,Mixtec,131
tida11,tida11,tida1235,,mtx,,17.4142,-97.3333,,San Pedro Tidaá,Mixtec,135
tila11,tila11,diux1236,,xtd,,17.3596,-97.3861,,Santiago Tilantongo,Mixtec,137
tlac11,tlac11,sana1284,,xtm,,17.20365,-97.51853,,San Agustín Tlacotepec,Mixtec,139
tlac12,tlac12,,,,,17.45511,-98.00552,,San Miguel Tlacotepec,Mixtec,140
tlah11,tlah11,alco1235,,xta,,17.37553,-98.33826,,Tlahuapa,Mixtec,141
tlal11,tlal11,,,,,18.61485,-98.08867,,Santa Catarina Tlaltempan,Mixtec,142
tlaz11,tlaz11,sant1446,,mqh,,17.0274,-96.99583,,Santiago Tlazoyaltepec,Mixtec,143
tona11,tona11,,,,,18.20057,-97.89437,,Santa María Tonahuixtla,Mixtec,145
toto12,toto12,chaz1235,,xtb,,18.22581,-97.85526,,Totoltepec de Guerrero,Mixtec,147
tutu11,tutu11,tutu1243,,mtu,,16.12968,-97.60452,,Villa de Tututepec de Melchor Ocampo,Mixtec,148
xaya11,xaya11,south3001,,mit,,18.22159,-97.91563,,San Jerónimo Xayacatlán,Mixtec,150
xaya12,xaya12,south3001,,mit,,18.2353,-97.97435,,Xayacatlán de Bravo,Mixtec,151
