ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish_Gloss,Number
1_animal,ANIMAL,619,ANIMAL,animal,1
2_avocado,AVOCADO,3725,AVOCADO,aguacate,2
3_back,BACK,1291,BACK,espalda,3
4_banana,BANANA,868,BANANA,plátano,4
5_tortillabasket,TORTILLA BASKET,,,tenate,5
6_bellyorstomach,BELLY OR STOMACH,819,STOMACH,estómago,6
7_bigplural,BIG (PLURAL),1202,BIG,grande.PL,7
8_bigsingular,BIG (SINGULAR),1202,BIG,grande.SG,8
9_bird,BIRD,937,BIRD,pájaro,9
10_black,BLACK,163,BLACK,negro,10
11_bone,BONE,1394,BONE,hueso,11
12_brotherofman,BROTHER (OF MAN),559,BROTHER (OF MAN),hermano de hombre,12
13_cat,CAT,1208,CAT,gato,13
14_chayote,CHAYOTE,,,chayote,14
15_childdescendant,CHILD (DESCENDANT),1801,CHILD (DESCENDANT),hijo/hija,15
16_clothorclothes,CLOTH OR CLOTHES,,,"tela, ropa",16
17_cookingpot,COOKING POT,3653,COOKING POT,olla,17
18_corn,CORN,506,MAIZE,maíz,18
19_cornfield,CORN FIELD,449,CORN FIELD,milpa,19
20_crosssexsibling,CROSS-SEX SIBLING,,,hermana/hermano de otro genero,20
21_day24hours,DAY (24 HOURS),1260,DAY (24 HOURS),día,21
23_deer,DEER,1936,DEER,venado,23
24_dew,DEW,1977,DEW,rocío,24
25_disease,DISEASE,1986,DISEASE,enfermedad,25
26_dog,DOG,2009,DOG,perro,26
27_egg,EGG,744,EGG,huevo,27
28_eight,EIGHT,1705,EIGHT,ocho,28
29_face,FACE,1560,FACE,cara,29
30_far,FAR,1406,FAR,lejos,30
31_fatfromanimals,FAT (FROM ANIMALS),1282,FAT (FROM ANIMALS),manteca,31
32_father,FATHER,1217,FATHER,padre,32
33_fifteen,FIFTEEN,1709,FIFTEEN,quince,33
34_fish,FISH,227,FISH,pez,34
35_five,FIVE,493,FIVE,cinco,35
36_flower,FLOWER,239,FLOWER,flor,36
37_foot,FOOT,1301,FOOT,pie,37
38_four,FOUR,1500,FOUR,cuatro,38
39_good,GOOD,1035,GOOD,bueno,39
40_grass,GRASS,606,GRASS,zacate,40
43_hand,HAND,1277,HAND,mano,43
44_heavy,HEAVY,1210,HEAVY,pesado,44
45_hen,HEN,1514,HEN,gallina,45
46_hole,HOLE,1667,HOLE,hoyo,46
47_hornanatomy,HORN (ANATOMY),1393,HORN (ANATOMY),cuerno,47
48_hot,HOT,1286,HOT,caliente,48
49_house,HOUSE,1252,HOUSE,casa,49
50_longplural,LONG (PLURAL),1203,LONG,largo.PL,50
51_longsingular,LONG (SINGULAR),1203,LONG,largo.SG,51
52_limematerial,LIME (MATERIAL),2540,LIME (MATERIAL),cal,52
53_man,MAN,1554,MAN,hombre,53
54_meat,MEAT,2615,FLESH OR MEAT,carne,54
55_medicine,MEDICINE,1372,MEDICINE,medicina,55
56_metal,METAL,2244,METAL,metal,56
57_money,MONEY,1559,MONEY,dinero,57
58_mother,MOTHER,1216,MOTHER,madre,58
59_mothervocative,MOTHER VOCATIVE,,,mamá!,59
60_mountainorhill,MOUNTAIN OR HILL,,,monte,60
61_mouth,MOUTH,674,MOUTH,boca,61
62_mud,MUD,640,MUD,lodo,62
64_mushroom,MUSHROOM,641,MUSHROOM,hongo,64
65_song,SONG,1096,SONG,canción,65
66_near,NEAR,1942,NEAR,"cerca de, está cerca",66
67_nighttime,NIGHT TIME,,,de noche,67
68_nine,NINE,1483,NINE,nueve,68
69_nose,NOSE,1221,NOSE,nariz,69
70_nowortoday,NOW OR TODAY,1376,NOW,"ahora, hoy",70
71_one,ONE,1493,ONE,uno,71
72_paper,PAPER,648,PAPER,"papel, libro",72
73_path,PATH,2252,PATH,camino,73
74_pig,PIG,1337,PIG,marrano,74
75_plate,PLATE,480,PLATE,plato,75
76_poor,POOR,1674,POOR,pobre,76
77_possum,POSSUM,470,POSSUM,tlacuache,77
78_pricklypearcactus,PRICKLY PEAR CACTUS,,,nopal,78
79_priest,PRIEST,852,PRIEST,sacerdote,79
80_pumpkin,PUMPKIN,864,PUMPKIN,calabaza,80
81_rabbit,RABBIT,1136,RABBIT,conejo,81
82_rainprecipitation,RAIN (PRECIPITATION),658,RAIN (PRECIPITATION),lluvia,82
83_red,RED,156,RED,rojo,83
84_rich,RICH,712,RICH,rico,84
85_rooster,ROOSTER,1511,ROOSTER,gallo,85
86_rope,ROPE,1218,ROPE,mecate,86
87_salt,SALT,1274,SALT,sal,87
88_salty,SALTY,1091,SALTY,salado,88
89_scorpion,SCORPION,1538,SCORPION,alacrán,89
90_seven,SEVEN,1704,SEVEN,siete,90
91_sheep,SHEEP,1331,SHEEP,borrego,91
92_six,SIX,1703,SIX,seis,92
93_slow,SLOW,701,SLOW,despacio,93
94_smallsingular,SMALL (SINGULAR),1246,SMALL,chico.SG,94
95_snake,SNAKE,730,SNAKE,culebra,95
96_stoneorrock,STONE OR ROCK,857,STONE,piedra,96
97_sugarcane,SUGAR CANE,146,SUGAR CANE,caña,97
98_tasty,TASTY,1813,TASTY,sabroso,98
99_ten,TEN,1515,TEN,diez,99
100_thread,THREAD,1161,THREAD,"hilo, hilado",100
101_three,THREE,492,THREE,tres,101
102_tomato,TOMATO,986,TOMATO,jitomate,102
103_tortilla,TORTILLA,,,tortilla,103
104_townorvillage,TOWN OR VILLAGE,3609,TOWN OR VILLAGE,pueblo,104
105_tree,TREE,906,TREE,"árbol, palo",105
106_twenty,TWENTY,1710,TWENTY,veinte,106
107_two,TWO,1498,TWO,dos,107
108_ugly,UGLY,1548,UGLY,"feo, bravo",108
109_water,WATER,948,WATER,agua,109
110_when,WHEN,1238,WHEN,cuándo,110
111_white,WHITE,1335,WHITE,blanco,111
112_wing,WING,1257,WING,ala,112
113_woman,WOMAN,962,WOMAN,mujer,113
114_word,WORD,1599,WORD,palabra,114
