ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish_Gloss,Number
115_workingorwork,WORKING OR WORK,1086,WORK (ACTIVITY),trabajo,115
116_year,YEAR,1226,YEAR,año,116
117_yellow,YELLOW,1424,YELLOW,amarillo,117
118_yesterday,YESTERDAY,1174,YESTERDAY,ayer,118
119_aunt,AUNT,1272,AUNT,tía,119
121_bean,BEAN,832,BEAN,frijol,121
122_beeswax,BEESWAX,1931,BEESWAX,cera,122
124_chilipepper,CHILI PEPPER,919,CHILI PEPPER,chile,124
126_cloud,CLOUD,1489,CLOUD,nube,126
127_cotton,COTTON,1850,COTTON,algodón,127
129_daughter,DAUGHTER,1357,DAUGHTER,hija,129
130_daynotnight,DAY (NOT NIGHT),1225,DAY (NOT NIGHT),de día,130
131_ear,EAR,1247,EAR,oreja,131
132_earofcornfresh,EAR OF CORN (FRESH),,,elote,132
133_blame,BLAME,381,BLAME,culpa,133
134_fire,FIRE,221,FIRE,"lumbre, fuego",134
135_gourdbowl,GOURD BOWL,,,jícara,135
136_hair,HAIR,1040,HAIR,"pelo, cabello",136
137_half,HALF,816,HALF,medio,137
138_horse,HORSE,615,HORSE,caballo,138
139_lazy,LAZY,1564,LAZY,flojo,139
140_moon,MOON,1313,MOON,luna,140
141_neck,NECK,1333,NECK,cuello,141
143_night,NIGHT,1233,NIGHT,noche,143
144_owner,OWNER,1036,OWNER,dueño,144
145_raw,RAW,1959,RAW,crudo,145
146_river,RIVER,666,RIVER,río,146
147_sandal,SANDAL,,,huarache,147
148_sisterofwoman,SISTER (OF WOMAN),,,hermana de mujer,148
150_tail,TAIL,1220,TAIL,cola,150
151_uncle,UNCLE,1327,UNCLE,tío,151
152_ant,ANT,587,ANT,hormiga,152
153_ash,ASH,646,ASH,ceniza,153
154_bed,BED,1663,BED,"cama, lecho",154
155_bee,BEE,665,BEE,abeja,155
157_bitter,BITTER,887,BITTER,amarga cosa,157
158_blood,BLOOD,946,BLOOD,sangre,158
159_blousewoven,BLOUSE (WOVEN),,,huipil,159
160_cold,COLD,1287,COLD,frío,160
161_comb,COMB,1475,COMB,peine,161
162_dream,DREAM,2455,DREAMING OR DREAM,sueño,162
163_dust,DUST,2,DUST,polvo,163
164_feather,FEATHER,1201,FEATHER,pluma de aue pequeña,164
165_foam,FOAM,1768,FOAM,espuma,165
166_frog,FROG,503,FROG,rana,166
167_furrow,FURROW,1794,FURROW,surco de arado,167
168_garbage,GARBAGE,909,GARBAGE,basura,168
169_green,GREEN,1425,GREEN,color verde,169
170_griddle,GRIDDLE,,,comal,170
171_honey,HONEY,942,HONEY,miel,171
172_intestines,INTESTINES,1991,INTESTINES,"tripa, tripas",172
173_jealous,JEALOUS,2821,JEALOUS,celoso,173
175_lightning,LIGHTNING,1654,LIGHTNING,rayo del cielo,175
177_mat,MAT,195,MAT,petate,177
178_iron,IRON,3324,IRON OR METAL,"hierro, metal",178
179_net,NET,2963,NET,red,179
180_new,NEW,1231,NEW,nuevo,180
181_oven,OVEN,1143,OVEN,horno,181
182_pimple,PIMPLE,1809,PIMPLE,grano,182
183_plain,PLAIN,652,PLAIN,llanura de campo,183
184_pus,PUS,1808,PUS,"materia, podre",184
185_ring,RING,1374,RING,anillo,185
186_root,ROOT,670,ROOT,raíz,186
187_skunk,SKUNK,,,zorrillo,187
188_smokeexhaust,SMOKE (EXHAUST),778,SMOKE (EXHAUST),humo,188
189_smooth,SMOOTH,1234,SMOOTH,lisa cosa,189
190_soap,SOAP,788,SOAP,jabón,190
191_son,SON,1620,SON,hijo,191
192_stool,STOOL,1476,CHAIR,silla,192
193_swelling,SWELLING,1903,SWELLING,hinchazón,193
194_tassel,TASSEL,,,espiga de trigo,194
195_thorn,THORN,124,THORN,espina,195
196_tongue,TONGUE,1205,TONGUE,lengua,196
197_tooth,TOOTH,1380,TOOTH,diente,197
198_urine,URINE,1142,URINE,orina,198
199_wide,WIDE,1243,WIDE,ancha cosa como estera,199
200_boxorchest,BOX OR CHEST,1592,CHEST,cajón,200
202_cockroach,COCKROACH,1575,COCKROACH,cucaracha,202
203_corndough,CORN DOUGH,,,masa,203
204_cornstalk,CORN STALK,,,rastrojo,204
205_fingernail,FINGERNAIL,1258,FINGERNAIL,uña,205
206_greenbean,GREEN BEAN,,,"ejote, vaina",206
207_hawk,HAWK,3258,FALCON,gavilán,207
208_muroidmouseorrat,MUROID (MOUSE OR RAT),2139,MUROID (MOUSE OR RAT),"ratón, rata",208
209_nixtamal,NIXTAMAL,,,nixtamal,209
210_post,POST,281,POST,horcón,210
211_raccoon,RACCOON,828,RACCOON,mapache,211
212_smallplural,SMALL (PLURAL),1246,SMALL,pequeño.PL,212
213_squirrel,SQUIRREL,1628,SQUIRREL,ardilla,213
214_sweetpotato,SWEET POTATO,159,SWEET POTATO,camote,214
215_vulture,VULTURE,1185,VULTURE,zopilote,215
217_herbaceousplant,HERBACEOUS PLANT,,,"hierba, hoja",217
218_maguey,MAGUEY,,,maguey,218
219_mamey,MAMEY,,,mamey,219
221_music,MUSIC,642,MUSIC,música,221
223_trousers,TROUSERS,809,TROUSERS,pantalón,223
224_chicken,CHICKEN,1318,CHICKEN,pollo,224
226_rat,RAT,1490,RAT,rata,226
227_clothes,CLOTHES,1895,CLOTHES,ropa,227
229_fathervocative,FATHER VOCATIVE,,,"padre!, papá!",229
231_leaf,LEAF,2250,LEAF (LEAFLIKE OBJECT),hoja,231
236_loose,LOOSE,2506,LOOSE,flojo (una cosa amarrado),236
262_leg,LEG,1297,LEG,pierna,262
266_slippery,SLIPPERY,3702,SLIPPERY,resbala,266
275_sweet,SWEET,717,SWEET,dulce,275
