Grapheme	IPA	Frequency
^đ	ð	15
a	*a/a	30
ʔ	ʔ	33
a$	*a/a	26
^ñ	ɲ	7
a̧	*a̧/ã	6
n	n	21
i̧$	*i̧/ĩ	10
^č	tʃ	3
i	*i/i	31
-	+	14
ž	ʒ	3
e	*e/e	13
e$	*e/e	13
^x	*x/ʃ	4
u	*u/u	18
t	t	13
u$	*u/u	14
^n	n	4
í̧	ĩ ⁵	1
ñ	ɲ	13
ì̧$	ĩ ¹	2
o̧	*o̧/õ	13
o̧$	*o̧/õ	17
^ž	ʒ	16
o	*o/o	4
o$	*o/o	5
i̧	*i̧/ĩ	12
k	k	6
u̧$	*u̧/ũ	12
^š	ʃ	5
kʷ	kʷ	4
č	tʃ	8
i$	*i/i	19
^s	s	3
^kʷ	kʷ	10
^tʸ	tʲ	1
u̧	*u̧/ũ	8
ⁿd	ⁿd	1
y	*y/ʒ	7
^ⁿd	ⁿd	11
đ	ð	14
^ⁿǰ	ⁿdʒ	3
s	s	5
a̧$	*a̧/ã	15
^k	k	12
l	l	4
^w	*w/β	6
ɨ̧	*ɨ̧/ɨ̃	1
ɨ̧$	*ɨ̧/ɨ̃	1
ú	u ⁵	1
ú$	u ⁵	1
^t	t	7
ȼ	ts	1
m	m	4
^ⁿdʸ	ⁿdʲ	1
^tn	tⁿ	7
ȩ	*ȩ/ẽ	1
ȩ$	*ȩ/ẽ	1
^i	*i/i	3
^ƀ	β	4
š	ʃ	5
w	*w/β	12
ó	o ⁵	1
ó$	o ⁵	1
ì̧	ĩ ¹	1
ⁿz	ⁿz	2
^m	m	1
c	k	1
^ⁿz	ⁿz	1
^u	*u/u	4
^o̧	*o̧/õ	3
^i̧	*i̧/ĩ	2
^u̧	*u̧/ũ	1
^a	*a/a	2
^a̧	*a̧/ã	1
