Grapheme	IPA	Frequency
^b	*b/β	1
an	ã 	1
k	k	7
u$	*u/u	14
^ƀ	β	5
e	*e/e	4
e$	*e/e	6
ʔ	ʔ	23
i	*i/i	21
đ	ð	5
i$	*i/i	18
l	l	1
š	ʃ	3
^č	tʃ	2
i̧	*i̧/ĩ	4
i̧$	*i̧/ĩ	8
^c	k	1
o̧	*o̧/õ	4
o̧$	*o̧/õ	4
^čʸ	tʃʲ	1
^đ	ð	5
a	*a/a	17
ƀ	β	4
w	*w/β	3
a$	*a/a	20
t	t	9
o	*o/o	5
o$	*o/o	7
^i	*i/i	4
^i̧	*i̧/ĩ	1
ñ	ɲ	4
u̧$	*u̧/ũ	8
^k	k	5
č	tʃ	4
n	n	5
u̧	*u̧/ũ	9
m	m	6
^kʷ	kʷ	6
a̧	*a̧/ã	5
a̧$	*a̧/ã	6
y	*y/ʒ	2
^l	l	2
u	*u/u	14
^n	n	3
-	+	4
^ⁿč	ⁿtʃ	1
s	s	5
^ⁿd	ⁿd	9
kʷ	kʷ	1
ȼ	ts	2
^ⁿǰ	ⁿdʒ	2
x	*x/ʃ	1
^ⁿz	ⁿz	1
^ñ	ɲ	5
ȩ	*ȩ/ẽ	1
ȩ$	*ȩ/ẽ	1
^o̧	*o̧/õ	1
^š	ʃ	7
^s	s	5
^t	t	4
^tʸ	tʲ	1
^u̧	*u̧/ũ	2
^u	*u/u	3
^y	*y/j	1
^ỹ	j̃	1
^ž	ʒ	11
^θ	θ	2
