Grapheme	IPA	Frequency
^đ	ð	11
a	*a/a	23
ʔ	ʔ	36
ž	ʒ	7
a$	*a/a	20
^ñ	ɲ	12
a̧	*a̧/ã	10
n	n	16
i̧$	*i̧/ĩ	9
^t	t	6
e	*e/e	15
e$	*e/e	11
^i	*i/i	6
-	+	18
t	t	13
o	*o/o	12
o$	*o/o	8
u	*u/u	17
u$	*u/u	21
^n	n	10
ɨ̧	*ɨ̧/ɨ̃	5
ñ	ɲ	10
ɨ̧$	*ɨ̧/ɨ̃	4
o̧	*o̧/õ	4
o̧$	*o̧/õ	7
^ž	ʒ	20
i̧	*i̧/ĩ	12
u̧	*u̧/ũ	15
u̧ᵑ$	ũ	1
ɨ$	*ɨ/ɨ	8
^kʷ	kʷ	8
i	*i/i	12
i$	*i/i	12
^ⁿd	ⁿd	13
ɨ	*ɨ/ɨ	13
đ	ð	13
^ⁿǰ	ⁿdʒ	4
i̧ᵑ$	ĩ	2
u̧$	*u̧/ũ	12
^w	*w/β	8
ɨ̧ᵑ$	ɨ̃	1
^k	k	13
^č	tʃ	3
^l	l	2
w	*w/β	10
a̧$	*a̧/ã	7
m	m	9
ȩ$	*ȩ/ẽ	7
k	k	9
ȩ	*ȩ/ẽ	2
l	l	2
č	tʃ	6
ŋ$	ŋ	1
ⁿd	ⁿd	4
y	*y/ʒ	1
^i̧	*i̧/ĩ	3
^m	m	1
^f	f	1
r̃	rː	1
^u	*u/u	5
^u̧	*u̧/ũ	2
^o̧	*o̧/õ	1
ṣ̌	ʂ	1
sʸ	sʲ	1
š	ʃ	1
^a	*a/a	2
