Grapheme	IPA	Frequency
^n	n	32
ā	a ³	26
n	n	31
á$	a ⁵	11
^t	t	33
t	t	45
^s	s	23
e	*e/e	9
h	*h/ʔ	34
ē$	e ³	14
è	e ¹	9
ʔ	ʔ	39
ē	e ³	9
-	+	19
s	s	12
í	i ⁵	8
i$	*i/i	17
^kw	kʷ	7
a	*a/a	16
ā$	a ³	14
^kʷ	kʷ	10
à	a ¹	10
^ñ	ɲ	27
ì$	i ¹	12
ā̧	ã ³	5
ì̧$	ĩ ¹	9
^k	k	29
u	*u/u	14
u$	*u/u	10
ù	u ¹	16
ù$	u ¹	15
^sh	ʃ	6
ī	i ³	23
sh	ʃ	6
^š	ʃ	6
š	ʃ	6
o$	*o/o	8
ò$	o ¹	5
e$	*e/e	6
ān$	ã ³	2
^x	*x/ʃ	14
ō	o ³	6
ì̧	ĩ ¹	7
ñ	ɲ	16
^ī	i ³	12
ī$	*ī/i ³	18
^ž	ʒ	20
á	a ⁵	14
ù̧	ũ ¹	10
ū̧$	ũ ³	9
^y	*y/j	8
ū	u ³	25
ú$	u ⁵	9
i	*i/i	19
in$	ĩ	3
ò	o ¹	4
ō$	o ³	6
ì	i ¹	16
k	k	28
un$	*un/ũ	4
ù̧$	ũ ¹	9
d	d	11
a$	*a/a	17
^ⁿd	ⁿd	8
í̧	ĩ ⁵	1
í̧$	ĩ ⁵	5
^ch	tʃ	2
x	*x/ʃ	13
īn$	ĩ ³	4
^č	tʃ	2
è$	e ¹	4
an$	*an/ã	2
à̧	ã ¹	6
à̧$	ã ¹	7
ī̧	ĩ ³	6
^ⁿt	ⁿt	7
ž	ʒ	7
kʷ	kʷ	3
m	m	17
ū̧	ũ ³	11
^v	β	6
^ƀ	β	6
ch	tʃ	6
č	tʃ	5
ū$	u ³	16
à$	a ¹	14
y	*y/ʒ	5
é$	e ⁵	3
í:	i ⁵ i ⁵	1
í$	i ⁵	16
^ʔ	ʔ	13
â̧	ã ⁵¹	1
^l	l	5
l	l	6
ín$	ĩ ⁵	1
i̧$	*i̧/ĩ	2
i̧	*i̧/ĩ	3
ūn$	ũ ³	2
ƀ	β	5
ȩ̄$	ẽ ³	1
o	*o/o	3
ī̧$	*ī̧/ĩ ³	4
^nᵗ	ⁿd	1
ēn$	ẽ ³	1
v	β	9
ā̧$	ã ³	3
^m	m	2
ⁿd	ⁿd	1
é	e ⁵	2
ú	u ⁵	5
u̧	*u̧/ũ	1
u̧$	*u̧/ũ	2
ú̧	ũ ⁵	1
á̧$	ã ⁵	1
ūún$	ũ ³ ũ ⁵	1
^u	*u/u	6
^ū	u ³	1
^i	*i/i	2
ò̧$	õ ¹	1
^o	*o/o	1
ú̧$	ũ ⁵	1
^ā	a ³	1
kw	kʷ	1
ún$	ũ ⁵	1
tʸ	tʲ	1
p	p	1
