Grapheme	IPA	Frequency
^a	*a/a	1
r	*r/ɾ	1
d	d	1
i	*i/i	17
y	*y/ʒ	2
a$	*a/a	20
^č	tʃ	2
a	*a/a	20
ž	ʒ	3
i$	*i/i	26
i̧	*i̧/ĩ	6
ñ	ɲ	4
o̧$	*o̧/õ	10
^ȼ	ts	1
e	*e/e	7
e$	*e/e	5
^đ	ð	9
ƀ	β	6
w	*w/β	5
ʔ	ʔ	28
N	n̥	4
n	n	14
i̧$	*i̧/ĩ	12
t	t	7
ɨ	*ɨ/ɨ	5
x	*x/ʃ	2
ɨ̧$	*ɨ̧/ɨ̃	1
o	*o/o	3
o$	*o/o	5
u̧	*u̧/ũ	6
m	m	7
a̧$	*a̧/ã	7
^i	*i/i	7
đ	ð	6
u$	*u/u	11
^i̧	*i̧/ĩ	4
k	k	5
l	l	2
ɨ$	*ɨ/ɨ	5
š	ʃ	6
^ɨ̧ɨ̧$	ɨ̃ ɨ̃	1
^ɨ	*ɨ/ɨ	1
^k	k	10
č	tʃ	2
ɨ̧	*ɨ̧/ɨ̃	1
o̧	*o̧/õ	7
u	*u/u	15
^kʷ	kʷ	5
-	+	3
^l	l	1
^m	m	1
c	k	1
^n	n	4
a̧	*a̧/ã	4
^ⁿd	ⁿd	12
kʷ	kʷ	1
í	i ⁵	1
s	s	3
ȼ	ts	4
ì̧	ĩ ¹	1
ì̧$	ĩ ¹	1
^ⁿǰ	ⁿdʒ	1
^	NULL	1
^ⁿz	ⁿz	2
^ñ	ɲ	7
u̧$	*u̧/ũ	6
^o̧	*o̧/õ	1
^s	s	3
^š	ʃ	6
^t	t	4
^tʸ	tʲ	1
^u	*u/u	4
^u̧	*u̧/ũ	2
^w	*w/β	7
ⁿz	ⁿz	1
^xʷ	*xʷ/ʃʷ	1
^y	*y/j	2
^ž	ʒ	9
