Grapheme	IPA	Frequency
^s	s	8
ē	e ³	2
ʔ	ʔ	23
ē$	e ³	4
é	e ⁵	2
^k	k	18
ū	u ³	7
ƀ	β	8
ā$	a ³	14
^y	*y/j	12
ā	a ³	7
n	n	6
ī$	*ī/i ³	13
^š	ʃ	6
ī	i ³	11
š	ʃ	8
t	t	14
ò$	o ¹	2
^tʸ	tʲ	5
à	a ¹	15
a	*a/a	3
a$	*a/a	1
^n	n	6
ī̧	ĩ ³	3
ì̧	ĩ ¹	4
ī̧$	*ī̧/ĩ ³	10
^ī	i ³	4
k	k	3
í$	i ⁵	5
ù	u ¹	9
ū$	u ³	8
^ⁿd	ⁿd	4
^č	tʃ	2
í̧	ĩ ⁵	2
ì̧$	ĩ ¹	2
^t	t	10
-	+	7
à̧	ã ¹	1
$	NULL	5
ā̧	ã ³	1
^kʷ	kʷ	7
ñ	ɲ	3
ū̧$	ũ ³	3
^ƀ	β	9
č	tʃ	5
ì	i ¹	11
ì$	i ¹	6
y	*y/ʒ	3
ù$	u ¹	3
á$	a ⁵	2
ō	o ³	3
ò	o ¹	2
ō$	o ³	1
i	*i/i	1
s	s	4
ù̧	ũ ¹	7
m	m	8
à̧$	ã ¹	1
l	l	3
ú$	u ⁵	1
ū̧	ũ ³	1
a̧$	*a̧/ã	1
ú̧$	ũ ⁵	2
à$	a ¹	5
^ī̧	ĩ ³	1
.	NULL	1
ù̧$	ũ ¹	1
^ñ	ɲ	1
ú̧	ũ ⁵	1
ā̧$	ã ³	1
i̧$	*i̧/ĩ	1
ó$	o ⁵	1
tʸ	tʲ	3
^í	i ⁵	2
'	ʔ	1
^ⁿdʸ	ⁿdʲ	1
á	a ⁵	6
^l	l	1
á̧	ã ⁵	2
á̧$	ã ⁵	3
^ī̧ī̧$	ĩ ³ ĩ ³	1
í	i ⁵	1
kʷ	kʷ	1
i$	*i/i	1
ú	u ⁵	1
