Grapheme	IPA	Frequency
^s	s	26
i	*i/i	72
h	*h/ʔ	31
īn$	ĩ ³	3
^n	n	17
an	ã 	4
ā	a ³	42
a$	*a/a	33
^y	*y/j	29
u	*u/u	24
v	β	17
h$	*h/ʔ	62
^t	t	29
t	t	38
ā$	a ³	2
ī	i ³	45
ʔ	ʔ	49
è$	e ¹	2
e$	*e/e	6
ɛ$	*ɛ/e	6
^k	k	30
^ñ	ɲ	16
à	a ¹	10
n	n	29
ì$	i ¹	4
i$	*i/i	25
a̧	*a̧/ã	8
i̧$	*i̧/ĩ	10
ū	u ³	28
w	*w/β	9
à$	a ¹	8
^š	ʃ	13
ì	i ¹	13
š	ʃ	16
^sh	ʃ	11
sh	ʃ	12
ò$	o ¹	2
o$	*o/o	9
^tʸ	tʲ	4
y	*y/ʒ	10
a	*a/a	39
e	*e/e	5
-	+	19
ī̧	ĩ ³	4
i̧	*i̧/ĩ	17
ñ	ɲ	9
a̧$	*a̧/ã	6
u$	*u/u	17
u̧ʰ	ũ̥	1
ʔ$	ʔ	64
^ì	i ¹	3
k	k	28
^i	*i/i	21
á	a ⁵	8
u̧	*u̧/ũ	19
u̧$	*u̧/ũ	11
ù	u ¹	7
ú	u ⁵	3
ú$	u ⁵	2
ō	o ³	8
o	*o/o	15
uʰ	u̥	1
^ⁿd	ⁿd	18
^nd	ⁿd	12
^č	tʃ	3
in$	ĩ	5
iʰ	i̥	3
an$	*an/ã	1
^kw	kʷ	9
^kʷ	kʷ	11
kʷ	kʷ	4
m	m	18
à̧	ã ¹	1
aʰ	ḁ	1
īʰ	i̥ ³	3
ù$	u ¹	2
^w	*w/β	4
^v	β	16
^vʸ	βʲ	1
ch	tʃ	5
ē	e ³	4
^iʰ	i̥	4
ū̧	ũ ³	4
ⁿd	ⁿd	2
ò	o ¹	1
s	s	13
ɛ	e	1
ī$	*ī/i ³	5
á$	a ⁵	3
^m	m	4
ūn$	ũ ³	1
y$	*y/j	2
nd	ⁿd	1
ú̧	ũ ⁵	2
ƀ	β	3
$	NULL	6
tya	*tya/tʲ a	3
̀	¹	1
ā̧	ã ³	2
un$	*un/ũ	3
ōʰ	o̥ ³	1
č	tʃ	7
í	i ⁵	3
^ī	i ³	4
^i̧	*i̧/ĩ	2
^ch	tʃ	3
ⁿdʸ	ⁿdʲ	1
āʰ	ḁ ³	2
kw	kʷ	1
tʸ	tʲ	1
^p	p	1
l	l	5
á̧	ã ⁵	1
á̧$	ã ⁵	1
āān	ã ³ ã ³	1
ā̧$	ã ³	1
ù̧	ũ ¹	3
^ì̧	ĩ ¹	1
ì̧$	ĩ ¹	3
^ū	u ³	10
^u̧	*u̧/ũ	3
^ī̧	ĩ ³	1
^u	*u/u	2
ny	nʲ	1
nʸ	nʲ	1
^ō	o ³	1
í$	i ⁵	2
^l	l	3
ū$	u ³	3
^ā	a ³	2
ē$	e ³	1
ū̧$	ũ ³	1
ù̧$	ũ ¹	2
uun$	*uun/ũ ũ	1
^a	*a/a	1
