Grapheme	IPA	Frequency
^đ	ð	7
e	*e/e	8
ʔ	ʔ	17
e$	*e/e	5
^ñ	ɲ	6
a̧	*a̧/ã	3
n	n	7
i̧$	*i̧/ĩ	10
^t	t	5
a	*a/a	17
-	+	7
č	tʃ	9
a$	*a/a	14
^n	n	3
i̧	*i̧/ĩ	3
o	*o/o	7
o$	*o/o	7
i	*i/i	21
i$	*i/i	26
k	k	7
u$	*u/u	8
^č	tʃ	5
š	ʃ	4
^s	s	3
^kʷ	kʷ	5
^ⁿǰ	ⁿdʒ	4
^ⁿd	ⁿd	5
kʷ	kʷ	3
s	s	3
u̧	*u̧/ũ	10
u̧$	*u̧/ũ	12
^ƀ	β	4
^y	*y/j	6
u	*u/u	9
ƀ	β	7
^š	ʃ	3
t	t	7
^b	*b/β	1
an	ã 	2
^k	k	8
^l	l	2
r	*r/ɾ	1
^m	m	1
y	*y/ʒ	1
m	m	4
^ž	ʒ	5
^i	*i/i	3
a̧$	*a̧/ã	5
^i̧	*i̧/ĩ	3
ñ	ɲ	4
^ⁿy	*ⁿj/ⁿʒ	1
o̧	*o̧/õ	2
x	*x/ʃ	1
^r	*r/ɾ	1
d	d	1
^u	*u/u	3
^u̧	*u̧/ũ	3
đ	ð	1
