Grapheme	IPA	Frequency
^s	s	11
e	*e/e	5
ʔ	ʔ	33
e$	*e/e	5
^y	*y/j	21
a̧	*a̧/ã	8
n	n	11
i̧$	*i̧/ĩ	15
^r	*r/ɾ	1
a	*a/a	30
-	+	7
y	*y/ʒ	7
ɨ	*ɨ/ɨ	13
ɨ$	*ɨ/ɨ	12
^č	tʃ	11
i	*i/i	18
t	t	22
o	*o/o	6
o$	*o/o	9
u	*u/u	21
u$	*u/u	14
^n	n	4
ɨ̧	*ɨ̧/ɨ̃	4
ñ	ɲ	11
ɨ̧̀$	ɨ̃ ⁵	1
u̧	*u̧/ũ	16
u̧$	*u̧/ũ	23
^š	ʃ	3
k	k	12
^t	t	14
i̧	*i̧/ĩ	5
a$	*a/a	24
^kʷ	kʷ	8
^ⁿd	ⁿd	18
kʷ	kʷ	1
č	tʃ	11
š	ʃ	3
ʔ$	ʔ	1
^ñ	ɲ	4
^ƀ	β	7
ɨ̧$	*ɨ̧/ɨ̃	4
ƀ	β	10
i$	*i/i	13
^k	k	12
s	s	7
m	m	7
a̧$	*a̧/ã	10
^i	*i/i	3
^m	m	1
h	*h/ʔ	1
w	*w/β	6
ⁿd	ⁿd	1
^u	*u/u	5
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	2
^l	l	1
^a	*a/a	1
^a̧	*a̧/ã	1
