Grapheme	IPA	Frequency
^š	ʃ	2
i	*i/i	12
ʔ	ʔ	20
a$	*a/a	11
^ñ	ɲ	7
a̧	*a̧/ã	7
n	n	8
i̧$	*i̧/ĩ	12
^t	t	7
e	*e/e	5
e$	*e/e	9
^n	n	9
i̧	*i̧/ĩ	10
^s	s	8
o	*o/o	4
o$	*o/o	6
u	*u/u	8
k	k	6
u$	*u/u	7
ñ	ɲ	8
u̧$	*u̧/ũ	15
^i	*i/i	4
t	t	10
i$	*i/i	19
^ž	ʒ	11
a	*a/a	14
^kʷ	kʷ	6
^ⁿd	ⁿd	5
xʸ	*xʸ/xʲ	2
a̧$	*a̧/ã	4
u̧	*u̧/ũ	11
^ƀ	β	4
ƀ	β	10
^ʔ	ʔ	2
^b	*b/β	1
an	ã 	1
^k	k	7
w	*w/β	1
-	+	2
s	s	2
l	l	2
m	m	5
o̧	*o̧/õ	4
ȩ$	*ȩ/ẽ	3
^y	*y/j	3
š	ʃ	3
č	tʃ	2
y	*y/ʒ	2
^o	*o/o	1
r̃	rː	1
o̧$	*o̧/õ	1
x	*x/ʃ	3
^u	*u/u	3
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	1
ṣ̌	ʂ	1
^m	m	1
^l	l	1
^č	tʃ	1
ž	ʒ	1
