Grapheme	IPA	Frequency
^đ	ð	9
e	*e/e	15
ʔ	ʔ	27
e$	*e/e	9
^ñ	ɲ	8
a̧	*a̧/ã	12
n	n	14
i̧$	*i̧/ĩ	13
^t	t	7
-	+	21
đ	ð	9
š	ʃ	4
i$	*i/i	28
^i	*i/i	5
u	*u/u	18
t	t	16
u$	*u/u	14
^n	n	8
í̧	ĩ ⁵	1
í̧$	ĩ ⁵	1
u̧	*u̧/ũ	16
u̧$	*u̧/ũ	16
^ž	ʒ	4
i	*i/i	32
^č	tʃ	5
l	l	1
p	p	1
a$	*a/a	20
^kʷ	kʷ	6
^ⁿǰ	ⁿdʒ	5
^ⁿd	ⁿd	10
a	*a/a	25
kʷ	kʷ	5
^ⁿč	ⁿtʃ	1
^s	s	3
m	m	6
a̧$	*a̧/ã	6
^ƀ	β	5
^a	*a/a	1
ʳk	r k	1
^y	*y/j	6
ƀ	β	16
^š	ʃ	2
o$	*o/o	6
^k	k	10
ȼ	ts	1
o	*o/o	4
b	*b/β	1
i̧	*i̧/ĩ	4
^ȼ	ts	1
^m	m	2
k	k	6
y	*y/ʒ	2
^tn	tⁿ	4
s	s	4
r	*r/ɾ	1
x	*x/ʃ	2
č	tʃ	3
^í̧í̧$	ĩ ⁵ ĩ ⁵	1
^ⁿz	ⁿz	1
ñ	ɲ	4
^ṣ̌ʳ	ʂʳ	1
^u	*u/u	5
ř	r	1
^i̧·	iː	1
^u̧	*u̧/ũ	2
^i̧	*i̧/ĩ	1
ⁿǰ	ⁿdʒ	1
ṣ̌	ʂ	1
w	*w/β	1
