Grapheme	IPA	Frequency
^n	n	38
an	ã 	5
á$	a ⁵	18
á	a ⁵	26
n	n	15
a̠$	*a̠/a ¹	28
^t	t	32
a	*a/a	25
t	t	26
'	ʔ	58
^d	*d/ð	17
e̠	e ³	4
e$	*e/e	4
^k	k	31
i̠	*i̠/i ¹	27
o$	*o/o	17
^ñ	ɲ	11
i$	*i/i	20
u	*u/u	21
u̠$	*u̠/u ¹	9
i	*i/i	35
d	d	39
a̠	*a̠/a ¹	13
a$	*a/a	15
^s	s	14
-	+	24
o	*o/o	21
i̠$	*i̠/i ¹	32
^l	l	5
s	s	7
^y	*y/j	27
k	k	28
í	i ⁵	20
l	l	5
^í	i ⁵	4
o̠$	o ³	28
o̠	*o̠/o ¹	14
ú	u ⁵	7
^ch	tʃ	5
íi̠n$	ĩ ⁵ ĩ ¹	1
x	*x/ʃ	6
^x	*x/ʃ	7
e	*e/e	10
e̠$	*e̠/e ¹ 	3
o̠n$	õ ³	6
^v	β	8
ch	tʃ	10
i̠n$	*i̠n/ĩ ¹	3
ll	j	1
é	e ⁵	4
y	*y/ʒ	9
án$	ã ⁵	2
ó	o ⁵	10
m	m	7
í$	i ⁵	14
r	*r/ɾ	1
ñ	ɲ	9
i̠ín$	ĩ ¹ ĩ ⁵	1
kua	*kua/kʷ a	4
kué	kʷ e ⁵	1
ín$	ĩ ⁵	1
^m	m	1
^i	*i/i	9
ó$	o ⁵	5
u̠	*u̠/u ¹	2
an$	*an/ã	1
v	β	3
nd	ⁿd	1
ón$	õ ⁵	3
kui̠	kʷ i ¹	1
in$	ĩ	1
^u	*u/u	3
^o	*o/o	6
é$	e ⁵	2
^a	*a/a	1
ú$	u ⁵	1
oon$	*oon/õ õ	3
on$	*on/õ	1
