Grapheme	IPA	Frequency
^̠$	NULL	1
^a	*a/a	1
m	m	7
a$	*a/a	16
^ch	tʃ	3
e	*e/e	9
'	ʔ	45
l	l	5
e$	*e/e	6
i	*i/i	18
ñ	ɲ	9
u$	*u/u	5
i̠	*i̠/i ¹	18
t	t	20
a̠$	*a̠/a ¹	7
^i	*i/i	13
n	n	14
í$	i ⁵	23
ch	tʃ	5
in$	ĩ	4
^i̠	*^i̠/i ¹	4
ín$	ĩ ⁵	8
i̠n$	*i̠n/ĩ ¹	1
k	k	18
ú$	u ⁵	11
u̠$	*u̠/u ¹	3
s	s	6
ún$	ũ ⁵	5
v	β	16
á$	a ⁵	20
x	*x/ʃ	14
^k	k	24
á	a ⁵	12
à	a ¹	7
à$	a ¹	4
a	*a/a	15
â	a ⁵¹	3
i$	*i/i	9
i̠$	*i̠/i ¹	9
o̠	*o̠/o ¹	9
ó$	o ⁵	10
u̠	*u̠/u ¹	15
u	*u/u	15
an$	*an/ã	2
e̠	e ³	3
e̠$	*e̠/e ¹ 	1
í	i ⁵	3
y	*y/ʒ	3
ù	u ¹	4
ù$	u ¹	3
^l	l	4
o$	*o/o	8
o	*o/o	4
^m	m	3
b	*b/β	1
ì	i ¹	9
^n	n	28
a̠	*a̠/a ¹	16
d	d	19
-	+	9
kuá	kʷ a ⁵	1
ì$	i ¹	2
ó	o ⁵	1
án$	ã ⁵	3
^ñ	ɲ	9
an	ã 	3
ǔ	u ¹⁵	1
^o̠	o ³	1
o̠$	o ³	3
^s	s	9
^t	t	24
é$	e ⁵	3
ǒ	o ¹⁵	1
ìín$	ĩ ¹ ĩ ⁵	1
nd	ⁿd	2
kuí	kʷ i ⁵	1
un$	*un/ũ	1
^u̠	*u̠/u ¹	7
n$	n	2
^u	*u/u	1
^v	β	9
^x	*x/ʃ	17
àn$	ã ¹	1
è	e ¹	1
ò$	o ¹	1
^y	*y/j	15
