Grapheme	IPA	Frequency
^nn	nː	9
i	*i/i	145
'	ʔ	68
²$	*²/³	18
^n	n	40
ã	*ã/ã	42
⁴³$	*⁴³/¹²	5
³⁴²$	*³⁴²/³⁴²	2
^d	*d/ð	38
r	*r/ɾ	26
e	*e/e	64
^t	t	13
a	*a/a	159
n	n	62
⁴⁵$	*⁴⁵/²¹	5
³ˀ	³ˀ/ʔ ³	31
ĩ	*ĩ/ĩ	20
³²$	*³²/⁴³	30
⁴⁵	*⁴⁵/²¹	3
-	+	29
s	s	3
u	*u/u	144
'⁴$	*'⁴/ʔ ⁴	5
³²	*³²/⁴³	5
t	t	28
x	*x/ʃ	5
an	ã 	28
o	*o/o	66
⁵$	*⁵/¹	7
ʃ	ʃ	1
³	*³/⁴	98
¹$	*¹/¹	24
^x	*x/ʃ	40
g	g	11
ü	*ü/ʉ	4
'³	³ ʔ	19
$	NULL	3
^ʒ	ʒ	3
w	*w/β	13
³ʰ$	³ʰ/h ³	25
ï	ɯ	25
³⁵$	*³⁵/¹⁵	23
³$	*³/⁴	92
ẽ	ẽ	1
³ˀ$	³ˀ/ʔ ³	22
^s	s	23
^ʃ	ʃ	33
¹	*¹/¹	3
y	*y/ʒ	10
j	*j/h	62
^r	*r/ɾ	33
k	k	24
²	*²/³	26
d	d	2
un³$	ũ ³	3
ũ	*ũ/ũ	9
^c	k	8
^k	k	9
^h	*h/ʔ	7
hui	w i	3
^wː	wː	4
⁴$	*⁴/²	27
^yy	jː	2
^j	*j/h	10
^y	*y/j	18
^j̃	j̃	5
qu	k	9
ɨ	*ɨ/ɨ	5
ïn'²$	ɯ̃ˀ ⁴/ɯ̃	2
ĩː	ĩː	1
chr	ʈʂ	8
ʈʂ	ʈʂ	8
c	k	11
³²ʰ$	³²ʰ/h ³²	21
ch	tʃ	5
⁴	*⁴/⁴	32
i$	*i/i	6
^g	g	20
^ɡ	g	15
m	m	14
³⁴$	*³⁴/¹²	13
^nː	nː	3
^kʷ	kʷ	1
³⁴	*³⁴/¹²	1
¹ˀ	¹ˀ/ʔ ¹	3
^a	*a/a	21
ts	ts	13
⁵	*⁵/¹	9
⁴ʰ$	⁴ʰ/h ⁴	2
o$	*o/o	5
an'	ãˀ	11
an$	*an/ã	8
e$	*e/e	7
^w	*w/β	3
^ch	tʃ	9
^ʈʂ	ʈʂ	7
gʷ	gʷ	2
a$	*a/a	9
ɡ	g	6
cua	kʷ a	4
kʷ	kʷ	4
un$	*un/ũ	1
ɨ̃	ɨ̃	8
ʔ	ʔ	7
h	*h/ʔ	3
n$	n	3
¹ʰ$	¹ʰ/h ¹	6
^tn	tⁿ	1
hue	w e	1
l	l	4
tʃ	tʃ	4
^gʷ	gʷ	2
^m	m	10
ï$	ɯ	3
in$	ĩ	1
^gui	gʷ i	2
^'n	ˀn	2
^ʔ	ʔ	4
³¹$	*³¹/³⁵	5
^ts	ts	3
^qu	k	3
⁵³$	*⁵³/¹³	12
j$	ɦ	3
^ɲ	ɲ	2
¹ˀ$	¹ˀ/ʔ ¹	10
^mm	mː	2
^mː	mː	2
^jː	jː	2
u$	*u/u	2
un¹$	ũ ¹	1
^	NULL	2
^ŋ	ŋ	1
ë	ə	2
ë$	ə	1
^ˀᵑɡ	ˀⁿɡ	1
¹³ʰ$	¹³ʰ/h ¹³	2
¹³$	*¹³/⁵³	1
^u	*u/u	1
^ũ	ũ	1
^tʃ	tʃ	2
²ʰ$	²ʰ/h ²	3
^'ï	ˀɯ/ɯ	1
ʔ$	ʔ	1
^l	l	2
⁵⁴$	*⁵⁴/¹²	1
