Grapheme	IPA	Frequency
^đ	ð	6
è	e ¹	1
ʔ	ʔ	33
e$	*e/e	8
^ñ	ɲ	7
a̧	*a̧/ã	7
n	n	14
i̧$	*i̧/ĩ	13
^ȼ̣ʸ	ʈʂʲ	1
à	a ¹	3
a$	*a/a	21
^s	s	9
t	t	11
o	*o/o	11
o$	*o/o	13
u	*u/u	8
i$	*i/i	25
^n	n	5
ì̧	ĩ ¹	2
ì̧$	ĩ ¹	1
u̧	*u̧/ũ	16
u̧$	*u̧/ũ	12
^y	*y/j	13
ü	*ü/ʉ	1
ü$	ʉ	1
^š	ʃ	4
i	*i/i	30
ȼ	ts	6
k	k	10
^č	tʃ	5
i̧	*i̧/ĩ	13
a	*a/a	22
^kʷ	kʷ	6
e	*e/e	8
^ⁿd	ⁿd	12
z	s	5
s	s	8
^v	β	3
^ȼ̣	ʈʂ	8
-	+	16
đ	ð	6
ƀ	β	5
y	*y/ʒ	6
^k	k	11
ī	i ³	1
ì$	i ¹	8
^l	l	4
ò	o ¹	3
á	a ⁵	1
w	*w/β	3
m	m	6
a̧$	*a̧/ã	6
kʷ	kʷ	3
^m	m	1
u$	*u/u	4
^t	t	6
ì	i ¹	9
ā	a ³	1
^ʔ	ʔ	12
č	tʃ	5
^ȼ	ts	2
ò$	o ¹	2
ñ	ɲ	5
ⁿd	ⁿd	2
^i	*i/i	1
l	l	1
à$	a ¹	3
í$	i ⁵	1
ȼ̣	ʈʂ	1
ù	u ¹	3
ù$	u ¹	1
^ⁿȼ	ⁿts	1
í	i ⁵	1
ù̧$	ũ ¹	3
v	β	3
ò̧	õ ¹	1
à̧	ã ¹	1
^ƀ	β	4
š	ʃ	1
^ž	ʒ	1
^kʷʸ	kʷʲ	1
ù̧	ũ ¹	1
á$	a ⁵	1
