Grapheme	IPA	Frequency
^á	a ⁵	1
s	s	4
i$	i ³	48
^ch	tʃ	7
à	a ¹	7
a$	a ³	40
a	a ³	37
k	k	16
á$	a ⁵	5
t	t	32
i	i ³	33
kui	kʷ i ³	1
$	NULL	2
o	o ³	10
o$	o ³	14
uun$	ũ ³ ũ ³	1
^i	i ³	12
'	ʔ	52
n	n	12
ch	tʃ	16
ìn$	ĩ ¹	3
^ì	i ¹	2
n$	n	1
ñ	ɲ	6
u$	u ³	20
x	ʃ	5
^k	k	27
à$	a ¹	5
an	ã ³	3
í	i ⁵	7
ì	i ¹	3
ò	o ¹	4
ò$	o ¹	4
u	u ³	32
ù	u ¹	6
ù$	u ¹	4
an$	ã ³	4
e	e ⁵	7
é$	e ⁵	1
m	m	7
ú	u ⁵	2
^l	l	1
^m	m	5
àn$	ã ¹	1
í$	i ⁵	4
^n	n	29
á	a ⁵	3
ì$	i ¹	2
v	β	11
-	+	3
kua	kʷ a ³	2
in$	ĩ ³	2
ó$	o ⁵	1
ts	ts	7
^ñ	ɲ	8
un$	ũ ³	5
^o	o ³	1
^p	p	1
^s	s	14
e$	e ³	4
ú$	u ⁵	1
^t	t	8
l	l	2
^ts	ts	11
^u	u ³	6
^ù	u ¹	2
^v	β	8
^x	ʃ	7
^y	ʒ	22
