Grapheme	IPA	Frequency
^s	s	10
e	*e/e	6
ʔ	ʔ	34
e$	*e/e	6
^y	*y/j	18
a̧	*a̧/ã	6
ñ	ɲ	16
i̧$	*i̧/ĩ	17
^r	*r/ɾ	1
a	*a/a	26
-	+	8
y	*y/ʒ	8
ɨ	*ɨ/ɨ	11
ɨ$	*ɨ/ɨ	11
^č	tʃ	11
i	*i/i	20
t	t	11
o	*o/o	4
o$	*o/o	7
u	*u/u	22
u$	*u/u	15
^n	n	3
ɨ̧̀	ɨ̃ ¹	2
ɨ̧̀$	ɨ̃ ⁵	2
o̧	*o̧/õ	3
o̧$	*o̧/õ	4
^š	ʃ	3
tʸ	tʲ	9
ù	u ¹	1
k	k	10
ù̧$	ũ ¹	1
^tʸ	tʲ	4
i̧	*i̧/ĩ	3
a$	*a/a	23
^kʷ	kʷ	6
^ⁿd	ⁿd	14
kʷ	kʷ	1
š	ʃ	4
č	tʃ	9
a̧$	*a̧/ã	12
^t	t	12
u̧$	*u̧/ũ	15
^ñ	ɲ	7
u̧	*u̧/ũ	14
^w	*w/β	7
ɨ̧	*ɨ̧/ɨ̃	3
ɨ̧$	*ɨ̧/ɨ̃	3
w	*w/β	16
i$	*i/i	12
^k	k	12
s	s	6
m	m	8
^i	*i/i	3
ó	o ⁵	1
ó$	o ⁵	1
^ⁿdʸ	ⁿdʲ	3
n	n	4
ⁿdʸ	ⁿdʲ	1
^m	m	1
^u	*u/u	6
^u̧	*u̧/ũ	2
^o̧	*o̧/õ	1
^i̧	*i̧/ĩ	2
^l	l	1
l	l	1
^a	*a/a	1
^a̧	*a̧/ã	1
