Grapheme	IPA	Frequency
^b	*b/β	1
an	ã 	1
k	k	6
u$	*u/u	10
^ƀ	β	1
i	*i/i	12
ʔ	ʔ	20
n	n	14
a̧$	*a̧/ã	6
^č	tʃ	4
e	*e/e	1
e$	*e/e	1
-	+	7
u̧	*u̧/ũ	15
u̧$	*u̧/ũ	18
ž	ʒ	1
ɨ	*ɨ/ɨ	3
ɨ$	*ɨ/ɨ	2
i̧	*i̧/ĩ	10
i̧ⁿ$	*i̧ⁿ/ĩ	1
^đ	ð	6
a	*a/a	10
a$	*a/a	12
ƀ	β	3
i$	*i/i	8
N	n̥	2
i̧$	*i̧/ĩ	11
t	t	4
s	s	3
u	*u/u	15
^i	*i/i	2
đ	ð	3
^i̧	*i̧/ĩ	2
ñ	ɲ	5
^k	k	6
l	l	2
o̧	*o̧/õ	1
a̧	*a̧/ã	6
nd	ⁿd	1
o$	*o/o	5
kʷ	kʷ	2
u̧u̧n$	*u̧u̧n/ũ ũ	1
^kʷ	kʷ	3
^l	l	1
č	tʃ	3
^m	m	1
^ⁿd	ⁿd	2
^n	n	6
^	NULL	1
^ⁿs	ⁿs	1
y	*y/ʒ	1
^ñ	ɲ	8
m	m	1
^s	s	2
^š	ʃ	5
ȼ	ts	3
r	*r/ɾ	1
^t	t	1
^tn	tⁿ	1
^u	*u/u	3
^u̧	*u̧/ũ	2
š	ʃ	2
^x	*x/ʃ	1
^ž	ʒ	16
ɨ̧$	*ɨ̧/ɨ̃	1
o	*o/o	2
