Grapheme	IPA	Frequency
^đ	ð	9
a	*a/a	18
ʔ	ʔ	23
a$	*a/a	18
^s	s	3
-	+	10
ž	ʒ	2
ɨ	*ɨ/ɨ	4
ɨ$	*ɨ/ɨ	4
e	*e/e	8
^n	n	5
i̧	*i̧/ĩ	10
ñ	ɲ	6
i̧$	*i̧/ĩ	8
u̧	*u̧/ũ	11
u̧$	*u̧/ũ	15
o	*o/o	3
o$	*o/o	4
n	n	11
u	*u/u	12
k	k	8
^t	t	6
i	*i/i	19
ɨ̧$	*ɨ̧/ɨ̃	1
^š	ʃ	6
t	t	5
i$	*i/i	17
^kʷ	kʷ	5
e$	*e/e	7
^ⁿd	ⁿd	10
kʷ	kʷ	2
^ⁿǰ	ⁿdʒ	1
s	s	3
^ñ	ɲ	5
^ƀ	β	5
^ž	ʒ	11
u$	*u/u	9
^k	k	9
m	m	2
^b	*b/β	1
an	ã 	1
^	NULL	1
đ	ð	5
^č	tʃ	1
l	l	2
^i	*i/i	3
^l	l	2
ƀ	β	6
č	tʃ	4
a̧$	*a̧/ã	6
š	ʃ	6
o̧	*o̧/õ	1
o̧$	*o̧/õ	2
N	n̥	1
^y	*y/j	1
x	*x/ʃ	1
a̧	*a̧/ã	3
^u	*u/u	3
^u̧	*u̧/ũ	2
^o̧	*o̧/õ	1
^i̧	*i̧/ĩ	1
