Grapheme	IPA	Frequency
^ƀ	β	5
à	a ¹	8
ʔ	ʔ	36
ā$	a ³	9
ì	i ¹	16
š	ʃ	5
ì$	i ¹	7
i	*i/i	2
t	t	18
a̧$	*a̧/ã	2
x	*x/ʃ	3
ī̧$	*ī̧/ĩ ³	6
ž	ʒ	4
ū$	u ³	7
^č	tʃ	3
ī	i ³	12
-	+	10
ā	a ³	7
l	l	3
ú$	u ⁵	3
y	*y/ʒ	9
ò$	o ¹	3
^k	k	13
č	tʃ	4
á	a ⁵	3
n	n	15
ú̧$	ũ ⁵	2
i̧$	*i̧/ĩ	2
s	s	5
ɨ̄$	ɨ ³	10
w	*w/β	4
ɨ̀$	ɨ ¹	1
ò	o ¹	2
ù	u ¹	10
k	k	15
à$	a ¹	5
ù̧	ũ ¹	14
m	m	7
ì̧$	ĩ ¹	3
ñ	ɲ	7
ū̧$	ũ ³	11
ú	u ⁵	3
í$	i ⁵	4
ú̧	ũ ⁵	1
ū̧	ũ ³	10
ƀ	β	7
é$	e ⁵	3
^kʷ	kʷ	8
á̧	ã ⁵	2
á̧$	ã ⁵	1
ī$	*ī/i ³	9
à̧	ã ¹	3
ȩ́	ẽ ⁵	3
ȩ́$	ẽ ⁵	1
é	e ⁵	3
è	e ¹	7
ī̧	ĩ ³	6
^l	l	3
ɨ́$	ɨ ⁵	1
ɨ̄	ɨ ³	5
ū	u ³	9
^m	m	1
ȩ̄$	ẽ ³	2
^n	n	20
ā̧	ã ³	3
kʷ	kʷ	2
v	β	4
^ⁿd	ⁿd	2
a	*a/a	1
a̧	*a̧/ã	1
u̧$	*u̧/ũ	1
í	i ⁵	1
ȩ̄	ẽ ³	1
ù$	u ¹	5
ì̧	ĩ ¹	7
xʸ	*xʸ/xʲ	2
ɨ̧̀$	ɨ̃ ⁵	3
ɨ$	*ɨ/ɨ	1
à̧$	ã ¹	6
ò̧	õ ¹	1
ò̧$	õ ¹	1
ē$	e ³	5
^ñ	ɲ	10
ȩ	*ȩ/ẽ	1
ɨ̧̀	ɨ̃ ¹	1
^s	s	8
^š	ʃ	5
ù̧$	ũ ¹	5
í̧	ĩ ⁵	2
ɨ̧$	*ɨ̧/ɨ̃	2
ō$	o ³	4
^t	t	14
á$	a ⁵	2
ā̧$	ã ³	2
^v	β	2
ē	e ³	1
^xʸ	*xʸ/xʲ	1
è$	e ¹	1
^y	*y/j	15
í̧$	ĩ ⁵	2
ō	o ³	2
^ž	ʒ	4
^ʔ	ʔ	18
