Grapheme	IPA	Frequency
^s	s	18
è	e ¹	1
ʔ	ʔ	59
ē$	e ³	3
ē	e ³	5
e$	*e/e	4
^kʷ	kʷ	14
à	a ¹	5
ā$	a ³	21
^ñ	ɲ	11
ā	a ³	21
n	n	25
ì$	i ¹	6
a̧	*a̧/ã	8
ī̧$	*ī̧/ĩ ³	7
^k	k	24
ù	u ¹	4
ù$	u ¹	9
^š	ʃ	2
ī	i ³	14
t	t	19
ō	o ³	8
ò$	o ¹	4
^č	tʃ	4
a$	*a/a	8
ā̧	ã ³	2
-	+	37
$	NULL	21
^x	*x/ʃ	12
i	*i/i	15
o	*o/o	5
ō$	o ³	4
u	*u/u	19
ū$	u ³	13
^n	n	9
ɨ̧	*ɨ̧/ɨ̃	2
ñ	ɲ	13
^ž	ʒ	29
ɨ̄	ɨ ³	9
k	k	19
ū	u ³	19
á	a ⁵	14
ù̧	ũ ¹	3
ū̧$	ũ ³	12
ū̧	ũ ³	5
u̧$	*u̧/ũ	13
u$	*u/u	11
ò	o ¹	2
o$	*o/o	3
^ⁿd	ⁿd	21
^t	t	25
í	i ⁵	4
í̧	ĩ ⁵	2
ì	i ¹	2
ī$	*ī/i ³	4
ɨ	*ɨ/ɨ	14
ɨ̄$	ɨ ³	5
à$	a ¹	9
a	*a/a	17
e	*e/e	6
i̧	*i̧/ĩ	6
i̧$	*i̧/ĩ	6
ž	ʒ	8
i$	*i/i	5
^l	l	6
kʷ	kʷ	4
š	ʃ	6
m	m	8
x	*x/ʃ	10
à̧	ã ¹	1
ā̧$	ã ³	6
u̧	*u̧/ũ	12
^ƀ	β	13
^v	β	2
^ī	i ³	5
č	tʃ	12
ɨ$	*ɨ/ɨ	6
y	*y/ʒ	1
s	s	10
á$	a ⁵	5
ƀ	β	4
v	β	4
a̧$	*a̧/ã	8
é$	e ⁵	2
í$	i ⁵	6
í̧$	ĩ ⁵	3
^i	*i/i	3
l	l	5
ī̧	ĩ ³	2
ɨ́$	ɨ ⁵	2
^y	*y/j	2
ɨ̧$	*ɨ̧/ɨ̃	1
ⁿǰ	ⁿdʒ	1
ɨ̀	ɨ ¹	1
ù̧$	ũ ¹	3
^m	m	1
an	ã 	1
á̧	ã ⁵	1
á̧$	ã ⁵	1
ú̧	ũ ⁵	1
ú̧$	ũ ⁵	1
^ī̧ī̧$	ĩ ³ ĩ ³	1
^ū	u ³	1
^u	*u/u	5
^u̧	*u̧/ũ	3
^ū̧	ũ ³	1
^i̧	*i̧/ĩ	1
^ɨ̄	ɨ ³	1
ɨ̧̀$	ɨ̃ ⁵	1
^xʸ	*xʸ/xʲ	1
ú$	u ⁵	2
ú	u ⁵	3
^a	*a/a	1
ɨ́	ɨ ⁵	1
é	e ⁵	1
ɨ̀$	ɨ ¹	1
^a̧	*a̧/ã	1
