Grapheme	IPA	Frequency
^ch	tʃ	6
ā	a ³	15
k	k	6
ū$	u ³	8
^n	n	15
á	a ⁵	7
n	n	14
a$	*a/a	11
ī	i ³	14
d	d	4
ā$	a ³	10
^t	t	7
t	t	20
^d	*d/ð	6
y	*y/ʒ	9
h	*h/ʔ	27
īn$	ĩ ³	1
ū	u ³	13
é$	e ⁵	1
^s	s	1
an$	*an/ã	4
^ī	i ³	4
í$	i ⁵	3
in$	ĩ	1
ūn$	ũ ³	3
á$	a ⁵	1
ē	e ³	3
ē$	e ³	1
^k	k	6
^x	*x/ʃ	7
i	*i/i	5
u$	*u/u	9
ó$	o ⁵	2
^v	β	2
a	*a/a	2
^y	*y/j	9
ú	u ⁵	3
ī$	*ī/i ³	7
ú$	u ⁵	4
-	+	1
ch	tʃ	5
e	*e/e	5
^h	*h/ʔ	5
í	i ⁵	3
m	m	4
ōn	õ ³	1
ẽ	ẽ	1
x	*x/ʃ	1
ān$	ã ³	3
āan	ã ³ ã ¹	2
u	*u/u	1
nt	ⁿd	1
v	β	3
o$	*o/o	1
é	e ⁵	1
e$	*e/e	1
^kw	kʷ	1
^ā	a ³	1
^u	*u/u	1
i$	*i/i	2
^i	*i/i	2
un$	*un/ũ	1
^l	l	1
ín$	ĩ ⁵	1
^m	m	1
kw	kʷ	1
