Grapheme	IPA	Frequency
^i	*i/i	13
³	*³/⁴	80
t	t	29
i	*i/i	99
³$	*³/⁴	67
c	k	25
u	*u/u	120
⁴$	*⁴/²	79
^y	*y/j	56
⁴	*⁴/⁴	57
y	*y/ʒ	24
a	*a/a	111
^d	*d/ð	17
d	*d/ð	37
^n	n	31
ng	ⁿg	2
ü	*ü/ʉ	2
'	ʔ	84
²	*²/³	67
m	m	11
²$	*²/³	26
^t	t	14
^c	k	25
n	n	54
e	*e/e	36
²⁴$	*²⁴/⁵²	9
^ch	tʃ	13
^	NULL	7
a̠	*a̠/a ¹	21
¹$	*¹/¹	10
un³$	ũ ³	5
^yy	jː	1
v	β	18
^v	β	4
ch	tʃ	13
^m	m	5
^s	s	6
¹⁴$	*¹⁴/¹⁵	9
nd	ⁿd	9
o	*o/o	5
-	+	19
¹	*¹/¹	9
an	ã	22
^g	g	8
¹⁴	*¹⁴/¹⁵	2
^p	p	2
l	l	3
qu	k	1
^r	*r/ɾ	2
r	*r/ɾ	2
³²$	*³²/⁴³	2
cua	kʷ a	2
⁴³$	*⁴³/¹²	4
^gue	gʷ e	3
^'e	ˀe/e	1
cua̠	kʷ a ¹	1
g	g	1
^a	*a/a	1
^h	*h/ʔ	2
j	*j/h	2
⁴³	*⁴³/¹²	1
s	s	1
³⁴	*³⁴/¹²	1
^l	l	1
²³⁴$	*²³⁴/⁴¹	1
un²$	ũ ²	1
nt	ⁿd	1
ó	o ⁵	1
^u	*u/u	1
