Grapheme	IPA	Frequency
^ƀ	β	4
e	*e/e	8
e$	*e/e	3
ʔ	ʔ	20
i	*i/i	31
š	ʃ	5
i$	*i/i	26
^č	tʃ	6
a	*a/a	16
a$	*a/a	17
-	+	10
č	tʃ	6
kʷ	kʷ	2
i̧	*i̧/ĩ	4
i̧$	*i̧/ĩ	8
u̧	*u̧/ũ	8
u̧$	*u̧/ũ	10
^đ	ð	4
ƀ	β	7
k	k	5
o$	*o/o	8
o	*o/o	6
^ȩ	ẽ	1
ñ	ɲ	4
^e	*e/e ³	1
s	s	4
p	p	2
u	*u/u	6
m	m	5
^h	*h/ʔ	1
t	t	7
^i	*i/i	4
l	l	3
u$	*u/u	10
ⁿǰ	ⁿdʒ	1
^k	k	8
x	*x/ʃ	1
n	n	7
y	*y/ʒ	2
o̧	*o̧/õ	2
^kʷ	kʷ	5
a̧	*a̧/ã	3
a̧$	*a̧/ã	3
^l	l	3
w	*w/β	1
^m	m	1
^ⁿd	ⁿd	9
^n	n	2
ȩ	*ȩ/ẽ	1
^ⁿǰ	ⁿdʒ	1
^nn	nː	1
^	NULL	1
Ñ	ɲ̥	1
^ñ	ɲ	6
^s	s	5
sh	ʃ	1
^š	ʃ	4
^t	t	3
^u̧	*u̧/ũ	2
^u	*u/u	3
^y	*y/j	6
đ	ð	1
^ž	ʒ	4
ü	*ü/ʉ	1
