Grapheme	IPA	Frequency
^á	a ⁵	1
m	m	23
á$	a ⁵	8
^a	*a/a	1
s	s	13
ɨ$	*ɨ/ɨ	19
^à	a ¹	1
ɨ̀	ɨ ¹	8
n$	n	12
^ƀ	β	6
e	*e/e	12
e$	*e/e	8
ʔ	ʔ	32
i	*i/i	45
č	tʃ	11
i̧$	*i̧/ĩ	13
š	ʃ	5
i$	*i/i	33
tʸ	tʲ	10
i̧	*i̧/ĩ	5
ⁿd	ⁿd	1
a$	*a/a	46
^c	k	27
à	a ¹	16
à$	a ¹	25
a	*a/a	70
c	k	23
h	*h/ʔ	54
n	n	18
u$	*u/u	32
ñ	ɲ	38
ts	ts	15
in$	ĩ	4
^č	tʃ	9
t	t	34
u̧$	*u̧/ũ	22
tyì	tʲ i ¹	4
$	NULL	14
a̧	*a̧/ã	8
a̧$	*a̧/ã	13
-	+	19
o	*o/o	17
o$	*o/o	14
y	*y/ʒ	36
ɨ	*ɨ/ɨ	26
ò	o ¹	5
ò$	o ¹	9
u	*u/u	58
án$	ã ⁵	1
tyí	tʲ i ⁵	1
ú$	u ⁵	6
ú	u ⁵	13
ù	u ¹	21
é$	e ⁵	1
è$	e ¹	2
v	β	20
ì$	i ¹	5
í	i ⁵	7
í$	i ⁵	6
ín$	ĩ ⁵	2
ì	i ¹	14
x	*x/ʃ	11
^h	*h/ʔ	4
w	*w/β	2
k	k	12
u̧	*u̧/ũ	15
^i	*i/i	16
^i̧	*i̧/ĩ	2
ù$	u ¹	13
tyà	tʲ a ¹	2
tyi	*tyi/tʲ i	5
^ì	i ¹	3
^ɨ	*ɨ/ɨ	1
^j	*j/h	8
á	a ⁵	13
an$	*an/ã	3
^k	k	11
ƀ	β	15
^kʷ	kʷ	7
^l	l	5
l	l	1
^m	m	6
b	*b/β	2
è	e ¹	3
àn$	ã ¹	5
^n	n	37
d	d	19
cua	kʷ a	2
^ⁿd	ⁿd	12
kʷ	kʷ	1
ɨ́$	ɨ ⁵	4
ìn$	ĩ ¹	1
qu	k	3
ɨ̀$	ɨ ¹	8
tya	*tya/tʲ a	4
^ⁿdʸ	ⁿdʲ	5
ɨ̧	*ɨ̧/ɨ̃	4
ɨ̧$	*ɨ̧/ɨ̃	4
r	*r/ɾ	2
^ñ	ɲ	12
^o	*o/o	1
^qu	k	5
ɨ́	ɨ ⁵	2
^r	*r/ɾ	2
^s	s	15
^š	ʃ	3
ó$	o ⁵	4
^t	t	38
+	?+	1
an	ã 	2
^ts	ts	15
un$	*un/ũ	5
ó	o ⁵	1
j	*j/h	1
uun$	*uun/ũ ũ	1
tyá	tʲ a ⁵	1
^tʸ	tʲ	4
^u	*u/u	12
^ù	u ¹	2
^u̧	*u̧/ũ	3
^v	β	9
ny	nʲ	1
^w	*w/β	1
^x	*x/ʃ	5
^y	*y/j	54
