Grapheme	IPA	Frequency
^s	s	10
e	*e/e	13
ʔ	ʔ	49
e$	*e/e	6
¹	*¹/¹	24
³$	*³/⁴	18
^ñ	ɲ	8
a̧	*a̧/ã	9
n	n	18
i̧$	*i̧/ĩ	21
^ɲ	ɲ	3
a	*a/a	61
³	*³/⁴	24
i	*i/i	69
²$	*²/³	20
^t	t	19
a$	*a/a	22
^i	*i/i	27
š	ʃ	13
-	+	13
t	t	25
o	*o/o	12
o$	*o/o	10
u	*u/u	36
u$	*u/u	13
^n	n	6
ì̧	ĩ ¹	1
ī̧$	*ī̧/ĩ ³	1
⁴$	*⁴/²	22
ʃ	ʃ	6
^j	*j/h	10
⁴¹	*⁴¹/⁵¹	3
u̧	*u̧/ũ	12
u̧$	*u̧/ũ	21
^y	*y/j	9
k	k	13
^č	tʃ	4
i̧	*i̧/ĩ	8
^ʧ	tʃ	2
ĩ	*ĩ/ĩ	4
i$	*i/i	22
^š	ʃ	11
^kʷ	kʷ	13
ñ	ɲ	9
^ⁿd	ⁿd	21
^l	l	2
kʷ	kʷ	5
a̧$	*a̧/ã	12
ã	*ã/ã	4
^ʃ	ʃ	7
ũ	*ũ/ũ	5
¹$	*¹/¹	8
^w	*w/β	9
ʧ	tʃ	5
w	*w/β	12
b	*b/β	5
šʰ	ʃ	1
y	*y/ʒ	6
^k	k	18
s	s	8
o̧	*o̧/õ	3
m	m	11
²	*²/³	7
⁴	*⁴/⁴	11
ɲ	ɲ	6
^m	m	2
l	l	1
c	k	2
č	tʃ	5
^ì̧	ĩ ¹	1
í̧$	ĩ ⁵	1
ⁿd	ⁿd	2
è	e ¹	1
è$	e ¹	1
j	*j/h	2
^i̧	*i̧/ĩ	4
ī̧	ĩ ³	1
^u	*u/u	5
^u̧	*u̧/ũ	3
^b	*b/β	3
o̧$	*o̧/õ	1
^a̧	*a̧/ã	1
^a	*a/a	1
