NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ADD_CONCEPT
1	salir	go out	1107	GO OUT	
2	morir	die	1494	DIE	
3	gritar	shout, cry out	715	SHOUT	
4	ya	already	2576	ALREADY	
5	cortar	cut hair, weed	1432	CUT	
6	quemarse	burn	141	BURN (SOMETHING)	
7	estar frio	be cold	1287	COLD	
8	cuándo	when	1238	WHEN	
9	llover	rain	1253	RAIN (RAINING)	
10	limpiar	clear (corn field)	3127	RAKE (SOMETHING)	
11	esperar	wait	1590	WAIT (FOR)	
12	lavarse la cara	wash face			LAVARSE CARA
13	tejer	weave	133	WEAVE	
14	bañarse	bathe	138	BATHE	
15	masticar, mascar	chew	321	CHEW	
16	exprimir, ordeñar, ahorcar	squeeze, milk, hang to kill			EXPRIMIR
17	usar	use	2072	USE (VERB)	
18	o	or	1014	OR	
19	desde	from	693	FROM	
20	cargar	carry	700	CARRY	
21	infecundo	infertile			INFECUNDO
22	dormir	sleep	1585	SLEEP	
23	entrar	enter	749	ENTER	
24	tentar	touch	1892	TOUCH	
25	caminar, andar	walk	1443	WALK	
26	crecer	grow	479	GROW	
27	pasar, cruzar	pass, cross	574	TRANSIT	
28	faltar	lack, be lacking, be missing	2329	LACK (NOT HAVE)	
29	pedir	ask	1828	ASK (REQUEST)	
30	enterrar	bury	1719	BURY	
31	cantar	sing	1261	SING	
32	untar, regar	smear, anoint, irrigate			CANTAR
33	toser	cough	879	COUGH	
34	año próximo	next year	515	NEXT YEAR	
35	caer	fall	1280	FALL	
36	hablar	speak	1623	SPEAK	
37	quitar	remove			QUITAR
38	nacer	beborn	1090	BE BORN	
39	reír	laugh	1355	LAUGH	
40	soñar	dream	1920	DREAM (SOMETHING)	
41	cortar	cut	1432	CUT	
42	soplar	blow			SOPLAR
43	mañana	tomorrow	1329	TOMORROW	
44	pelar	peel	275	PEEL	
45	existir, hay	exist			EXISTIR
46	existir, hay	exist			EXISTIR
47	moler	grind, crush	1033	GRIND	
48	seis	six	1703	SIX	
49	hilar	spin thread	121	SPIN	
50	tres	three	492	THREE	
51	escarbar	dig	1418	DIG	
52	si	yes	1459	IF	
53	y entonces	and then			YES
54	saltar, brincar	jump, leap	1829	JUMP	
55	casa	house	1252	HOUSE	
56	dos	two	1498	TWO	
57	rubio	blond			RUBIO
58	delicioso, sabroso	delicious, tasty	1813	TASTY	
59	así	thus			ASI
60	cómo	how	1239	HOW	
61	animal	animal	619	ANIMAL	
62	ese, aquel	that	78	THAT	
63	ése, aquél	that	78	THAT	
64	usted	you	1215	THOU	
65	quieto	quiet, calm	1314	QUIET	
66	más	more	1992	MORE	
67	algunos, pocos, menos	a few, a little, less	1242	FEW	
68	lejos	far	1406	FAR	
69	tibio	tepid, lukewarm	1232	WARM	
70	año pasado	last year	514	LAST YEAR	
71	día, sol	day, sun	1225	DAY (NOT NIGHT)	
72	metal, botella	metal, bottle	1321	BOTTLE	
73	viga	beam, rafter, girder			VIGA
74	clavo	nail	502	NAIL (TOOL)	
75	pecado, culpa	sin, blame			CULPA
76	delgado, flaco	thin, skinny	2308	THIN	
77	humo	smoke	778	SMOKE (EXHAUST)	
78	blanco	white	1335	WHITE	
79	miel	honey	942	HONEY	
80	algodón	cotton	1850	COTTON	
81	sombra	shadow, shade	1388	SHADE	
82	ancho	wide	1243	WIDE	
83	rueda, círculo	wheel, circle			RUEDO O CIRCULO
84	ocote	ocote			OCOTE
85	vapor	steam	1193	STEAM	
86	cuatro	four	1500	FOUR	
87	calabaza	calabash	864	PUMPKIN	
88	semilla, grano	seed, grain			SEMILLA O GRANO
89	huarache	sandal			HUARACHE
90	tuna	prickly pear			TUNA
91	peine	comb	1475	COMB	
92	viernes	Friday	1692	FRIDAY	
93	zacate	grass of milpa			ZACATE
94	malo	bad	1292	BAD	
95	montaña	mountain	639	MOUNTAIN	
96	corteza	bark	1204	BARK	
97	masa	batter	273	DOUGH	
98	veinte	twenty	1710	TWENTY	
99	hierba	herb			HIERBA
100	guajolote	turkey	2386	TURKEY	
101	medicina, remedio	medicine, remedy	1372	MEDICINE	
102	domingo	Sunday	1699	SUNDAY	
103	lunes	Monday	1697	MONDAY	
104	beber, tomar	drink	1401	DRINK	
105	plato	plate	480	PLATE	
106	martes	Tuesday	1695	TUESDAY	
107	ayer	yesterday	1174	YESTERDAY	
108	lluvia	rain	658	RAIN (PRECIPITATION)	
109	hondo	deep	1593	DEEP	
110	mono, chango	monkey	1350	MONKEY	
111	puño	fist	1473	FIST	
112	horno	oven	1143	OVEN	
113	pudrirse	rot (wood)			PODRIRSE
114	hueso	bone	1394	BONE	
115	hinchazón	swelling	1903	SWELLING	
116	llamarse	be called, be named	180	CALL BY NAME	
117	pus	pus	1808	PUS	
