"NUMBER"	"SPANISH"
1	"espina"
2	"pelo"
3	"camino"
4	"chile"
5	"jícara"
6	"mecate"
7	"árbol"
8	"petate"
9	"boca	 borde"
10	"animal"
11	"cuándo"
12	"ayer"
13	"cerca"
14	"rayo"
15	"trabajo"
16	"diferente	 otro"
17	"ahora"
18	"flor"
19	"pasto"
20	"canción	 música"
21	"camote"
22	"hermano de hombre"
23	"pueblo"
24	"quelite"
25	"papel"
26	"totomoxtle	 hoja de mazorca"
27	"luna"
28	"piedra"
29	"algodón"
30	"sangre"
31	"maíz"
32	"huarache"
33	"huevo"
34	"comal"
35	"seis"
36	"hierba"
37	"hilo"
38	"humo"
39	"cinco"
40	"huipil"
41	"semilla de cáscara"
42	"dos"
43	"horno"
44	"río"
45	"olla"
46	"culpa"
47	"grano"
48	"hijo"
49	"palabra"
50	"pesado"
51	"frio"
52	"rocío"
53	"granizo"
54	"crudo"
55	"claro"
56	"flojo"
57	"temazcal"
58	"grande"
59	"ardilla"
60	"amarillo"
61	"rojo	 colorado"
62	"despacio"
63	"celoso"
64	"pobre"
65	"nixtamal"
66	"alto"
67	"lengua"
68	"verde"
69	"uña"
70	"frondoso"
71	"amplio	 muy abierto"
72	"metal"
73	"epazote"
74	"pluma"
75	"vena"
76	"carne"
77	"gripa"
78	"sueño"
79	"manteca"
80	"metate"
81	"yerno"
82	"pozole"
83	"nadar"
84	"puerta"
85	"perro"
86	"chapulín"
