ID,CATEGORY,SPANISH,ENGLISH,CONCEPTICON_ID,CONCEPTICON_GLOSS,ADD_CONCEPT,COVERAGE,ID_EWC,ID_JOSS,ID_DURR,ID_SWME,ID_MAT,ID_PADG,SPANISH_EWC,SPANISH_MAT,SPANISH_JOSS,SPANISH_SWME,SPANISH_PADG,ENGLISH_EWC,ENGLISH_MAT,ENGLISH_JOSS,ENGLISH_DURR,ENGLISH_PADG
001,kinship,madre,mother,1216,MOTHER,NA,2,233,NA,NA,NA,200,NA,madre,"madre, mamá",NA,NA,NA,mother,"mother, mama",NA,NA,NA
002,kinship,padre,father,1217,FATHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003,kinship,hijo/hija,"son/daughter, child",1801,CHILD (DESCENDANT),NA,3,NA,110,54,NA,363,NA,NA,"hija, hijo",hijo,NA,NA,NA,child,child,child,NA
004,kinship,hermana/hermano de otro genero,cross-sex sibling,NA,NA,CROSS-SEX SIBLING,1,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cross-sex sibling,NA
005,kinship,hermano de hombre,brother of man,559,BROTHER (OF MAN),NA,4,235,25,40,22,NA,NA,hermano de hombre,NA,hermano de hombre,hermano de hombre,NA,brother of male,NA,brother of man,brother,NA
006,kinship,hermana de mujer,sister of woman,NA,NA,SISTER OF WOMAN,2,238,NA,78,NA,NA,NA,hermana de mujer,NA,NA,NA,NA,sister of female,NA,NA,sister,NA
007,kinship,tía,aunt,1272,AUNT,NA,4,244,NA,35,NA,398,91,tía,tía,NA,NA,tía,aunt,aunt,NA,aunt,aunt
008,kinship,tío,uncle,1327,UNCLE,NA,3,243,NA,34,NA,364,NA,tío,tío,NA,NA,NA,uncle,uncle,NA,uncle,NA
009,person,hombre,man,1554,MAN,NA,4,115,52,47,NA,NA,53,hombre,NA,hombre,NA,hombre,man,NA,man,man,man
010,person,mujer,woman,962,WOMAN,NA,3,114,NA,13,NA,409,NA,mujer,mujer,NA,NA,NA,woman,woman,NA,woman,NA
011,person,dueño,"owner, boss",1036,OWNER,NA,2,299,63,NA,NA,NA,NA,dueño,NA,dueño,NA,NA,"owner, boss",NA,owner,NA,NA
