NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ADD_CONCEPT
1	abeja	bee	665	BEE	
2	abono	fertilizer			ABONO
3	ala	wing	1257	WING	
4	amarrar (la leña)	to tie together (firewood)	1917	TIE	
5	amarillo	yellow	1424	YELLOW	
6	ampolla	blister	1584	BLISTER	
7	ancho	wide	1243	WIDE	
8	anillo	ring	1374	RING	
9	árbol	tree	906	TREE	
10	blanco	white	1335	WHITE	
11	borrego	sheep	1331	SHEEP	
12	bravo	bold	91	INSOLENT	
13	bueno	good	1035	GOOD	
14	caballo	horse	615	HORSE	
15	cabello	hair	1040	HAIR	
16	su (masc) cabeza	his head	1256	HEAD	
17	calabaza	squash	864	PUMPKIN	
18	caminar	to walk	1443	WALK	
19	camote	yam	410	YAM	
20	canasta	basket	1539	BASKET	
21	cantar (una canción)	to sing (a song)	1261	SING	
22	carne	meat	2615	FLESH OR MEAT	
23	casa	house	1252	HOUSE	
24	cerca	nearby	1942	NEAR	
25	cerro	mountain	2118	MOUNTAIN OR HILL	
26	cerdo	pig	1337	PIG	
27	chayote	chayote			CHAYOTE
28	chile	chili pepper	919	CHILI PEPPER	
29	ciego	blind	1653	BLIND	
30	colibrí	hummingbird	1589	HUMMINGBIRD	
31	colgar (la ropa)	to hang (laundry/clothing)	357	HANG UP	
32	comal	comal (tortilla griddle)			COMAL
33	comprar (tortillas)	to buy (tortillas)	1869	BUY	
34	cortar (un árbol)	to cut (a tree)	3151	CUT (WITH AXE)	
35	coyote	coyote	912	COYOTE	
36	cuatro	four	1500	FOUR	
37	dos	two	1498	TWO	
38	dulce	sweet	717	SWEET	
39	elote	ear of corn			ELOTE
40	enfermedad	illness	1986	DISEASE	
41	escarbar (la tierra)	to dig (soil)	1418	DIG	
42	escuchar (una canción)	to listen (song)	1608	LISTEN	
43	flor	flower	239	FLOWER	
44	flor de calabaza	squash blossom			FLOR DE CALABAZA
45	frijol	bean	832	BEAN	
46	gallina	hen	1514	HEN	
47	gallo	rooster	1511	ROOSTER	
48	grueso	thick	1244	THICK	
49	hablar	to speak	1623	SPEAK	
50	harina	flour	1594	FLOUR	
51	hervir (el agua)	to boil (water)	792	BOIL (OF LIQUID)	
52	hilo	string	1161	THREAD	
53	hombre	man	1554	MAN	
54	jabón	soap	788	SOAP	
55	jícara	pitcher	120	PITCHER	
56	largo	long	1203	LONG	
57	lejos	far away	1406	FAR	
58	llegar	to arrive	1387	ARRIVE	
59	lluvia	rain	658	RAIN (PRECIPITATION)	
60	luna	moon	1313	MOON	
61	madera	wood	1803	WOOD	
62	manteca	lard	1282	FAT (FROM ANIMALS)	
63	México, D.F.	Mexico City			MEXICO
64	miel	honey	942	HONEY	
65	mojado	wet	1726	WET	
66	mucho	a lot			MUCHO
67	negro	black	163	BLACK	
68	noche	night	1233	NIGHT	
69	nueve	nine	1483	NINE	
70	nuevo	new 	1231	NEW	
71	oscuro	dark	706	DARK	
72	pasto	grass	606	GRASS	
73	palabra	word	1599	WORD	
74	pecado	sin	2971	SIN	
75	peine	comb	1475	COMB	
76	pelear	to fight	1423	FIGHT	
77	perro	dog	2009	DOG	
78	plato	plate	480	PLATE	
79	pobre	poor	1674	POOR	
80	polvo	dust	2	DUST	
81	raíz	root	670	ROOT	
82	reír	to laugh	1355	LAUGH	
83	río	river	3311	FLOWING BODY OF WATER	
84	rico	rich	712	RICH	
85	rojo	red	156	RED	
86	sal	salt	1274	SALT	
87	serpiente	snake	730	SNAKE	
88	semilla de chile	chili seed			SEMILLA DE CHILE
89	siete	seven	1704	SEVEN	
90	tenate	tenate (basket)			TENATE
91	tía	aunt	1272	AUNT	
92	tlacuache	opossum	309	OPOSSUM	
93	tortilla	tortilla			TORTILLA
94	vapor	vapor/steam	1193	STEAM	
95	vender (tortillas)	to sell (tortillas)	1571	SELL	
96	ver, mirar (una película)	to see/watch (movie)			VER O MIRAR
97	verde	green	1425	GREEN	
98	zorrillo	skunk			ZORRILLO
