ID,CATEGORY,CONCEPTICON_ID,CONCEPTICON_GLOSS,ADD_CONCEPT,ENGLISH,SPANISH,COVERAGE,ID_EWC,ID_MAT,ID_JOSS,ID_DURR,ID_SWME,ID_PADG,SPANISH_EWC,SPANISH_MAT,SPANISH_JOSS,SPANISH_SWME,SPANISH_PADG,ENGLISH_EWC,ENGLISH_MAT,ENGLISH_JOSS,ENGLISH_DURR,ENGLISH_PADG
001,kinship,1216,MOTHER,NA,MOTHER,madre,2,233,200,NA,NA,NA,NA,madre,"madre, mamá",NA,NA,NA,mother,"mother, mama",NA,NA,NA
002,kinship,,FATHER,,FATHER,padre,,,,,,,,,,,,,,,,,
003,kinship,1801,CHILD (DESCENDANT),NA,SON/DAUGHTER,hijo/hija,3,NA,363,110,54,NA,NA,NA,"hija, hijo",hijo,NA,NA,NA,child,child,child,NA
004,kinship,NA,NA,CROSS-SEX SIBLING,CROSS-SEX SIBLING,,1,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cross-sex sibling,NA
005,kinship,559,BROTHER (OF MAN),NA,BROTHER OF MAN,hermano de hombre,4,235,NA,25,40,22,NA,hermano de hombre,NA,hermano de hombre,hermano de hombre,NA,brother of male,NA,brother of man,brother,NA
006,kinship,NA,NA,SISTER OF WOMAN,SISTER OF WOMAN,hermana de mujer,2,238,NA,NA,78,NA,NA,hermana de mujer,NA,NA,NA,NA,sister of female,NA,NA,sister,NA
007,kinship,1272,AUNT,NA,AUNT,tía,4,244,398,NA,35,NA,91,tía,tía,NA,NA,tía,aunt,aunt,NA,aunt,aunt
008,kinship,1327,UNCLE,NA,UNCLE,tío,3,243,364,NA,34,NA,NA,tío,tío,NA,NA,NA,uncle,uncle,NA,uncle,NA
009,person,1554,MAN,NA,MAN,hombre,4,115,NA,52,47,NA,53,hombre,NA,hombre,NA,hombre,man,NA,man,man,man
010,person,962,WOMAN,NA,WOMAN,mujer,3,114,409,NA,13,NA,NA,mujer,mujer,NA,NA,NA,woman,woman,NA,woman,NA
011,person,1036,OWNER,NA,"OWNER, BOSS",dueño,2,299,NA,63,NA,NA,NA,dueño,NA,dueño,NA,NA,"owner, boss",NA,owner,NA,NA
012,person,852,PRIEST,NA,PRIEST,sacerdote,2,301,NA,182,NA,NA,NA,sacerdote,NA,sacerdote,NA,NA,priest,NA,priest,NA,NA
013,body,946,BLOOD,NA,BLOOD,sangre,4,209,401,39,NA,30,NA,sangre,sangre,sangre,sangre,NA,blood,blood,blood,NA,NA
014,body,1394,BONE,NA,BONE,hueso,3,210,114,NA,11,NA,NA,hueso,hueso,NA,NA,NA,bone,bone,NA,bone,NA
015,body,1040,HAIR,NA,HAIR,"cabello, pelo",3,208,NA,NA,NA,2,15,cabello,NA,NA,pelo,cabello,hair,NA,NA,NA,hair
016,body,1560,FACE,NA,FACE,cara,3,215,250,NA,72,NA,NA,cara,cara,NA,NA,NA,face,face,NA,face,NA
017,body,1205,TONGUE,NA,TONGUE,lengua,4,218,463,NA,110,67,NA,lengua,lengua,NA,lengua,NA,tongue,tongue,NA,tongue,NA
018,body,1380,TOOTH,NA,TOOTH,diente,4,219,494,27,57,NA,NA,diente,diente,diente,NA,NA,tooth,tooth,tooth,tooth,NA
019,body,674,MOUTH,NA,MOUTH,boca,3,206,NA,176,10,NA,NA,boca,NA,boca,NA,NA,mouth,NA,mouth,mouth,NA
020,body,1247,EAR,NA,EAR,oreja,3,205,NA,129,56,NA,NA,oreja,NA,oreja,NA,NA,ear,NA,ear,ear,NA
021,body,1221,NOSE,NA,NOSE,nariz,3,207,351,8,NA,NA,NA,nariz,nariz,nariz,NA,NA,nose,nose,nose,NA,NA
022,body,1333,NECK,NA,NECK,cuello,3,214,421,66,NA,NA,NA,cuello,"cuello, pescuezo",cuello,NA,NA,neck,neck,neck,NA,NA
023,body,1277,HAND,NA,HAND,mano,3,202,234,NA,5,NA,NA,mano,mano,NA,NA,NA,hand,hand,NA,hand,NA
024,body,1258,FINGERNAIL,NA,FINGERNAIL,uña,4,311,NA,107,91,69,NA,uña,NA,uña,uña,NA,fingernail ,NA,fingernail,fingernail,NA
025,body,1291,BACK,NA,BACK,espalda,2,203,325,NA,NA,NA,NA,espalda,espalda,NA,NA,NA,back,back,NA,NA,NA
026,body,,,STOMACH OR BELLY,STOMACH OR BELLY,panza,2,222,252,NA,NA,NA,NA,panza,"panza, estómago",NA,NA,NA,belly,"belly, stomach",NA,stomach,NA
027,body,1991,INTESTINES,,"intestine, guts","tripa, tripas",2,312,327,NA,NA,NA,NA,tripas,intestino,NA,NA,NA,tripe,intestine,NA,NA,NA
028,body,1301,FOOT,NA,FOOT,pie,4,216,352; 420,119,84,NA,NA,pie,pie,pie,NA,NA,foot,foot,foot,foot,NA
029,body,1986,DISEASE,NA,DISEASE,enfermedad,4,300,429,161,NA,NA,40,enfermedad,enfermedad,enfermedad,NA,enfermedad,illness,"sickness, illness",sickness,NA,illness
030,body,1372,MEDICINE,NA,MEDICINE,medicina,2,NA,101,NA,61,NA,NA,NA,"medicina, remedio",NA,NA,NA,NA,"medicine, remedy",NA,medicine,NA
031,body,1903,SWELLING,NA,SWELLING,hinchazón,3,125,115,143,NA,NA,NA,hinchazón,hinchazón,hinchazon,NA,NA,swelling,swelling,swelling,NA,NA
032,body,1809,PIMPLE,NA,PIMPLE,grano,3,85,223,144,NA,NA,NA,grano,grano,grano,NA,NA,"pimple, rash",pimple,pimple,NA,NA
033,body,1808,PUS,NA,PUS,"pus, materia",3,93,117,76,NA,NA,NA,"pus, materia",pus,pus,NA,NA,pus,pus,pus,NA,NA
034,body,1142,URINE,NA,URINE,orina,2,293,286,150,46,NA,NA,orina,NA,orina,NA,NA,urine,NA,urine,NA,NA
035,clothes,1895,CLOTHES,NA,CLOTHES,ropa,2,231,NA,NA,6,NA,NA,ropa,NA,NA,NA,NA,clothes,NA,NA,clothes,NA
036,clothes,NA,NA,HUARACHE,sandal,huarache,5,111,89,125,66,32,NA,huarache,huarache,huarache,huarache,NA,sandal,sandal,sandal,sandal,NA
037,clothes,809,TROUSERS,PANTS,PANTS,pantalón,3,110,328,181,NA,NA,NA,pantalón,pantalones,calzon,NA,NA,pants,trousers,trousers,NA,NA
038,clothes,NA,NA,HUIPIL,blouse,huipil,3,289,NA,48,NA,40,NA,huipil,NA,huipil,huipil,NA,"woven blouse, dress",NA,blouse,NA,NA
039,house,930,VILLAGE,NA,VILLAGE,pueblo,5,40,433,100,39,23,NA,pueblo,pueblo,pueblo,pueblo,NA,village,"town, village",town,town,NA
040,house,1252,HOUSE,NA,HOUSE,casa,5,25,55; 384,164,28,NA,23,casa,casa,casa,NA,casa,house,house,house,house,house
041,house,2457,PATH OR ROAD,NA,PATH OR ROAD,camino,3,65,NA,NA,15,3,NA,camino,NA,NA,camino,NA,path,NA,NA,road,NA
042,house,933,WALL (OF HOUSE),NA,WALL (OF HOUSE),pared,3,294,NA,86,38,NA,NA,pared,NA,pared,NA,NA,wall,NA,wall,wall,NA
043,house,281,POST,NA,POST,horcón,2,303,NA,126,NA,NA,NA,horcón,NA,horcon,NA,NA,housepost,NA,housepost,NA,NA
044,house,195,MAT,SLEEPING MAT,MAT,petate,5,64,505,3,9,8,NA,petate,petate,petate,petate,NA,sleeping mat,mat,straw mat,straw mat,NA
045,house,1663,BED,NA,BED,"cama, lecho",3,51,470,18,NA,NA,NA,"cama, lecho",cama,cama,NA,NA,bed,bed,bed,NA,NA
046,house,2058,STOOL,NA,STOOL,banquito,3,306,NA,168,32,NA,NA,banquito,NA,banquito,NA,NA,"stool, seat",NA,stool,stool,NA
047,animal,619,ANIMAL,NA,ANIMAL,animal,5,66,61; 337,35,1,10,NA,animal,animal,animal,animal,NA,animal,animal,animal,animal,NA
048,animal,937,BIRD,NA,BIRD,pájaro,4,12,304,147,37,NA,NA,pájaro,pájaro,pajaro,NA,NA,bird,bird,bird,bird,NA
049,animal,227,FISH,NA,FISH,"pez, pescado",3,14,340,NA,94,NA,NA,"pez, pescado","pescado, pez",NA,NA,NA,fish,fish,NA,fish,NA
050,animal,730,SNAKE,NA,SNAKE,"culebra, serpiente",5,29,339,69,65,NA,87,"culebra, serpiente",culebra,culebra,NA,serpiente,snake,snake,snake,snake,snake
051,animal,503,FROG,NA,FROG,rana,4,45,322,148,36,NA,NA,rana,rana,rana,NA,NA,frog,frog,frog,frog,NA
052,animal,307,HAWK,NA,HAWK,gavilán,2,290,NA,103,NA,NA,NA,gavilán,NA,gavilan,NA,NA,hawk,NA,hawk,NA,NA
053,animal,1538,SCORPION,NA,SCORPION,alacrán,3,61,310,139,NA,NA,NA,alacrán,"alacrán, escorpión",alacran,NA,NA,scorpion,scorpion,scorpion,NA,NA
054,animal,1575,COCKROACH,NA,COCKROACH,cucaracha,3,127,320,159,NA,NA,NA,cucaracha,cucaracha,cucaracha,NA,NA,cockroach,cockroach,cockroach,NA,NA
055,animal,607,GRASSHOPPER,NA,GRASSHOPPER,chapulín,3,74,321,NA,NA,86,NA,chapulín,chapulín,NA,chapulín,NA,grasshopper,grasshopper,NA,NA,NA
056,animal,665,BEE,NA,BEE,abeja,3,72,344,NA,NA,NA,1,abeja,abeja,NA,NA,abeja,bee,bee,NA,NA,bee
057,animal,2139,MUROID (MOUSE OR RAT),NA,MOUSE OR RAT,"ratón, rata",5,53,346,142,92,NA,NA,ratón,"rata, ratón",rata,NA,NA,mouse,"rat, mouse",rat,rat,NA
058,animal,1936,DEER,NA,DEER,venado,4,73,343,12,43,NA,NA,venado,"venado, ciervo",venado,NA,NA,deer,deer,deer,deer,NA
059,animal,1628,SQUIRREL,NA,SQUIRREL,ardilla,3,137,NA,185,NA,59,NA,ardilla,NA,ardilla,ardilla,NA,squirrel,NA,squirrel,NA,NA
060,animal,NA,NA,ZORRILLO,skunk,zorrillo,3,332,414,NA,NA,NA,98,zorrillo,zorrillo,NA,NA,zorrillo,skunk,skunk,NA,NA,skunk
061,animal,309,OPOSSUM,NA,OPOSSUM,tlacuache,2,78,NA,NA,NA,NA,92,tlacuache,NA,NA,NA,tlacuache,(o)possum,NA,NA,NA,opossum
062,animal,2389,COATI (COATIMUNDI),NA,COATI (COATIMUNDI),tejón,2,331,NA,45,NA,NA,NA,tejón,NA,tejón coatí,NA,NA,coati,NA,coati,NA,NA
063,animal,1885,ARMADILLO,NA,ARMADILLO,armadillo,2,92,NA,72,NA,NA,NA,armadillo,NA,armadillo,NA,NA,armadillo,NA,armadillo,NA,NA
064,animal,2009,DOG,NA,DOG,perro,5,59,431,NA,45,85,77,perro,perro,NA,perro,perro,dog,dog,NA,dog,dog
065,animal,1208,CAT,NA,CAT,gato,3,291,313,117,NA,NA,NA,gato,gato,gato,NA,NA,cat,cat,cat,NA,NA
066,animal,1511,ROOSTER,NA,ROOSTER,gallo,3,333,360,NA,NA,NA,47,gallo,gallo,NA,NA,gallo,rooster,rooster,NA,NA,rooster
067,animal,1514,HEN,NA,HEN,gallina,3,NA,436,NA,93,NA,46,NA,gallina,NA,NA,gallina,NA,hen,NA,(turkey) hen,hen
068,animal,1337,PIG,NA,PIG,"marrano, puerco, cerdo",3,334,299,NA,NA,NA,26,marrano,"marrano, puerco, cerdo",NA,NA,cerdo,pig,pig,NA,NA,pig
069,animal,615,HORSE,NA,HORSE,caballo,2,335,NA,NA,NA,NA,14,caballo,NA,NA,NA,caballo,horse,NA,NA,NA,horse
070,animal,1331,SHEEP,NA,SHEEP,"borrego, oveja",2,NA,126,NA,NA,NA,11,NA,"borrego, oveja",NA,NA,borrego,NA,sheep,NA,NA,sheep
071,animal,587,ANT,NA,ANT,hormiga,2,11,338,NA,NA,NA,NA,hormiga,hormiga,NA,NA,NA,ant,ant,NA,NA,NA
072,animal,1393,HORN (ANATOMY),NA,HORN (ANATOMY),cuerno,2,228,NA,68,NA,NA,NA,cuerno,NA,cuerno,NA,NA,horn,NA,horn,NA,NA
073,animal,1201,FEATHER,NA,FEATHER,pluma,3,101,NA,5,NA,74,NA,pluma,NA,pluma,pluma,NA,feather,NA,feather,NA,NA
074,animal,1257,WING,NA,WING,ala,3,229,NA,167,NA,NA,3,ala,NA,ala,NA,ala,wing,NA,wing,NA,wing
075,animal,1220,TAIL,NA,TAIL,cola,3,230,393,6,NA,NA,NA,cola,cola,cola,NA,NA,tail,tail,tail,NA,NA
076,plant,906,TREE,NA,TREE,"árbol, palo",5,102,NA,11,7,7,9,"palo, árbol",NA,árbol,árbol,árbol,tree,NA,tree,tree,tree
077,plant,NA,NA,HIERBA,herb,hierba,4,136,99,NA,85,36,NA,hierba,hierba,NA,hierba,NA,herbaceous plant,herb,NA,herb/ bush,NA
078,plant,239,FLOWER,NA,FLOWER,flor,5,39,468,NA,42,18,43,flor,flor,NA,flor,flor,flower,flower,NA,flower,flower
079,plant,NA,NA,MAGUEY,maguey,maguey,3,19,504,2,NA,NA,NA,maguey,maguey,maguey,NA,NA,century plant,maguey,agave,NA,NA
080,plant,670,ROOT,NA,ROOT,raíz,3,36,477,NA,NA,NA,81,raíz,raíz,NA,NA,raíz,root,root,NA,NA,root
081,plant,124,THORN,NA,THORN,espina,3,49,365,NA,NA,1,NA,espina,espina,NA,espina,NA,thorn,thorn,NA,NA,NA
082,corn,506,MAIZE,CORN GRAIN,grain of corn,maíz en grano,5,1,374; 521,85,73,31,NA,maíz en grano,maíz,maíz,maíz,NA,corn,corn,grain of corn,corn,NA
