LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V001_kaxa'an,5 ⇌ 11 / _X+,5 ⇌ 3 / _X+,11 ⇌ 3 / _X+
V002_kaka,5 ⇌ 11 / _X+,5 ⇌ 3 / _X+,11 ⇌ 3 / _X+
V003_kuunsavi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V004_ka'an,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V005_kusi,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V006_txiin,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V007_koso,5 ⇌ 113 / _[3-5],5 ⇌ 3 / _X+,11 ⇌  / _33
V008_ka'ntxa,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V009_kikin,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V010_kuntxati,5 ⇌ 113 / _[3-5],5 ⇌ 33 / _[3-5],11 ⇌ 3 / _X+
V011_ntxiko,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V012_ntaka'vi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V013_kaki,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V014_kana,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V015_kaki,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V016_txivi,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V017_ntixan,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V018_kayi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V019_kuaki,5 ⇌ 11 / _X+,5 ⇌ 31 / _[1-3],1 ⇌ 3 / _[1-3]+
V020_kusiki,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V021_lala,55 ⇌ 113 / _,55 ⇌ 13 / _,1 ⇌  / _X+
V022_kasha,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V023_sayo'va, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V024_yi'i,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V025_kitxi,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V026_kuati,5 ⇌ 13 / _X+,5 ⇌ 33 / _[3-5],1 ⇌ 3 / _[1-3]+
V027_kakan,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V028_kua'a,5 ⇌ 13 / _X+,5 ⇌ 33 / _[3-5],1 ⇌ 3 / _[1-3]+
V029_kivi,5 ⇌ 11 / _X+,51 ⇌ 33 / _,111 ⇌ 33 / _
V030_ko'o,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V031_chi'i,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V032_ntachi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V033_sakusivi,_55 ⇌ 1_33 / _53_, ⇌  / X+,1_33_ ⇌ __55 / _5_3_
V034_ka'mi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V035_nte'e,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V036_kuiin,5 ⇌ 13 / _X+,5 ⇌ 33 / _[3-5],1 ⇌ 3 / _[1-3]+
V037_sakana, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V038_chiti,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V039_kaita'an,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V040_ntikani,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V041_ki'vi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V042_kukuachiini,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V043_sa'a, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V044_kuntxaa,55 ⇌ 1133 / _,55 ⇌ 333 / _,11 ⇌ 3 / _X+
V045_ka'ni,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V046_kuniñu'u,5 ⇌ 11 / _X+, ⇌  / X+,11_ ⇌ _5 / _[3-5]_5+
V047_kua'nu,5 ⇌ 13 / _X+,5 ⇌ 33 / _[3-5],1 ⇌ 3 / _[1-3]+
V048_kunii,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V049_koan, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V050_ichi,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V051_tu'un,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
