LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V001_kaxa'an,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌ 3 / _[1-3-5]+ <28>
V002_kaka,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌ 3 / _[1-3-5]+ <28>
V003_kuunsavi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V004_ka'an,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V005_kusi,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V006_txiin,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V007_koso,5 ⇌ 113 / _[3-5] <7>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌  / _33 <1>
V008_ka'ntxa,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V009_kikin,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V010_kuntxati,5 ⇌ 113 / _[3-5] <7>,5 ⇌ 33 / _[3-5] <11>,11 ⇌ 3 / _[1-3-5]+ <28>
V011_ntxiko,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V012_ntaka'vi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V013_kaki,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V014_kana,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V015_kaki,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V016_txivi,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V017_ntixan,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V018_kayi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V019_kuaki,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 31 / _[1-3] <6>,1 ⇌ 3 / _[1-3]+ <9>
V020_kusiki,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V021_lala,55 ⇌ 113 / _ <2>,55 ⇌ 13 / _ <2>,1 ⇌  / _[1-3-5]+ <282>
V022_kasha,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V023_sayo'va, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V024_yi'i,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V025_kitxi,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V026_kuati,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 33 / _[3-5] <11>,1 ⇌ 3 / _[1-3]+ <9>
V027_kakan,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V028_kua'a,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 33 / _[3-5] <11>,1 ⇌ 3 / _[1-3]+ <9>
V029_kivi,5 ⇌ 11 / _[1-3-5]+ <63>,51 ⇌ 33 / _ <1>,111 ⇌ 33 / _ <1>
V030_ko'o,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V031_chi'i,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V032_ntachi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V033_sakusivi,_55 ⇌ 1_33 / _53_ <1>, ⇌  / [1-3-5]+ <46>,1_33_ ⇌ __55 / _5_3_ <1>
V034_ka'mi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V035_nte'e,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V036_kuiin,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 33 / _[3-5] <11>,1 ⇌ 3 / _[1-3]+ <9>
V037_sakana, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V038_chiti,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V039_kaita'an,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V040_ntikani,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V041_ki'vi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V042_kukuachiini,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V043_sa'a, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V044_kuntxaa,55 ⇌ 1133 / _ <4>,55 ⇌ 333 / _ <4>,11 ⇌ 3 / _[1-3-5]+ <28>
V045_ka'ni,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V046_kuniñu'u,5 ⇌ 11 / _[1-3-5]+ <63>, ⇌  / [1-3-5]+ <46>,11_ ⇌ _5 / _[3-5]_5+ <2>
V047_kua'nu,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 33 / _[3-5] <11>,1 ⇌ 3 / _[1-3]+ <9>
V048_kunii,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V049_koan, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V050_ichi,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V051_tu'un,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V052_kasini,_ ⇌ 1_1 / _5?[1-3]_[1-3]* <2>, ⇌ 1 / [3-5]*_[1-3]* <2>,1 ⇌  / _[1-3-5]+ <282>
V053_suva'a, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V054_ntikoo,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V055_kuni,333 ⇌ 11 / _3 <1>,33 ⇌  / _3+ <2>,11 ⇌ 3 / _[1-3-5]+ <28>
V056_kashi,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V057_tashi,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V058_sakuchi, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V059_kuchi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V060_kunani, ⇌ 11 / 1?_[1-3][3-5] <2>, ⇌ 3 / _[1-3-5]+ <8>,11 ⇌ 3 / _[1-3-5]+ <28>
V061_saka,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V062_chikaa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V063_kutxiya'a,3 ⇌ 111 / _555 <1>, ⇌  / [1-3-5]+ <46>,111 ⇌ 3 / _555 <1>
V064_tava,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V065_ntikatxa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V066_koxoo,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V067_taan,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V068_ntova,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V069_kuñu'un,5 ⇌ 113 / _[3-5] <7>,5 ⇌ 33 / _[3-5] <11>,11 ⇌ 3 / _[1-3-5]+ <28>
V070_yakua,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V071_nuna,55 ⇌ 111 / _ <5>,55 ⇌ 11 / _ <5>,1 ⇌  / _[1-3-5]+ <282>
