ID	Doculect	Concept	Form	PMCouplet	CogID_Durr	ToneMod	CitForm	IDlist	ID
836	cahu11	bone	yīkī	HHʔ	11	no	no	18	2150
94	peno11	face	núú	LLʔ	72	no	no	20	2151
173	coat11	face	nú̧ǔ̧	LLʔ	72	no	no	20	2152
249	moli11	face	nùù	LLʔ	72	no	no	20	2153
307	ocot11	face	nùù	LLʔ	72	no	no	20	2154
394	atat11	face	nūù	LLʔ	72	no	no	20	2155
501	gran11	face	nūù 	LLʔ	72	yes	no	20	2156
640	xaya11	face	nùù	LLʔ	72	no	no	20	2157
880	cahu11	face	nò̧ò̧	LLʔ	72	no	no	20	2158
943	mixt11	face	nùú	LLʔ	72	no	no	20	2159
1013	prog12	face	nùù	LLʔ	72	no	no	20	2160
1087	jica11	face	nú̧ú̧	LLʔ	72	no	no	20	2161
1137	chay11	face	nùù	LLʔ	72	no	no	20	2162
129	peno11	tongue	žâá	MT	110	no	no	21	2163
328	ocot11	tongue	žáá	MT	110	no	no	21	2164
428	atat11	tongue	žáá	MT	110	no	no	21	2165
541	gran11	tongue	žáā	MT	110	no	no	21	2166
606	caca11	tongue	žáà	MT	110	no	no	21	2167
657	xaya11	tongue	yàá	MT	110	no	no	21	2168
727	ayut11	tongue	yáà	MT	110	no	no	21	2169
764	alac11	tongue	láà	MT	110	no	no	21	2170
906	cahu11	tongue	yáá	MT	110	no	no	21	2171
960	mixt11	tongue	yâá	MT	110	no	no	21	2172
1043	prog12	tongue	žáà	MT	110	no	no	21	2173
83	peno11	tooth	nú̧ʔù̧	LH	57	no	no	22	2174
164	coat11	tooth	nù̧ʔú̧	LH	57	no	yes	22	2175
237	moli11	tooth	nù̧ʔū̧	LH	57	no	no	22	2176
380	atat11	tooth	Nù̧ʔū̧	LH	57	no	no	22	2177
486	gran11	tooth	nù̧ʔū̧	LH	57	no	no	22	2178
572	caca11	tooth	nò̧ʔō̧	LH	57	no	no	22	2179
868	cahu11	tooth	nò̧ʔō̧	LH	57	no	no	22	2180
39	peno11	mouth	žùʔù	HHʔ	10	no	no	23	2181
135	coat11	mouth	šùʔù	HHʔ	10	no	no	23	2182
206	moli11	mouth	žūʔū 	HHʔ	10	yes	no	23	2183
277	ocot11	mouth	žūʔú	HHʔ	10	no	no	23	2184
338	atat11	mouth	žūʔū	HHʔ	10	no	no	23	2185
438	gran11	mouth	žūʔū 	HHʔ	10	yes	no	23	2186
548	caca11	mouth	žūʔū 	HHʔ	10	yes	no	23	2187
665	ayut11	mouth	yùʔúʔ	HHʔ	10	no	no	23	2188
730	alac11	mouth	yūʔù	HHʔ	10	no	no	23	2189
770	metl11	mouth	yùʔū	HHʔ	10	no	no	23	2190
835	cahu11	mouth	yǖʔǖ	HHʔ	10	no	no	23	2191
910	mixt11	mouth	yūʔú	HHʔ	10	no	no	23	2192
968	prog12	mouth	žǘʔǜ	HHʔ	10	no	no	23	2193
1112	chay11	mouth	yūʔū	HHʔ	10	no	no	23	2194
12	diux11	ear	đò’ʔó	LH	56	no	no	24	2195
82	peno11	ear	đóʔò	LH	56	no	no	24	2196
379	atat11	ear	sòʔō	LH	56	no	no	24	2197
485	gran11	ear	sòʔō	LH	56	no	no	24	2198
571	caca11	ear	đòʔō	LH	56	no	no	24	2199
692	ayut11	ear	sōʔò	LH	56	no	no	24	2200
742	alac11	ear	sòʔō	LH	56	no	no	24	2201
867	cahu11	ear	sòʔō	LH	56	no	no	24	2202
1078	jica11	ear	sóʔó	LH	56	no	no	24	2203
35	peno11	hand	ⁿdàʔà	HHʔ	5	no	no	27	2204
133	coat11	hand	ⁿdàʔà	HHʔ	5	no	no	27	2205
202	moli11	hand	ⁿdāʔā 	HHʔ	5	yes	no	27	2206
272	ocot11	hand	ⁿdāʔá	HHʔ	5	no	no	27	2207
333	atat11	hand	ⁿdāʔā	HHʔ	5	no	no	27	2208
433	gran11	hand	ⁿdāʔā 	HHʔ	5	yes	no	27	2209
608	xaya11	hand	ⁿdāʔà 	HHʔ	5	yes	no	27	2210
661	ayut11	hand	ⁿdàʔáʔ	HHʔ	5	no	no	27	2211
