ID	Doculect	Concept	Form	PMCouplet	CogID_Durr
505	gran11	comb	kūkà	LL	77
506	gran11	sister	kùʔù	LL	78
507	gran11	to cut	kāʔⁿǰà	LL	79
508	gran11	to speak	kā̧ʔà̧	LL	80
509	gran11	year	kʷīà	LL	81
510	gran11	niece	šīkù	LL	82
511	gran11	nephew	sāxì̧	LL	83
512	gran11	foot	xāʔà	LL	84
513	gran11	herb, bush	žūkù	LL	85
514	gran11	thread	žūʔà	LL	86
515	gran11	sweet	ƀīšì	LL	87
516	gran11	nine	ɨ̧̄ɨ̧̀	LL	88
517	gran11	two	ūù	LL	89
518	gran11	five	ū̧ʔù̧	LL	90
519	gran11	fingernail	tíñū	MT	91
520	gran11	rat	tɨ̄ní	MT	92
521	gran11	turkey hen	čù̧ú̧ / tī-ñùú	MT	93
522	gran11	fish	čáká / tɨ̄-žáká	MT	94
523	gran11	black	tú̧ú̧	MT	95
524	gran11	sibling's husband	kàsá	MT	96
525	gran11	long	kánī	MT	97
526	gran11	big (sg)	káʔnū	MT	98
527	gran11	white	kʷíxí̧	MT	99
528	gran11	green	kʷíì	MT	100
529	gran11	small (in pieces)	kʷáčí	MT	101
530	gran11	red	kʷáʔá	MT	102
531	gran11	yellow	kʷá̧á̧	MT	103
532	gran11	poor	ⁿdáʔú	MT	104
533	gran11	to sell	šìkó	MT	105
534	gran11	precious metal	šù̧ʔú̧	MT	106
535	gran11	new	xáá	MT	107
536	gran11	little	lúlí	MT	108
537	gran11	people	ñà-žɨ̄ƀɨ̄	MT	109
538	gran11	tongue	žáā	MT	110
539	caca11	animal	kītì (M)	HHʔ	1
540	caca11	to eat	kāà (M)	HHʔ	2
541	caca11	beans	ⁿdūčī (M)	HHʔ	3
542	caca11	clothes	đāʔmà̧ (M)	HHʔ	6
543	caca11	tree	žītò̧	HHʔ	7
544	caca11	straw mat	žūù (M)	HHʔ	9
545	caca11	mouth	žūʔū (M)	HHʔ	10
546	caca11	rope	žōʔò	HHʔ	14
547	caca11	work	čō̧ō̧	HH	16
548	caca11	to come	kīšī	HH	18
549	caca11	to sing	kātā	HH	21
550	caca11	to burn	kāʔmā̧	HH	23
551	caca11	now	ƀīčī	HH	27
552	caca11	house	ƀēʔē	HH	28
553	caca11	one	ī̧ī̧	HH	30
554	caca11	paper	tūtù	HL	31
555	caca11	stool	tēì	HL	32
556	caca11	uncle	đītò	HL	34
