ID,ID_Durr,Doculect,Concept,Form,PMCouplet
210,15,Mol,road,īčī,HHʔ
211,16,Mol,work,tī̧ñū̧,HH
212,18,Mol,to come,kīī,HH
213,19,Mol,to run,kūnū,HH
214,20,Mol,to be,kūū,HH
215,21,Mol,to sing,kātā,HH
216,24,Mol,to look,kōtō,HH
217,25,Mol,to drink,kōʔō,HH
218,26,Mol,to buy,kʷā̧ā̧,HH
219,27,Mol,now,ƀītā̧,HH
220,28,Mol,house,ƀēʔē,HH
221,29,Mol,yesterday,īkū,HH
222,30,Mol,one,ī̧ī̧,HH
223,31,Mol,paper,tūtù,HL
224,34,Mol,uncle,stōò,HL
225,35,Mol,aunt,sīsì,HL
226,39,Mol,town,ñùù,HL
227,42,Mol,flower,ītà,HL
228,43,Mol,deer,īsù,HL
229,44,Mol,inside,īnì,HL
230,45,Mol,dog,īnà,HL
231,46,Mol,stomach,čìī,LH
232,47,Mol,man,tèē,LH
233,49,Mol,clay pot,kìsī,LH
234,50,Mol,metal,kàā,LH
235,52,Mol,cross-sex sibling,kʷàʔā,LH
236,54,Mol,child,sèʔē,LH
237,57,Mol,tooth,nù̧ʔū̧,LH
238,58,Mol,river,žùtē,LH
239,59,Mol,cold,ƀìxī̧,LH
240,60,Mol,good,ƀàʔā,LH
241,61,Mol,medicine,tàtà̧,LLʔ
242,62,Mol,four,kù̧ù̧ (M),LLʔ
243,63,Mol,day,kìƀì,LLʔ
244,64,Mol,cotton,kàčì,LLʔ
245,65,Mol,snake,kòò (M),LLʔ
246,68,Mol,tortilla,stàà (M),LLʔ
247,69,Mol,head,šìnì (M),LLʔ
248,71,Mol,soap,nàmà (M),LLʔ
249,72,Mol,face,nùù,LLʔ
250,73,Mol,corn,nùnì,LLʔ
251,75,Mol,moon,žòò (M),LLʔ
252,76,Mol,to go,kí̧ʔì̧,LL
253,78,Mol,sister,kùʔù,LL
254,80,Mol,to speak,kà̧ʔà̧,LL
255,81,Mol,year,kʷìžà,LL
256,85,Mol,"herb, bush",žùkù,LL
257,87,Mol,sweet,ƀìšì,LL
258,88,Mol,nine,ì̧ì̧,LL
259,89,Mol,two,ùù,LL
260,90,Mol,five,ù̧ʔù̧,LL
261,94,Mol,fish,čākā,MT
262,95,Mol,black,tū̧ū̧,MT
263,97,Mol,long,kání,MT
264,101,Mol,small (in pieces),kʷéčì,MT
265,104,Mol,poor,ⁿdáʔƀí,MT
266,105,Mol,to sell,šìkō,MT
267,106,Mol,precious metal,šù̧ʔū̧,MT
268,108,Mol,little,lūlī,MT
269,109,Mol,people,ñà-žīƀī,MT
270,1,Oco,animal,kītī,HHʔ
271,4,Oco,water,ⁿdūtē,HHʔ
272,5,Oco,hand,ⁿdāʔá,HHʔ
273,6,Oco,clothes,sāʔmā,HHʔ
274,7,Oco,tree,ñū̧tū̧,HHʔ
275,8,Oco,mountain,žūkū,HHʔ
276,9,Oco,straw mat,žūū,HHʔ
277,10,Oco,mouth,žūʔú,HHʔ
278,15,Oco,road,īčī,HHʔ
279,16,Oco,work,tīñū,HH
280,17,Oco,handspan,tōō,HH
281,21,Oco,to sing,kātā,HH
282,22,Oco,to be born,kākū,HH
283,28,Oco,house,ƀēʔē,HH
284,29,Oco,yesterday,īkū,HH
285,34,Oco,uncle,šītò,HL
286,35,Oco,aunt,šīšì,HL
287,37,Oco,bird,sāà,HL
288,39,Oco,town,ñūù,HL
289,40,Oco,brother,ñānì,HL
290,42,Oco,flower,ītà,HL
291,43,Oco,deer,īsù,HL
292,44,Oco,inside,īnì,HL
293,45,Oco,dog,t-īnà,HL
294,46,Oco,stomach,čìhī,LH
295,47,Oco,man,tèē,LH
296,50,Oco,metal,kàā,LH
297,51,Oco,meat,kùñū,LH
298,52,Oco,cross-sex sibling,kʷàʔā,LH
299,54,Oco,child,sèʔē,LH
300,55,Oco,sibling's wife,xànū,LH
301,58,Oco,river,žùtē,LH
302,60,Oco,good,ƀàʔā,LH
303,61,Oco,medicine,tà̧tà̧,LLʔ
304,62,Oco,four,kùmì,LLʔ
305,68,Oco,tortilla,šìtà,LLʔ
306,69,Oco,head,šìnì,LLʔ
307,72,Oco,face,nùù,LLʔ
308,73,Oco,corn,nùnì,LLʔ
309,74,Oco,stone,žùù,LLʔ
310,76,Oco,to go,kí̧ʔì̧,LL
311,78,Oco,sister,kùʔù,LL
312,80,Oco,to speak,kà̧ʔà̧,LL
313,82,Oco,niece,šìkù,LL
314,83,Oco,nephew,sàxì̧,LL
315,84,Oco,foot,xèʔè,LL
316,85,Oco,"herb, bush",žùkù,LL
317,93,Oco,turkey hen,čù̧ú̧,MT
318,96,Oco,sibling's husband,kàsá,MT
319,97,Oco,long,kání,MT
320,98,Oco,big (sg),káʔnū,MT
321,99,Oco,white,kʷīxí̧,MT
322,104,Oco,poor,ⁿdáʔƀí,MT
323,105,Oco,to sell,šìkó,MT
324,106,Oco,precious metal,šù̧ʔú̧,MT
325,107,Oco,new,xēé,MT
326,108,Oco,little,lūlí,MT
327,109,Oco,people,ⁿǰīƀì,MT
328,110,Oco,tongue,žáá,MT
329,1,Ata,animal,kɨ̄tɨ̄,HHʔ
330,2,Ata,to eat,kāxī,HHʔ
331,3,Ata,beans,ⁿdūčī,HHʔ
332,4,Ata,water,ⁿdūtē,HHʔ
333,5,Ata,hand,ⁿdāʔā,HHʔ
334,6,Ata,clothes,sāʔmā,HHʔ
335,7,Ata,tree,žūNū,HHʔ
336,8,Ata,mountain,žūkū,HHʔ
337,9,Ata,straw mat,žūū,HHʔ
338,10,Ata,mouth,žūʔū,HHʔ
339,11,Ata,bone,žɨ̄kɨ̄,HHʔ
340,12,Ata,chile,žāʔā,HHʔ
341,13,Ata,woman,ñā̧ʔā̧,HHʔ
342,14,Ata,rope,žōʔō,HHʔ
343,15,Ata,road,īčī,HHʔ
344,16,Ata,work,Nīñū,HH
345,17,Ata,handspan,tōō,HH
346,18,Ata,to come,kīxī,HH
347,19,Ata,to run,kūnū,HH
348,20,Ata,to be,kūū,HH
349,21,Ata,to sing,kātā,HH
350,22,Ata,to be born,kākū,HH
351,23,Ata,to burn,kāʔmū,HH
352,24,Ata,to look,kōtō,HH
353,25,Ata,to drink,kōʔō,HH
354,26,Ata,to buy,kʷā̧ā̧,HH
355,27,Ata,now,ƀīNā,HH
356,28,Ata,house,ƀēʔē,HH
