ID	PARAMETER_ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	COGIDS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LANGID	IPA	DUPLICATES
16	1_animal	ANIMAL	SanJuanDiuxiMixtec_A	kɨ̄tɨ	kɨ̄tɨ	k ɨ ³ t ɨ ¹	11	diux1236	619	17.3596	-97.3861		60	kɨ³tɨ¹	0
17	1_animal	ANIMAL	ConcepcionPapaloCuicatec	ītī	ītī	i ³ t i ³	11	tepe1280	619	17.84172	-96.8813		13	i³ti³	0
18	1_animal	ANIMAL	SantiagoYosonduaMixtec_A	kɨ̄tɨ̄	kɨ̄tɨ̄	k ɨ ³ t ɨ ³	11	yoso1239	619	16.9042	-97.5018		136	kɨ³tɨ³	0
19	1_animal	ANIMAL	SanJuanCopalaTriqui	shkuu³	shkuu³	ʃ kː u ³	13	copa1237	619	17.187222	-97.962778		59	ʃkːu³	0
20	1_animal	ANIMAL	SanAndresChicahuaxtla1890Triqui	Chukuha	chukuha	ʃ u k u + ʔ a	13 6	chic1273	619	17.15612	-97.84007		33	ʃukuʔa	0
21	1_animal	ANIMAL	SanPedroySanPabloTeposcolula1600Mixtec	quete	quete	k e t e	11		619	17.51167	-97.48883		94	kete	0
22	1_animal	ANIMAL	SanJuanDiuxiMixtec_B	kɨ̀tɨ̀	kɨ̀tɨ̀	k ɨ ¹ t ɨ ¹	11	diux1236	619	17.3596	-97.3861		61	kɨ¹tɨ¹	0
23	1_animal	ANIMAL	SantaMariaPenolesMixtec	kɨ̀tɨ̀	kɨ̀tɨ̀	k ɨ ¹ t ɨ ¹	11	sant1445	619	17.07959	-97.00272		115	kɨ¹tɨ¹	0
24	1_animal	ANIMAL	SanPedroMolinosMixtec	kītī	kītī	k i ³ t i ³	11	sanp1259	619	17.10495	-97.54152		91	ki³ti³	0
25	1_animal	ANIMAL	SantoTomasOcotepecMixtec_B	kītī	kītī	k i ³ t i ³	11	ocot1243	619	17.14419	-97.76322		143	ki³ti³	1
26	1_animal	ANIMAL	SanEstebanAtatlahucaMixtec_B	kɨ̄tɨ̄	kɨ̄tɨ̄	k ɨ ³ t ɨ ³	11	atat1238	619	17.07133	-97.67753		45	kɨ³tɨ³	1
27	1_animal	ANIMAL	SanMiguelElGrandeMixtec_B	kɨ̄tɨ̄	kɨ̄tɨ̄	k ɨ ³ t ɨ ³	11	sanm1295	619	17.04688	-97.62248		81	kɨ³tɨ³	1
28	1_animal	ANIMAL	SantiagoCacaloxtepecMixtec	kītì	kītì	k i ³ t i ¹	11	caca1250	619	17.7248	-97.7637		123	ki³ti¹	0
29	1_animal	ANIMAL	SanJeronimoXayacatlanMixtec	kīsì	kīsì	k i ³ s i ¹	11	south3001	619	18.22159	-97.91563		52	ki³si¹	0
30	1_animal	ANIMAL	MetlatonocMixtec	kītí	kītí	k i ³ t i ⁵	11	metl1238	619	17.1947	-98.3514		25	ki³ti⁵	0
31	1_animal	ANIMAL	CahuatacheMixtec	kītī	kītī	k i ³ t i ³	11	alac1244	619	17.41506	-98.53192		8	ki³ti³	0
32	1_animal	ANIMAL	SanJeronimoProgresoMixtec_B	kítì	kítì	k i ⁵ t i ¹	11	sila1250	619	17.44616	-98.15466		50	ki⁵ti¹	1
33	1_animal	ANIMAL	SantaMariaJicaltepecMixtec	kìtì	kìtì	k i ¹ t i ¹	11	pino1237	619	16.38086	-98.04128		112	ki¹ti¹	0
34	1_animal	ANIMAL	SanAgustinChayucoMixtec	kɨ̄tɨ̄	kɨ̄tɨ̄	k ɨ ³ t ɨ ³	11	chay1249	619	16.42	-97.83		30	kɨ³tɨ³	0
35	1_animal	ANIMAL	TlahuapaMixtec	kití	kití	k i ³ t i ⁵	11	alco1235	619	17.37553	-98.33826		145	ki³ti⁵	0
36	1_animal	ANIMAL	PiedraAzulMixtec	kitsǐ	kitsǐ	k i ³ ts i ¹⁵	11		619	17.380833	-98.185833		26	ki³tsi¹⁵	0
37	1_animal	ANIMAL	SanMarcoslaFlorMixtec	kijtsǐ	kijtsǐ	k i ³ h ts i ¹⁵	11	sanm1291	619	17.418889	-98.268611		69	ki³htsi¹⁵	0
38	1_animal	ANIMAL	SanSebastianMonteMixtec_A	kitì	kitì	k i ³ t i ¹	11	sila1250	619	17.6793	-98.02259		97	ki³ti¹	0
39	1_animal	ANIMAL	LaBateaMixtec	kitǐ	kitǐ	k i ³ t i ¹⁵	11	mixt1425	619	17.35948	-97.83233		22	ki³ti¹⁵	0
40	1_animal	ANIMAL	SanAgustinChayucoMixtec	quɨtɨ	quɨtɨ	k ɨ t ɨ	11	chay1249	619	16.42	-97.83		30	kɨtɨ	1
41	1_animal	ANIMAL	SanJuanColoradoMixtec_A	quɨtɨ	quɨtɨ	k ɨ ³ t ɨ ³	11	sanj1281	619	16.46073	-97.95446		57	kɨ³tɨ³	0
42	1_animal	ANIMAL	SantaMariaZacatepecMixtec	kiti	kiti	k i t i	11	sant1436	619	16.7003	-97.9484		121	kiti	1
43	1_animal	ANIMAL	AlacatlatzalaMixtec_A	kiti̠	kiti̠	k i ³ t i ¹	11	alac1244	619	17.25	-98.58		2	ki³ti¹	0
44	1_animal	ANIMAL	XochapaMixtec	kití	kití	k i ³ t i ⁵	11	xoch1238	619	17.38134	-98.44988		149	ki³ti⁵	0
45	1_animal	ANIMAL	MagdalenaPenascoMixtec	kiti	kiti	k i ³ t i ³	11	magd1235	619	17.2837	-97.5413		24	ki³ti³	0
46	1_animal	ANIMAL	SanEstebanAtatlahucaMixtec_A	quɨtɨ	quɨtɨ	k ɨ ³ t ɨ ³	11	atat1238	619	17.07133	-97.67753		44	kɨ³tɨ³	0
47	1_animal	ANIMAL	SantaMariaPapaloCuicatec	i³ti³	i³ti³	i ³ t i ³	11	sant1437	619	17.26813	-96.56338		114	i³ti³	0
48	1_animal	ANIMAL	SanJuanTepeuxila1900Cuicatec	iti	iti	i t i	11	tepe1280	619	18.72299	-95.84118		65	iti	0
49	1_animal	ANIMAL	Proto-Mixtec	kɨ́tɨ́ʔ	kɨ́tɨ́ʔ	k ɨ ⁵ t ɨ ⁵ ʔ	11	mixt1427	619				28	kɨ⁵tɨ⁵ʔ	0
50	1_animal	ANIMAL	AlcozaucaGuerreroMixtec	ki³ti⁴	ki³ti⁴	k i ³ t i ⁵	11	alco1235	619	17.3687	-98.3969		5	ki³ti⁵	0
51	1_animal	ANIMAL	SantaMariaZacatepecMixtec	ki²ti²ʔ	ki²ti²ʔ	k i ³ t i ³ ʔ	11	sant1436	619	16.7003	-97.9484		121	ki³ti³ʔ	0
52	1_animal	ANIMAL	ChalcatongoHidalgoMixtec_B	kɨ²tɨ²	kɨ²tɨ²	k ɨ ³ t ɨ ³	11	sanm1296	619	17.03226	-97.57074		10	kɨ³tɨ³	1
53	1_animal	ANIMAL	YucuquimiOcampoMixtec	ki³ti¹	ki³ti¹	k i ⁵ t i ¹	11		619	17.57853	-97.89014		153	ki⁵ti¹	0
54	1_animal	ANIMAL	SanAndresChicahuaxtlaTriqui_A	xucu³	xucu³	ʃ u k u ³	13	chic1273	619	17.15612	-97.84007		34	ʃuku³	1
55	1_animal	ANIMAL	ElJicaralMixtec	kití	kití	k i ³ t i ⁵	11	coic1238	619	17.12602	-98.196842		18	ki³ti⁵	0
56	1_animal	ANIMAL	SantaMariaAcatepecMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	sant1441	619	16.76337	-97.98945		109	kɨtɨ	0
57	1_animal	ANIMAL	SanMiguelAchiutlaMixtec	kiti	kiti	k i t i	11	sanm1292	619	17.3065	-97.48886		76	kiti	0
58	1_animal	ANIMAL	SantaCatarinaAdequezMixtec	kiti	kiti	k i t i	11		619	17.43688	-97.14695		101	kiti	0
59	1_animal	ANIMAL	SanMiguelAhuehuetitlanMixtec	kiti	kiti	k i t i	11	sila1250	619	17.67151	-98.32045		77	kiti	0
60	1_animal	ANIMAL	AlacatlatzalaMixtec_C	kiti	kiti	k i t i	11	alac1244	619	17.25	-98.58		4	kiti	1
61	1_animal	ANIMAL	AlcozaucaGuerreroMixtec	kiti	kiti	k i t i	11	alco1235	619	17.3687	-98.3969		5	kiti	1
62	1_animal	ANIMAL	SanMiguelAmatitlanMixtec	kiči	kiči	k i tʃ i	11		619	17.89179	-98.02529		78	kitʃi	0
63	1_animal	ANIMAL	SantaMariaApazcoMixtec	kiti	kiti	k i t i	11	apas1235	619	17.6143	-97.0657		110	kiti	0
64	1_animal	ANIMAL	SantiagoApoalaMixtec	kiti(tata)	kititata	k i t i + t a t a	11 16	apas1235	619	17.6143	-97.0657		122	kititata	0
65	1_animal	ANIMAL	SanEstebanAtatlahucaMixtec_B	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	atat1238	619	17.07133	-97.67753		45	kɨtɨ	1
66	1_animal	ANIMAL	SanAgustinAtenangoMixtec	kītì	kītì	k i ³ t i ¹	11		619	17.61188	-98.01527		29	ki³ti¹	0
67	1_animal	ANIMAL	SanPedroAtoyacMixtec	kiti	kiti	k i t i	11		619	16.48865	-97.9864		86	kiti	0
68	1_animal	ANIMAL	AyutlalosLibresMixtec_B	kitiʔ	kitiʔ	k i t i ʔ	11	ayut1236	619	16.8833	-98.9916		7	kitiʔ	1
69	1_animal	ANIMAL	SantaCruzBravoMixtec	kiti	kiti	k i t i	11		619	17.58093	-98.22383		105	kiti	0
70	1_animal	ANIMAL	SantiagoCacaloxtepecMixtec	kiti	kiti	k i t i	11	caca1250	619	17.7248	-97.7637		123	kiti	1
71	1_animal	ANIMAL	CahuatacheMixtec	kiti	kiti	k i t i	11	alac1244	619	17.41506	-98.53192		8	kiti	1
72	1_animal	ANIMAL	ChalcatongoHidalgoMixtec_B	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	sanm1296	619	17.03226	-97.57074		10	kɨtɨ	1
73	1_animal	ANIMAL	SanAgustinChayucoMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	chay1249	619	16.42	-97.83		30	kɨtɨ	1
74	1_animal	ANIMAL	SanPedroChayucoMixtec	kiti	kiti	k i t i	11		619	17.21534	-97.99416		87	kiti	0
75	1_animal	ANIMAL	SantiagoChazumbaMixtec	kiȼi	kiȼi	k i ts i	11	chaz1235	619	18.1541	-97.7873		124	kitsi	0
76	1_animal	ANIMAL	SanMiguelChicahuaMixtec	ti(tata)	titata	t i + t a t a	15 16		619	17.63719	-97.19479		79	titata	0
77	1_animal	ANIMAL	ChigmecatitlanMixtec	kiȼi	kiȼi	k i ts i	11	chig1239	619	18.6303	-98.1046		11	kitsi	0
78	1_animal	ANIMAL	SanJuanCoatzospamMixtec_B	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	coat1241	619	18.04875	-96.76363		56	kɨtɨ	1
79	1_animal	ANIMAL	CoicoyanlasFloresMixtec	kiti	kiti	k i t i	11	coic1238	619	17.27301	-98.27588		12	kiti	0
80	1_animal	ANIMAL	SanJuanColoradoMixtec_B	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	sanj1281	619	16.46073	-97.95446		58	kɨtɨ	1
81	1_animal	ANIMAL	CosoltepecMixtec	kisi	kisi	k i s i	11	chaz1235	619	18.14291	-97.79059		14	kisi	0
82	1_animal	ANIMAL	SanPedroCoxcaltepecCantarosMixtec	kiti	kiti	k i t i	11		619	17.49922	-97.13893		88	kiti	0
83	1_animal	ANIMAL	SanCristobalJamiltepecMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	chay1249	619	16.48433	-97.86594		43	kɨtɨ	0
84	1_animal	ANIMAL	CuatzoquitengoMixtec	kiti	kiti	k i t i	11	cuat1239	619	17.28835	-98.61552		15	kiti	0
85	1_animal	ANIMAL	SantaAnaCuauhtemocMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	cuya1240	619	17.98379	-96.79439		100	kɨtɨ	0
86	1_animal	ANIMAL	CuilapamGuerreroMixtec	kiti	kiti	k i t i	11		619	17.04496	-97.75798		16	kiti	0
87	1_animal	ANIMAL	CuyamecalcoVillaZaragozaMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	cuya1240	619	18.0821	-96.7314		17	kɨtɨ	0
88	1_animal	ANIMAL	SanJuanDiuxiMixtec_B	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	diux1236	619	17.3596	-97.3861		61	kɨtɨ	1
89	1_animal	ANIMAL	SanMartinDuraznosMixtec_B	kīȼì	kīȼì	k i ³ ts i ¹	11	juxt1235	619	17.30502	-98.10188		71	ki³tsi¹	1
90	1_animal	ANIMAL	SanMartinEstadoMixtec	kiti	kiti	k i t i	11		619	17.56721	-98.17607		72	kiti	0
91	1_animal	ANIMAL	SantaCatarinaEstetlaMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	peno1244	619	17.02627	-97.0974		102	kɨtɨ	0
92	1_animal	ANIMAL	SanFranciscolasFloresMixtec	kiči	kiči	k i tʃ i	11		619	17.777	-98.031		47	kitʃi	0
