1,"á"
1,"Á"
2,"a"
2,"A"
3,"à"
3,"À"
4,"ch"
4,"Ch"
5,"d"
5,"D"
6,"é"
6,"É"
7,"e"
7,"E"
8,"è"
8,"È"
9,"f"
9,"F"
10,"g"
10,"G"
11,"gu"
11,"Gu"
12,"í"
12,"Í"
13,"i"
13,"I"
14,"ì"
14,"Ì"
15,"j"
15,"J"
16,"k"
16,"K"
17,"ku"
17,"Ku"
18,"l"
18,"L"
19,"m"
19,"M"
20,"n"
20,"N"
21,"nch"
21,"Nch"
22,"nt"
22,"Nt"
23,"ntx"
23,"Ntx"
24,"ñ"
24,"Ñ"
25,"ó"
25,"Ó"
26,"o"
26,"O"
27,"ò"
27,"Ò"
28,"p"
28,"P"
29,"r"
29,"R"
30,"rr"
30,"Rr"
31,"s"
31,"S"
32,"sh"
32,"Sh"
33,"t"
33,"T"
34,"tx"
34,"Tx"
35,"ú"
35,"Ú"
36,"u"
36,"U"
37,"ù"
37,"Ù"
38,"v"
38,"V"
39,"x"
39,"X"
40,"y"
40,"Y"
