Grapheme	IPA	FREQUENCY	CODEPOINTS
a	a	51	U+0061
u	u	37	U+0075
s	s	34	U+0073
i	i	33	U+0069
ʔ	ʔ	27	U+0294
y	y	25	U+0079
u̧	u̧	24	U+0075 U+0327
k	k	23	U+006b
ñ	ñ	22	U+00f1
t	t	22	U+0074
i̧	i̧	20	U+0069 U+0327
ɨ	ɨ	20	U+0268
a̧	a̧	17	U+0061 U+0327
w	w	15	U+0077
ⁿd	ⁿd	14	U+207f U+0064
č	č	13	U+010d
-	NULL	10	U+002d
o̧	o̧	10	U+006f U+0327
n	n	9	U+006e
kʷ	kʷ	9	U+006b U+02b7
m	m	9	U+006d
e	e	8	U+0065
o	o	8	U+006f
ʔw	ʔw	6	U+0294 U+0077
tʸ	tʸ	5	U+0074 U+02b8
š	š	5	U+0161
ɨ̧	ɨ̧	5	U+0268 U+0327
ee	ee	3	U+0065 U+0065
ⁿǰ	ⁿǰ	3	U+207f U+01f0
ɨɨ	ɨɨ	2	U+0268 U+0268
ɨ̧́	ɨ̧́	2	U+0268 U+0327 U+0301
i̧i̧	i̧i̧	2	U+0069 U+0327 U+0069 U+0327
aa	aa	2	U+0061 U+0061
oo	oo	2	U+006f U+006f
l	l	2	U+006c
r	r	1	U+0072
ii	ii	1	U+0069 U+0069
kʷw	kʷw	1	U+006b U+02b7 U+0077
u̧u̧	u̧u̧	1	U+0075 U+0327 U+0075 U+0327
(sumi̧)	<???>	1	U+0028 U+0073 U+0075 U+006d U+0069 U+0327 U+0029
ɨ̧́ɨ̧́	ɨ̧́ɨ̧́	1	U+0268 U+0327 U+0301 U+0268 U+0327 U+0301
ʔⁿ	ʔⁿ	1	U+0294 U+207f
ǰ	ǰ	1	U+01f0
x	x	1	U+0078
ú̧	ú̧	1	U+00fa U+0327
ù̧	ù̧	1	U+00f9 U+0327
(ko̧o̧)-sawi	<???>	1	U+0028 U+006b U+006f U+0327 U+006f U+0327 U+0029 U+002d U+0073 U+0061 U+0077 U+0069
uu	uu	1	U+0075 U+0075
a̧a̧	a̧a̧	1	U+0061 U+0327 U+0061 U+0327
