ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
1541	copa11	sheep	matsinx³²	matsinx³²	74	NA	NA	NA	hollenbach1992syntactic	NA
1542	copa11	ant	shkw-aa³	shkw-aa³	75	animal-?	NA	NA	hollenbach1992syntactic	NA
1543	copa11	tail	tuneh⁴	tuneh⁴	79	not sure about basic tone, also appears as tuneh3	NA	NA	hollenbach1992syntactic	NA
1544	copa11	tree, wood, pole	chruun³	chruun³	80	NA	NA	NA	hollenbach1992syntactic	NA
1545	copa11	flower	yax³²	yax³²	83	NA	NA	NA	hollenbach1992syntactic	NA
1546	copa11	root	yaa⁵	yaa⁵	85	NA	NA	NA	hollenbach1992syntactic	NA
1547	copa11	thorn	tanx³²	tanx³²	86	NA	NA	NA	hollenbach1992syntactic	NA
1548	copa11	corn	hnuu⁵	hnuu⁵	87	NA	NA	NA	hollenbach1992syntactic	NA
1549	copa11	cornfield	naa³¹	naa³¹	88	NA	NA	NA	hollenbach1992syntactic	NA
1550	copa11	ear of corn	tanh³	tanh³	89	NA	NA	NA	hollenbach1992syntactic	NA
1551	copa11	tortilla	chraa³	chraa³	92	NA	NA	NA	hollenbach1992syntactic	NA
1552	copa11	bean	rnee³²	rnee³²	96	NA	NA	NA	hollenbach1992syntactic	NA
1553	copa11	chili pepper	yahax³	yahax³	98	NA	NA	NA	hollenbach1992syntactic	NA
1554	copa11	salt	yaan³²	yaan³²	99	NA	NA	NA	hollenbach1992syntactic	NA
1555	copa11	honey	katsih³	katsih³	103	NA	NA	NA	hollenbach1992syntactic	NA
1556	copa11	egg, fruit	chrux³	chrux³	105	NA	NA	NA	hollenbach1992syntactic	NA
1557	copa11	tuber	yume³²	yume³²	107	NA	NA	NA	hollenbach1992syntactic	NA
1558	copa11	banana	nato³²	nato³²	109	NA	NA	NA	hollenbach1992syntactic	NA
1559	copa11	custard apple	rkoo³²	rkoo³²	112	NA	NA	NA	hollenbach1992syntactic	NA
1560	copa11	meat, flesh	nee³¹	nee³¹	114	NA	NA	NA	hollenbach1992syntactic	NA
1561	copa11	(clay) pot	shrux³	shrux³	116	NA	NA	NA	hollenbach1992syntactic	NA
1562	copa11	oven, box	chruun⁵	chruun⁵	117	NA	NA	NA	hollenbach1992syntactic	NA
1563	copa11	fire	yahan³²	yahan³²	118	NA	NA	NA	hollenbach1992syntactic	NA
1564	copa11	ash	yax³	yax³	119	NA	NA	NA	hollenbach1992syntactic	NA
1565	copa11	charcoal	ruhwih³	ruhwih³	120	NA	NA	NA	hollenbach1992syntactic	NA
1566	copa11	smoke	katseh³	katseh³	121	NA	NA	NA	hollenbach1992syntactic	NA
1567	copa11	gourd	yachruh³	yachruh³	124	NA	NA	NA	hollenbach1992syntactic	NA
1568	copa11	palm basket	yoo⁴	yoo⁴	125	NA	NA	NA	hollenbach1992syntactic	NA
1569	copa11	box, oven	chruun⁵	chruun⁵	126	same as oven, see 117	NA	NA	hollenbach1992syntactic	NA
1570	copa11	thread	yuhwex³²	yuhwex³²	127	NA	NA	NA	hollenbach1992syntactic	NA
1571	copa11	rope	neh³	neh³	129	NA	NA	NA	hollenbach1992syntactic	NA
1572	copa11	net bag	nanx³	nanx³	131	NA	NA	NA	hollenbach1992syntactic	NA
1573	copa11	soap	yumih³	yumih³	132	NA	NA	NA	hollenbach1992syntactic	NA
1574	copa11	moon	yawii³	yawii³	134	NA	NA	NA	hollenbach1992syntactic	NA
1575	copa11	water	na³²	na³²	137	NA	NA	NA	hollenbach1992syntactic	NA
1576	copa11	rain (precipitation)	maan³¹	maan³¹	138	NA	NA	NA	hollenbach1992syntactic	NA
