Grapheme	IPA	FREQUENCY	CODEPOINTS
i	i	4880	U+0069
a	a	3965	U+0061
ʔ	ʔ	3483	U+0294
u	u	3017	U+0075
u̧	u̧	2789	U+0075 U+0327
t	t	2515	U+0074
k	k	2221	U+006b
i̧	i̧	2086	U+0069 U+0327
n	n	2018	U+006e
ñ	ñ	1770	U+00f1
ⁿd	ⁿd	1485	U+207f U+0064
a̧	a̧	1482	U+0061 U+0327
y	y	1340	U+0079
s	s	1251	U+0073
e	e	1225	U+0065
ž	ž	1158	U+017e
o	o	1158	U+006f
č	č	1124	U+010d
-	NULL	1073	U+002d
kʷ	kʷ	1048	U+006b U+02b7
š	š	990	U+0161
ƀ	ƀ	957	U+0180
đ	đ	863	U+0111
m	m	809	U+006d
w	w	655	U+0077
ɨ	ɨ	627	U+0268
o̧	o̧	431	U+006f U+0327
l	l	391	U+006c
ì	ì	297	U+00ec
x	x	287	U+0078
ɨ̧	ɨ̧	266	U+0268 U+0327
aa	aa	257	U+0061 U+0061
ee	ee	234	U+0065 U+0065
tʸ	tʸ	228	U+0074 U+02b8
ʔw	ʔw	218	U+0294 U+0077
uu	uu	217	U+0075 U+0075
i̧i̧	i̧i̧	205	U+0069 U+0327 U+0069 U+0327
oo	oo	190	U+006f U+006f
u̧u̧	u̧u̧	187	U+0075 U+0327 U+0075 U+0327
à	à	180	U+00e0
ù̧	ù̧	178	U+00f9 U+0327
ī	ī	158	U+012b
v	v	156	U+0076
ȩ	<?>	147	U+0229
N	<?>	135	U+004e
ā	ā	130	U+0101
ii	ii	126	U+0069 U+0069
ì̧	ì̧	117	U+00ec U+0327
a̧a̧	a̧a̧	114	U+0061 U+0327 U+0061 U+0327
ū̧	ū̧	114	U+016b U+0327
ù	ù	111	U+00f9
ū	ū	109	U+016b
ī̧	ī̧	102	U+012b U+0327
ȼ	<?>	102	U+023c
í	í	102	U+00ed
ⁿǰ	ⁿǰ	99	U+207f U+01f0
ʔⁿ	ʔⁿ	93	U+0294 U+207f
á	á	84	U+00e1
ṣ̌	ṣ̌	80	U+1e63 U+030c
h	h	76	U+0068
à̧	à̧	76	U+00e0 U+0327
ü	ü	76	U+00fc
d	d	72	U+0064
ⁿdʸ	ⁿdʸ	67	U+207f U+0064 U+02b8
í̧	í̧	57	U+00ed U+0327
è	è	56	U+00e8
ú̧	ú̧	56	U+00fa U+0327
ē	ē	55	U+0113
r	r	54	U+0072
ú	ú	54	U+00fa
ō	ō	52	U+014d
θ	θ	51	U+03b8
ò	ò	50	U+00f2
ɨɨ	ɨɨ	42	U+0268 U+0268
ó	ó	40	U+00f3
ⁿč	ⁿč	40	U+207f U+010d
ā̧	ā̧	38	U+0101 U+0327
ⁿs	ⁿs	34	U+207f U+0073
ỹ	ỹ	32	U+1ef9
ɨ̧ɨ̧	ɨ̧ɨ̧	31	U+0268 U+0327 U+0268 U+0327
á̧	á̧	31	U+00e1 U+0327
é	é	29	U+00e9
ì̧ì̧	ì̧ì̧	29	U+00ec U+0327 U+00ec U+0327
ɨ̄	ɨ̄	25	U+0268 U+0304
òò	òò	25	U+00f2 U+00f2
xʸ	xʸ	21	U+0078 U+02b8
kʷw	kʷw	21	U+006b U+02b7 U+0077
ɨ̧̀	ɨ̧̀	20	U+0268 U+0327 U+0300
ò̧	ò̧	20	U+00f2 U+0327
o̧o̧	o̧o̧	19	U+006f U+0327 U+006f U+0327
dʸ	dʸ	18	U+0064 U+02b8
iʰ	iʰ	17	U+0069 U+02b0
ìs	ìs	17	U+00ec U+0073
sʸ	sʸ	15	U+0073 U+02b8
z	z	14	U+007a
p	p	13	U+0070
ɨ́	ɨ́	13	U+0268 U+0301
ɨ̀	ɨ̀	12	U+0268 U+0300
í̧í̧	í̧í̧	11	U+00ed U+0327 U+00ed U+0327
ɨ̧̄	ɨ̧̄	11	U+0268 U+0327 U+0304
xʷ	xʷ	11	U+0078 U+02b7
ŗ	<?>	11	U+0157
ɨ̧́	ɨ̧́	10	U+0268 U+0327 U+0301
ɨ͂	ɨ͂	10	U+0268 U+0342
üü	üü	10	U+00fc U+00fc
ùù	ùù	10	U+00f9 U+00f9
