__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Stem alternation,Inflected form (IRR),Inflected form (NEG.IRR),Inflected form (CPL-1),Inflected form (CPL-2),Inflected form (INCPL),Inflected form (Stative),Tone (IRR),Tone (NEG.IRR),Tone (CPL-1) – lexical tone,Tone (CPL-2),Tone (INCPL)
4511,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku¹nuʔ¹u⁴,go back to the place of origin,ir de regreso al lugar de origen,intr,Trimoraic,ku+,ku¹nuʔ¹u⁴,ku¹⁴nuʔ¹u⁴,ni¹-ja¹nuʔ¹u⁴,ja¹nuʔ¹u⁴,ja⁴nuʔ¹u⁴,,1–1–4,14–1–4,1–1–4,1–1–4,4–1–4
4316,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku¹sun¹,sleep,dormir,intr,Bimoraic,ku+,ku¹sun¹,ku¹⁴sun¹,ni¹-ki¹xin¹,ki¹xin¹,ki⁴xin¹,,1–1,14–1,1–1,1–1,4–1
4501,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-chi³tu⁴,be contained,estar contenido,intr,Trimoraic,ku+,ku³-chi³tu⁴,ku¹⁴-chi³tu⁴,ni¹-ju³-chi³tu⁴,ju¹³-chi³tu⁴,ju⁴-chi³tu⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4616,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-kaʔ³an³,be embarrassed,avergonzarse,intr,Trimoraic,ku+,ku³-kaʔ³an³,ku¹⁴-kaʔ³an³,ni¹-xi³-kaʔ³an³,xi¹³-kaʔ³an³,xi⁴-kaʔ³an³ nu¹⁴u³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4503,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-na³mi⁴,get dressed,vestirse,intr,Trimoraic,ku+,ku³-na³mi⁴,ku¹⁴-na³mi⁴,ni¹-ju³-na³mi⁴,ju¹³-na³mi⁴,ju⁴-na³mi⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4319,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-na³ni²,resolve (an issue),resolverse un asunto,intr,Bimoraic,ku+,ku³-na³ni²,ku¹⁴-na³ni²,ni¹-ju³-na³ni²,ju¹³-na³ni²,ju⁴-na³ni²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4505,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-na³ni⁴,be called,llamarse,intr,Trimoraic,ku+,ku³-na³ni⁴,ku¹⁴-na³ni⁴,ni¹-ju³na³ni⁴,ju¹³-na³ni⁴,ju⁴-na³ni⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4618,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-nda³tu³,wait,esperar,intr,Trimoraic,ku+,ku³-nda³tu³,ku¹⁴-nda³tu³,ni¹-ju³-nda³tu³,ju¹³-nda³tu³,ju⁴-nda³tu³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4522,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-nde³ta³,stand up,pararse,intr,Trimoraic,ku+,ku³-nde³ta³,ku¹⁴-nde³ta³,ni¹-ju³-nde³ta³,ju¹³-nde³ta³,ju⁴-nde³ta³,,3–3–3,14–3–3,3–3–3,13–/–3–3,4–3–3
4523,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³-ndi³chi²,stand up,pararse,intr,Trimoraic,ku+,ku³-ndi³chi²,ku¹⁴-ndi³chi²,ni¹-ju³-ndi³chi²,ju¹³-ndi³chi²,ju⁴-ndi³chi²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
