__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Stem alternation,Inflected form (IRR),Inflected form (NEG.IRR),Inflected form (CPL-1),Inflected form (CPL-2),Inflected form (INCPL),Inflected form (Stative),Tone (IRR),Tone (NEG.IRR),Tone (CPL-1) – lexical tone,Tone (CPL-2),Tone (INCPL)
4342,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi¹na¹,be plentiful (animals),abundarse (animales),intr,Bimoraic,ku+,kwi¹na¹,kwi¹⁴na¹,ni¹-xi¹na¹,xi¹na¹,xi⁴na¹,,1–1,14–1,1–1,1–1,4–1
4345,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi¹so¹,boil,hervirse,intr,Bimoraic,ku+,kwi¹so¹,kwi¹⁴so¹,ni¹-si¹so¹,si¹so¹,si⁴so¹,,1–1,14–1,1–1,1–1,4–1
4346,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi¹so³,be bitten by something sharp,ser picado por algo puntiagudo,intr,Bimoraic,ku+,kwi¹so³,kwi¹⁴so¹³,ni¹-si¹so³,si¹so³,si⁴so¹³,,1–3,14–13,1–3,1–3,4–13
4347,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi¹ta¹,spill,derramarse,intr,Bimoraic,ku+,kwi¹ta¹,kwi¹⁴ta¹,ni¹-xi¹ta¹,xi¹ta¹,xi⁴ta¹,,1–1,14–1,1–1,1–1,4–1
4348,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi¹ya⁴,turn sour,acedarse,intr,Bimoraic,ku+,kwi¹ya⁴,kwi¹⁴ya¹⁴,ni¹-xi¹ya⁴,xi¹ya⁴,xi⁴ya¹⁴,,1–4,14–14,1–4,1–4,4–14
4349,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi³in³,be hanging,estar colgados,intr,Bimoraic,ku+,kwi³in³,kwi¹⁴in³,ni¹-xi³in³,xi¹³in³,xi⁴in⁴,,3–3,14–3,3–3,13–3,4–4
4350,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi³in³,allow,permitir,tr,Bimoraic,ku+,kwi³in³,kwi¹⁴in³,ni¹-xi³in³,xi¹³in³,xi⁴in⁴,,3–3,14–3,3–3,13–3,4–4
4351,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi³ko⁴,transport,acarrear,tr,Bimoraic,ku+,kwi³ko⁴,kwi¹⁴ko⁴,ni¹-xi³ko⁴null,xi¹³ko⁴null,xi⁴ko⁴null,,3–4,14–4,3–4,13–4,4–4
4521,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi³nda²a²,sponsor,apadrinar,tr,Trimoraic,ku+,kwi³nda²a²,kwi¹⁴nda²a²,ni¹-jui³nda²a²,jui¹³nda²a²,jui⁴nda²a²,,3–2–2,14–2–2,3–2–2,13–2–2,4–2–2
4352,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi³so³,load,cargar,tr,Bimoraic,ku+,kwi³so³,kwi¹⁴so³,ni¹-si³so³,si¹³so³,si⁴so³,,3–3,14–3,3–3,13–3,4–3
4353,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi³ta³,be heavy,ser pesado,intr,Bimoraic,ku+,kwi³ta³,kwi¹⁴ta³,ni¹-jwi³ta³,jwi¹³ta³,jwi⁴ta³,,3–3,14–3,3–3,13–3,4–3
4339,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwiʔ¹in³,leak (house),gotear casa,intr,Bimoraic,ku+,kwiʔ¹in³,kwiʔ¹⁴in³,ni¹-xiʔ¹in³,xiʔ¹in³,xiʔ⁴in¹³,,1–3,14–3,1–3,1–3,4–13
4344,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwiʔ¹nu³,be plentiful (plants),abundarse (plantas),intr,Bimoraic,ku+,kwiʔ¹nu³,kwiʔ¹⁴nu¹³,ni¹-xiʔ¹nu³,xiʔ¹nu³,xiʔ⁴nu¹³,,1–3,14–13,1–3,1–3,4–13
4343,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwiʔ¹ña¹,bid,pujar,intr,Bimoraic,ku+,kwiʔ¹ña¹,kwiʔ¹⁴ña¹,ni¹-xiʔ¹ña¹,xiʔ¹ña¹,xiʔ⁴ña¹,,1–1,14–1,1–1,1–1,4–1
4293,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka¹kan¹,"ask, request",pedir,tr,Bimoraic,ka+,ka¹kan¹,ka¹⁴kan¹,ni¹-xi¹kan¹,xi¹kan¹,xi⁴kan¹,,1–1,14–1,1–1,1–1,4–1
4296,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³kin²,lay eggs,poner huevos,intr,Bimoraic,ka+,ka³kin²,ka¹⁴kin²,ni¹-xa³kin²,xa¹³kin²,xa⁴kin²,,3–2,14–2,3–2,13–2,4–2
4495,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³ko¹o³,begin to be,empezar a haber,intr,Trimoraic,ka+,ka³ko¹o³,ka¹⁴ko¹o³,ni¹-xa³ko¹o³,xa¹³ko¹o³,xa⁴ko¹o³,,3–1–3,14–1–3,3–1–3,13–1–3,4–1–3
4496,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³kuʔ¹un³,be trapped,ser atrapado,intr,Trimoraic,ka+,ka³kuʔ¹un³,ka¹⁴kuʔ¹un³,ni¹-xa³kuʔ¹un³,xa¹³kuʔ¹un³,xa⁴kuʔ¹un³,,3–1–3,14–1–3,3–1–3,13–1–3,4–1–3
4497,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³kwi¹in¹,die down,amainar,intr,Trimoraic,ka+,ka³kwi¹in¹,ka¹⁴kwi¹in¹,ni¹-xa³kwi¹in¹,xa¹³kwi¹in¹,xa⁴kwi¹in¹,,3–1–1,14–1–1,3–1–1,13–1–1,4–1–1
4498,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³kwi¹in³,stay suspended,quedarse colgados,intr,Trimoraic,ka+,ka³kwi¹in³,ka¹⁴kwi¹in³,ni¹-xa³kwi¹in³,xa¹³kwi¹in³,xa⁴kwi¹in³,,3–1–3,14–1–3,3–1–3,13–1–3,4–1–3
4531,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³nduʔ⁴u⁴,lie down,acostarse,intr,Trimoraic,ka+,ka³nduʔ⁴u⁴,ka¹⁴nduʔ⁴u⁴,ni¹-ja³nduʔ⁴u⁴,ja¹³nduʔ⁴u⁴,ja⁴nduʔ⁴u⁴,,3–4–4,14–4–4,3–4–4,13–4–4,4–4–4
4299,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³ni²,spoil,desbaratar,tr,Bimoraic,ka+,ka³ni²,ka¹⁴ni²,ni¹-xa³ni²,xa¹³ni²,xa⁴ni²,,3–2,14–2,3–2,13–2,4–2
4301,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³sa³,"make, do",hacer,tr,Bimoraic,ka+,ka³sa³,ka¹⁴sa³,ni¹-ki³xa³,ki¹³xa³,ki⁴xa³,,3–3,14–3,3–3,13–3,4–3
4302,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³si²,stop,atajar,tr,Bimoraic,ka+,ka³si²,ka¹⁴si²,ni¹-sa³si²,sa¹³si²,sa⁴si²,nda⁴si²,3–2,14–2,3–2,13–2,4–2
4303,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³ta²,throw,tirar,tr,Bimoraic,ka+,ka³ta²,ka¹⁴ta²,ni¹-ja³ta²,ja¹³ta²,ja⁴ta²,,3–2,14–2,3–2,13–2,4–2
4304,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³ta³,dig,excavar,intr,Bimoraic,ka+,ka³ta³,ka¹⁴ta³,ni¹-xa³ta³,xa¹³ta³,xa⁴ta³,,3–3,14–3,3–3,13–3,4–3
4305,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³ta³,sing,cantar,intr,Bimoraic,ka+,ka³ta³,ka¹⁴ta³,ni¹-xi³ta³,xi¹³ta³,xi⁴ta³,,3–3,14–3,3–3,13–3,4–3
4614,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³xaʔ⁴an²,graze,pastar,intr,Trimoraic,ka+,ka³xaʔ⁴an²,ka¹⁴xaʔ⁴an²,ni¹-ja³xaʔ⁴an²,ja¹³xaʔ⁴an²,ja⁴xaʔ⁴an²,,3–4–2,14–4–2,3–4–2,13–4–2,4–4–2
4306,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³xi⁴,eat (by chewing),comer masticando,tr,Bimoraic,ka+,ka³xi⁴,ka¹⁴xi⁴,ni¹-xa³xi⁴,xa¹³xi⁴null,xa⁴xi²⁴null,,3–4,14–4,3–4,13–4,4–24
4294,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kaʔ¹nu¹,split in two,partir en dos,tr,Bimoraic,ka+,kaʔ¹nu¹,kaʔ¹⁴nu¹,ni¹-xaʔ¹nu¹,xaʔ¹nu¹,xaʔ⁴nu¹,taʔ⁴nu¹,1–1,14–1,1–1,1–1,4–1
4297,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kaʔ³mi³,burn,quemar,tr,Bimoraic,ka+,kaʔ³mi³,kaʔ¹⁴mi³,ni¹-xaʔ³mi³,xaʔ¹³mi³,xaʔ⁴mi³,,3–3,14–3,3–3,13–3,4–3
4298,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kaʔ³nda²,cut,cortar,tr,Bimoraic,ka+,kaʔ³nda²,kaʔ¹⁴nda²,ni¹-xaʔ³nda²,xaʔ¹³nda²,xaʔ⁴nda²,taʔ⁴nda¹,3–2,14–2,3–2,13–2,4–2
4300,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kaʔ³ni⁴,kill,matar,tr,Bimoraic,ka+,kaʔ³ni⁴,kaʔ¹⁴ni⁴,ni¹-xaʔ³ni⁴,xaʔ¹³ni⁴,xaʔ⁴ni²⁴,,3–4,14–4,3–4,13–4,4–24
4292,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,a³sa³,"make, do",hacer,tr,Bimoraic,Irregular,a³sa³,a¹⁴sa³,ni¹-i³xa³,i¹³xa³,i⁴xa³,,3–3,14–3,3–3,13–3,4–3
4295,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ka³ka³,walk,andar,intr,Bimoraic,Irregular,ka³ka³,ka¹⁴ka³,ni¹-xi¹ka³,xi¹ka³,xi⁴ka³,,3–3,14–3,1–3,1–3,4–3
4307,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ko³ko³,burn,quemarse,intr,Bimoraic,Irregular,ko³ko³,ko¹⁴ko³,ni¹-xi¹xi¹,xi¹xi¹,xi⁴xi¹,,3–3,14–3,1–1,1–1,4–1
4310,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ko³o³,be (there is),haber,intr,Bimoraic,Irregular,ko³o³,ko¹⁴o³,ni¹-xi¹yo³,xi¹yo³,xi⁴yo¹³,,3–3,14–3,1–3,1–3,4–13
4311,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,koʔ³o³,drink,beber,tr,Bimoraic,Irregular,koʔ³o³,koʔ¹⁴o³,ni¹-xiʔ³i³,xiʔ¹³i³,xiʔ⁴i⁴,,3–3,14–3,3–3,13–3,4–4
4326,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³u²,die,morir,intr,Bimoraic,Irregular,ku³u²,ku¹⁴u²,ni¹-xiʔ¹i¹,xiʔ¹i¹,xiʔ⁴i¹,,3–2,14–2,1–1,1–1,4–1
4317,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kuʔ¹un¹,go,ir,intr,Bimoraic,Irregular,kuʔ¹un¹,kuʔ¹⁴un¹,ni¹-xaʔ¹an¹,xaʔ¹an¹,xaʔ⁴an¹,,1–1,14–1,1–1,1–1,4–1
4625,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,na³ni²,reach,alcanzar,intr,Trimoraic,Irregular,na³ni²,na¹⁴ni²,ni¹-ju³-na³ni²,ju¹³-na³ni²,ju⁴-na³ni²,,3–2,14–2,3–3–2,13–3–2,4–3–2
4539,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,cha³ka³ba³,hang up,tender,tr,Trimoraic,Invariable,cha³ka³ba³,cha¹⁴ka³ba³,ni¹-cha³ka³ba³,cha¹³ka³ba³,cha⁴ka³ba³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4669,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,cha³ka³nduʔ⁴u⁴,lay down,acostar,tr,Quadrimoraic,Invariable,cha³ka³nduʔ⁴u⁴,cha¹⁴ka³nduʔ⁴u⁴,ni¹-cha³ka³nduʔ⁴u⁴,cha¹³ka³nduʔ⁴u⁴,cha⁴ka³nduʔ⁴u⁴,ka⁴nduʔ³u⁴,3–3–4–4,14–3–4–4,3–3–4–4,13–3–4–4,4–3–4–4
4354,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,cha³ka³ta⁴,weed cornfield,desyerbar milpa con tarecua,tr,Trimoraic,Invariable,cha³ka³ta⁴,cha¹⁴ka³ta⁴,ni¹-cha³ka⁴ta⁴,cha¹³ka⁴ta⁴,cha⁴ka³ta⁴,,3–3–4,14–3–4,3–4–4,13–4–4,4–3–4
4540,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,cha³kwi³in³,hang,colgar,tr,Trimoraic,Invariable,cha³kwi³in³,cha¹⁴kwi³in³,ni¹-cha³kwi³in³,cha¹³kwi³in³,cha⁴kwi³in³,i⁴in⁴,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4072,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³chin⁴,breastfeed,mamar,intr,Bimoraic,Invariable,chi³chin⁴,chi¹⁴chi⁴,ni¹-chi³chin⁴,chi¹³chin⁴,chi⁴chin⁴,,3–4,14–4,3–4,13–4,4–4
4073,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³i³,get wet,mojarse,intr,Bimoraic,Invariable,chi³i³,chi¹⁴i³,ni¹-chi³i³,chi¹³i³,chi⁴i⁴,,3–3,14–3,3–3,13–3,4–4
4075,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³ka²,put,meter,tr,Bimoraic,Invariable,chi³ka²,chi¹⁴ka²,ni¹-chi³ka²,chi¹³ka²,chi⁴ka²,ku³ndi³ka²,3–2,14–2,3–2,13–2,4–2
4355,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³keʔ⁴le¹,tickle,cosquillear,tr,Trimoraic,Invariable,chi³keʔ⁴le¹,chi¹⁴keʔ⁴le¹,ni¹-chi³keʔ⁴le¹,chi¹³keʔ⁴le¹,chi⁴keʔ⁴le¹,,3–4–1,14–4–1,3–4–1,13–4–1,4–4–1
4076,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³kun²,hang,colgar,tr,Bimoraic,Invariable,chi³kun²,chi¹⁴kun²,ni¹-chi³kun²,chi¹³kun²,chi⁴kun²,ndi⁴kun²,3–2,14–2,3–2,13–2,4–2
4356,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³kuʔ³ba²,measure,medir,tr,Trimoraic,Invariable,chi³kuʔ³ba²,chi¹⁴kuʔ³ba²,ni¹-chi³kuʔ³ba²,chi¹³kuʔ³ba²,chi⁴kuʔ³ba²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4357,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³ndaʔ³a⁴,push,empujar,tr,Trimoraic,Invariable,chi³ndaʔ³a⁴,chi¹⁴ndaʔ³a⁴,ni¹-chi³ndaʔ³a⁴,chi¹³ndaʔ³a⁴,chi⁴ndaʔ³a⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4358,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³nde³e⁴,help,ayudar,tr,Trimoraic,Invariable,chi³nde³e⁴,chi¹⁴nde³e⁴,ni¹-chi³nde³e⁴,chi¹³nde³e⁴,chi⁴nde³e⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4359,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³ndi⁴ki⁴,gore,cornear,tr,Trimoraic,Invariable,chi³ndi⁴ki⁴,chi¹⁴ndi⁴ki⁴,ni¹-chi³ndi⁴ki⁴,chi¹³ndi⁴ki⁴,chi⁴ndi⁴ki⁴,,3–4–4,14–4–4,3–4–4,13–4–4,4–4–4
4541,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³nduʔ⁴u⁴,put,poner,tr,Trimoraic,Invariable,chi³nduʔ⁴u⁴,chi¹⁴nduʔ⁴u⁴,ni¹-chi³nduʔ⁴u⁴,chi¹³nduʔ⁴u⁴,chi⁴nduʔ⁴u⁴,i⁴ndu³u⁴,3–4–4,14–4–4,3–4–4,13–4–4,4–4–4
4077,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³ni³,fit,encajar,tr,Bimoraic,Invariable,chi³ni³,chi¹⁴ni³,ni¹-chi³ni³,chi¹³ni³,chi⁴ni³,ni⁴ni³,3–3,14–3,3–3,13–3,4–3
4360,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³pa⁴chi¹,get swollen up,ponerse como ámpula,intr,Trimoraic,Invariable,chi³pa⁴chi¹,chi¹⁴pa⁴chi¹,ni¹-chi³pa⁴chi¹,chi¹³pa⁴chi¹,chi⁴pa⁴chi¹,,3–4–1,14–4–1,3–4–1,13–4–1,4–4–1
4361,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chi³pa⁴chi⁴,get fluffy,esponjarse,intr,Trimoraic,Invariable,chi³pa⁴chi⁴,chi¹⁴pa⁴chi⁴,ni¹-chi³pa⁴chi⁴,chi¹³pa⁴chi⁴,chi⁴pa⁴chi⁴,,3–4–4,14–4–4,3–4–4,13–4–4,4–4–4
4078,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chioʔ¹o⁴,be boiled,cocerse hervido,intr,Bimoraic,Invariable,chioʔ¹o⁴,chioʔ¹⁴o¹⁴null,ni¹-chioʔ¹o⁴,chioʔ¹o⁴,chioʔ⁴o¹⁴,,1–4,14–14,1–4,1–4,4–14
4074,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chiʔ³i³,sow,sembrar,tr,Bimoraic,Invariable,chiʔ³i³,chiʔ¹⁴i⁴,ni¹-chiʔ³i³,chiʔ¹³i³,chiʔ⁴i⁴,,3–3,14–4,3–3,13–3,4–4
4079,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,choʔ¹ma⁴,be crushed,ser aplastado,intr,Bimoraic,Invariable,choʔ¹ma⁴,choʔ¹⁴ma¹⁴,ni¹-choʔ¹ma⁴,choʔ¹ma⁴,choʔ⁴ma¹⁴,,1–4,14–14,1–4,1–4,4–14
4080,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,choʔ³ma⁴,squash,aplastar,tr,Bimoraic,Invariable,choʔ³ma⁴,choʔ¹⁴ma⁴,ni¹-choʔ³ma⁴,choʔ¹³ma⁴,choʔ⁴ma⁴,choʔ⁴ma⁴,3–4,14–4,3–4,13–4,4–4
4082,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chu¹⁴tu²,kiss,besar,tr,Bimoraic,Invariable,chu¹⁴tu²,kwa¹⁴ chu¹⁴tu²,ni¹-chu¹⁴tu²,chu¹⁴tu²,i⁴chu¹⁴tu²,,14–2,14 –14–2,14–2,14–2,(4)–14–2
4081,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chuʔ¹⁴ma¹,be smoked,ahumarse,intr,Bimoraic,Invariable,chuʔ¹⁴ma¹,kwa¹⁴ chuʔ¹⁴ma¹,ni¹-chuʔ¹⁴ma¹,chuʔ¹⁴ma¹,i⁴chuʔ¹⁴ma¹,,14–1,14 –14–1,14–1,14–1,(4)–14–1
4083,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,chuʔ³u⁴,put pressure on,azuzar,tr,Bimoraic,Invariable,chuʔ³u⁴,chuʔ¹⁴u⁴,ni¹-chuʔ³u⁴,chuʔ¹³u⁴,chuʔ⁴u⁴,,3–4,14–4,3–4,13–4,4–4
4084,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,i¹chi¹,dry (something alive),secarse algo vivo,intr,Bimoraic,Invariable,i¹chi¹,i¹⁴chi¹,ni¹-i¹chi¹,i¹chi¹,i⁴chi¹,,1–1,14–1,1–1,1–1,4–1
4085,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,iʔ³in³,scratch,rascarse,tr,Bimoraic,Invariable,iʔ³in³,iʔ¹⁴in³,ni¹-iʔ³in³,iʔ¹³in³,iʔ⁴in³,,3–3,14–3,3–3,13–3,4–3
4087,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka¹an¹,perforate,perforarse,intr,Bimoraic,Invariable,ka¹an¹,ka¹⁴an¹,ni¹-ka¹an¹,ka¹an¹,ka⁴an¹,,1–1,14–1,1–1,1–1,4–1
4089,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka¹an³,get used to,acostumbrarse,intr,Bimoraic,Invariable,ka¹an³,ka¹⁴an¹³,ni¹-ka¹an³,ka¹an³,ka⁴an¹³,,1–3,14–13,1–3,1–3,4–13
4090,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka¹ba¹,spin,girar,intr,Bimoraic,Invariable,ka¹ba¹,ka¹⁴ba¹,ni¹-ka¹ba¹,ka¹ba¹,ka⁴ba¹,,1–1,14–1,1–1,1–1,4–1
4091,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka¹ku³,get away,escapar,intr,Bimoraic,Invariable,ka¹ku³,ka¹⁴ku¹³,ni¹-ka¹ku³,ka¹ku³,ka⁴ku¹³,,1–3,14–13,1–3,1–3,4–13
4093,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka¹nda¹,move,moverse,intr,Bimoraic,Invariable,ka¹nda¹,ka¹⁴nda¹,ni¹-ka¹nda¹,ka¹nda¹,ka⁴nda¹,,1–1,14–1,1–1,1–1,4–1
4092,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka¹ña¹,produce noise,producir ruido,intr,Bimoraic,Invariable,ka¹ña¹,ka¹⁴ña¹,ni¹-ka¹ña¹,ka¹ña¹,ka⁴ña¹,,1–1,14–1,1–1,1–1,4–1
4094,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka¹sun¹,creak,crujir,intr,Bimoraic,Invariable,ka¹sun¹,ka¹⁴sun¹,ni¹-ka¹sun¹,ka¹sun¹,ka⁴sun¹,,1–1,14–1,1–1,1–1,4–1
4095,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka¹tu⁴,be beaten,ser golpeado,intr,Bimoraic,Invariable,ka¹tu⁴,ka¹⁴tu¹⁴,ni¹-ka¹tu⁴,ka¹tu⁴,ka⁴tu¹⁴,,1–4,14–14,1–4,1–4,4–14
4097,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka¹xan⁴,sneeze,estornudar,intr,Bimoraic,Invariable,ka¹xan⁴,ka¹⁴xan¹⁴,ni¹-ka¹xan⁴,ka¹xan⁴,ka⁴xan¹⁴,,1–4,14–14,1–4,1–4,4–14
4098,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka¹ya¹,be collected,ser recolectado,intr,Bimoraic,Invariable,ka¹ya¹,ka¹⁴ya¹,ni¹-ka¹ya¹,ka¹ya¹,ka⁴ya¹,,1–1,14–1,1–1,1–1,4–1
4670,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³-ta³ka³a³,hang,colgar,tr,Quadrimoraic,Invariable,ka³-ta³ka³a³,ka¹⁴-ta³ka³a³,ni¹-ka³-ta³ka³a³,ka¹³-ta³ka³a³,ka⁴-ta³ka³a³,i⁴ta³ka³a³,3–3–3–3,14–3–3–3,3–3–3–3,13–3–3–3,4–3–3–3
4546,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³-ta³ni³,hang,colgar,tr,Trimoraic,Invariable,ka³-ta³ni³,ka¹⁴-ta³ni³,ni¹-ka³-ta³ni³,ka¹³-ta³ni³,ka⁴-ta³ni³,i⁴ta³ni³,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4547,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³-taʔ³nu³,hang,colgar,tr,Trimoraic,Invariable,ka³-taʔ³nu³,ka¹⁴-taʔ³nu³,ni¹-ka³-taʔ³nu³,ka¹³-taʔ³nu³,ka⁴-taʔ³nu³,i⁴taʔ³nu³,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4101,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³a⁴,slip,resbalarse,intr,Bimoraic,Invariable,ka³a⁴,ka¹⁴a²⁴,ni¹-ka³a⁴,ka¹³a⁴,ka⁴a²⁴,,3–4,14–24,3–4,13–4,4–24
4102,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³an²,drill,perforar,tr,Bimoraic,Invariable,ka³an²,ka¹⁴an²,ni¹-ka³an²,ka¹³an²,ka⁴an²,,3–2,14–2,3–2,13–2,4–2
4104,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ka³ba³,lie down to sleep,tenderse para dormir,intr,Bimoraic,Invariable,ka³ba³,ka¹⁴ba³,ni¹-ka³ba³,ka¹³ba³,ka⁴ba³,,3–3,14–3,3–3,13–3,4–3
