__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Inflectional class by affixation,Stem alternation
3717,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka⁴ndi⁴chi³,stop,parar,tr,Trimoraic,ka³ndi³chi³,ka¹ndi²chi²,ka⁴ndi⁴chi³,,,,333,122,443,I.a,Invariant
3734,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ki⁴nda⁴a³,remove,quitar,tr,Trimoraic,ki³nda³a³,ki¹nda²a²,ki⁴nda⁴a³,,,,333,122,443,I.a,Invariant
3735,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ki⁴nda⁴a³,soothe,calmar,intr,Trimoraic,ki³nda³a³,ki¹nda²a²,ki⁴nda⁴a³,,,,333,122,443,I.a,Invariant
3790,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴ka⁴si³,close,cerrar,tr,Trimoraic,ndi³ka³si³,ndi¹-ka²si²,ndi⁴ka⁴si³,,,,333,122,443,I.a,Invariant
3701,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,chi⁴ndu⁴ʔu⁴,put,poner,tr,Trimoraic,chi³ndu⁴ʔu⁴,chi¹ndu⁴ʔu⁴,chi⁴ndu⁴ʔu⁴,,,,344,144,444,I.a,Invariant
3702,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,chi⁴nu⁴u⁴,put on top,poner encima,tr,Trimoraic,chi³nu⁴u⁴,chi¹nu⁴u⁴,chi⁴nu⁴u⁴,,,,344,144,444,I.a,Invariant
3718,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka⁴ndi⁴ta⁴,stop,parar,tr,Trimoraic,ka³ndi³ta³,ka¹ndi²ta²,ka⁴ndi⁴ta⁴,,,,333,122,444,I.a,Invariant
3719,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka⁴ndi⁴xa⁴,believe,creer,tr,Trimoraic,ka³ndi⁴xa⁴,ka¹ndi²xa²,ka⁴ndi⁴xa⁴,,,,344,122,444,I.a,Invariant
3737,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ki⁴xa⁴a⁴,start,empezar,tr,Trimoraic,ki³xa⁴a⁴,ki¹xa²a⁴,ki⁴xa⁴a⁴,,,,344,124,444,I.a,Invariant
3738,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ki⁴xa⁴a⁴,"make, do",hacer,tr,Trimoraic,ki³xa³a³,ki¹xa²a²,ki⁴xa⁴a⁴,,,,333,122,444,I.a,Invariant
3788,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴ka⁴ʔan⁴ (i³ni³),remember,acordarse,intr,Trimoraic,ndi³ka³ʔan⁴ (i³ni³),ndi¹ka²ʔan⁴ (i³ni³),ndi⁴ka⁴ʔan⁴ (i³ni³),,,,334,124,444,I.a,Invariant
3789,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴ka⁴ʔi⁴,paint,pintar,intr/tr,Trimoraic,ndi³ka³ʔi⁴,ndi¹ka²ʔi⁴,ndi⁴ka⁴ʔi⁴,,,,334,124,444,I.a,Invariant
3791,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴ka⁴va⁴,sink,hundirse,intr,Trimoraic,ndi³ka³va³,ndi¹-ka²va²,ndi⁴ka⁴va⁴,,,,333,122,444,I.a,Invariant
3797,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴ku⁴ʔun⁴,sharpen,afilar,tr,Trimoraic,ndi³ku³ʔun⁴,ndi¹ku²ʔun⁴,ndi⁴ku⁴ʔun⁴,,,,334,124,444,I.a,Invariant
3798,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴ndo⁴so⁴ (i³ni³),forget,olvidar,intr,Trimoraic,ndi³ndo³so⁴ (i³ni³),ndi¹ndo²so⁴ (i³ni³),ndi⁴ndo⁴so⁴ (i³ni³),,,,334,124,444,I.a,Invariant
3799,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴ti⁴vi⁴,clean (maize and beans),limpiar (maíz o frijol),tr,Trimoraic,ndi³ti³vi³,ndi¹ti²vi²,ndi⁴ti⁴vi⁴,,,,333,122,444,I.a,Invariant
3800,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴tu⁴ʔun⁴,chat,platicar,intr,Trimoraic,ndi³tu⁴ʔun⁴,ndi¹-tu⁴ʔun⁴,ndi⁴tu⁴ʔun⁴,,,,344,144,444,I.a,Invariant
3814,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,si⁴kwa⁴ʔa⁴,learn,aprender,tr,Trimoraic,si³kwa⁴ʔa⁴,si¹kwa⁴ʔa⁴,si⁴kwa⁴ʔa⁴,,,,344,144,444,I.a,Invariant
3792,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴ki⁴ta⁴ʔan⁴,join,juntarse,intr,Quadrimoraic,ndi³ki³ta⁴ʔan⁴,ndi¹ki¹ta⁴ʔan⁴,ndi⁴ki⁴ta⁴ʔan⁴,,,,3344,1144,4444,I.a,Invariant
3711,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ka⁴²ku³,get away,escapar,intr,Bimoraic,ka¹ku³,ndi¹-ka¹ku³,ka⁴²ku³,,ndi¹,,13,13,{4↓}3,I.b,Invariant
