__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Inflectional class by affixation,Stem alternation
3725,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka⁴tun⁴,tie up,amarrar,tr,Bimoraic,ka³tun⁴,ka²tun⁴,ka⁴tun⁴,,,,34,24,44,I.a,Invariant
3727,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka⁴ʔvi⁴,study,estudiar,tr,Bimoraic,ka³ʔvi³,ka²ʔvi²,ka⁴ʔvi⁴,,,,33,22,44,I.a,Invariant
3728,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,xa⁴xi⁴/ya⁴xi⁴,eat,comer,intr/tr,Bimoraic,ka³xi⁴,xa²xi⁴/ya²xi⁴,xa⁴xi⁴/ya⁴xi⁴,,,,34,24,44,I.a,ka+
3729,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ke⁴e⁴,leave,salir,intr,Bimoraic,ke³e³,ke²e²,ke⁴e⁴,,,,33,22,44,I.a,Invariant
3731,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ke⁴ta⁴,leave,salir,intr,Bimoraic,ke³ta³,ke²ta²,ke⁴ta⁴,,,,33,22,44,I.a,Invariant
3733,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ki⁴ʔin⁴,receive,recibir,tr,Bimoraic,ki³ʔin³,ki²ʔin²,ki⁴ʔin⁴,,,,33,22,44,I.a,Invariant
3740,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,va¹xi³,come,venir,intr,Bimoraic,ki³xi³,ki²xi²,va¹xi³,,,,33,22,44,I.a,ka+
3741,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ko⁴ko⁴,swallow,tragar,tr,Bimoraic,ko³ko⁴,ko²ko⁴,ko⁴ko⁴,,,,34,24,44,I.a,Invariant
3743,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,xi⁴ʔi⁴,drink,beber,intr/tr,Bimoraic,ko³ʔo³,xi²ʔi²,xi⁴ʔi⁴,,,,33,22,44,I.a,Suppletive
3744,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,xi⁴to⁴,watch,mirar,tr,Bimoraic,ko³to³,xi²to²,xi⁴to⁴,,,,33,22,44,I.a,ku+
3746,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,xa⁴ku⁴,cry,llorar,intr,Bimoraic,kwa³ku³,xa²ku²,xa⁴ku⁴,,,,33,22,44,I.a,ku+
3748,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,True,True,chi⁴chi⁴,bathe,bañar,intr,Bimoraic,ku³chi³,chi²chi²,chi⁴chi⁴,,,,33,22,44,I.a,ku+
3750,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,xu⁴na⁴,open,abrir,tr,Bimoraic,xu³na⁴,xu²na⁴,xu⁴na⁴,,,,34,24,44,I.a,Invariant
3753,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,nda⁴tu⁴,wait,esperar,tr,Bimoraic,ku³nda³tu³,xi¹nda²tu²,nda⁴tu⁴,ku³,xi¹,,33,22,44,II,Invariant
3756,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ndi⁴so⁴,load,cargar,tr,Bimoraic,ku³ndi³so³,xi¹ndi²so²,ndi⁴so⁴,ku³,xi¹,,33,22,44,II,Invariant
3757,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ndi⁴ta⁴,stand up,pararse,intr,Bimoraic,ku³ndi³ta³,xi¹ndi²ta²,ndi⁴ta⁴,ku³,xi¹,,33,22,44,II,Invariant
3758,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ndi⁴xi⁴,get dressed,vestirse,intr/tr,Bimoraic,ku³ndi³xi³,xi¹ndi²xi²,ndi⁴xi⁴,ku³,xi¹,,33,22,44,II,Invariant
