Code,VarietyLocation,Group,Sources,JosserandGroup
jate11,San Francisco Jaltepetongo,Mixtec,\citelalt{josserand1983mixtec},Northeastern Alta/Eastern Alta
jica11,Santa María Jicaltepec,Mixtec,\citelalt{josserand1983mixtec},Coast
jica11,Santa María Jicaltepec,Mixtec,\citelalt{durr1987preliminary},Coast
jica12,San Pedro Jicayán,Mixtec,\citelalt{josserand1983mixtec},Coast
joco11,San Pedro Jocotipac,Mixtec,\citelalt{josserand1983mixtec},Northeastern Alta
juxt11,Santiago Juxtlahuaca,Mixtec,\citelalt{josserand1983mixtec},Southern Baja
lore11,San Lorenzo,Mixtec,\citelalt{josserand1983mixtec},Coast
mech11,Santa Catarina Mechoacán,Mixtec,\citelalt{josserand1983mixtec},Coast
metl11,Metlatónoc,Mixtec,\citelalt{josserand1983mixtec},Southern Baja
metl11,Metlatónoc,Mixtec,\citelalt{durr1987preliminary},Southern Baja
mica11,El Rosario Micaltepec,Mixtec,\citelalt{josserand1983mixtec},Northern Baja
mixt11,San Juan Mixtepec,Mixtec,\citelalt{josserand1983mixtec},Mixtepec
mixt11,San Juan Mixtepec,Mixtec,\citelalt{durr1987preliminary},Mixtepec
moli11,San Pedro Molinos,Mixtec,\citelalt{josserand1983mixtec},Western Alta
moli11,San Pedro Molinos,Mixtec,\citelalt{durr1987preliminary},Western Alta
mont12,San Sebastián del Monte,Mixtec,\citelalt{josserand1983mixtec},Central Baja
mont12,San Sebastián del Monte,Mixtec,\citelalt{solano2020san-sebastian},Central Baja
mont13,Santa Lucía Monteverde,Mixtec,\citelalt{josserand1983mixtec},Western Alta
mont13,Santa Lucía Monteverde,Mixtec,\citelalt{solano2020verbs},Western Alta
mont14,San Agustín Monte Lobos,Mixtec,\citelalt{josserand1983mixtec},Northeastern Alta
more11,San Luis Morelia,Mixtec,\citelalt{josserand1983mixtec},Central Baja
ndua11,San Antonio Nduayaco,Mixtec,\citelalt{josserand1983mixtec},Northeastern Alta
nuch11,San Jorge Nuchita,Mixtec,\citelalt{josserand1983mixtec},Central Baja
numi11,San Juan Ñumi,Mixtec,\citelalt{josserand1983mixtec},Western Alta
numi11,San Juan Ñumi,Mixtec,\citelalt{gittlen2016gramatica},Western Alta
nund11,Santa Cruz Nundaco,Mixtec,\citelalt{josserand1983mixtec},Western Alta
nund13,Santo Domingo Nundo,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta/Tezoatlan
nuti11,Santa María Nutio,Mixtec,\citelalt{josserand1983mixtec},Coast
nuxa11,Santo Domingo Nuxaá,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
nuxi11,San Andrés Nuxiño,Mixtec,\citelalt{josserand1983mixtec},Eastern Alta
nuyo11,Santiago Nuyoó,Mixtec,\citelalt{josserand1983mixtec},Western Alta
ocot11,Santo Tomás Ocotepec,Mixtec,\citelalt{josserand1983mixtec},Western Alta
ocot11,Santo Tomás Ocotepec,Mixtec,\citelalt{durr1987preliminary},Western Alta
papa11,Santa María Pápalo,Cuicatec,\citelalt{anderson1983diccionario},NA
pena11,Magdalena Peñasco,Mixtec,\citelalt{hollenbach2013gramatica},Western Alta
pena12,San Mateo Peñasco,Mixtec,\citelalt{josserand1983mixtec},Western Alta
