"doc_id","citekey","code","branch","lex_est","lex_type","tones_marked","med_type","status","permission","digitized"
"D163",,"xoch11","Mixtec",120,,"no","dictionary_minimal",,,"no"
"D164","feist2015xochapa","xoch11","Mixtec",142,"verbs","yes","paradigms",,,"yes"
"D165","gonzalez-de-guzman2013diccionario","xoch11","Mixtec",550,,"yes","dictionary",,,"no"
"D166","josserand1983mixtec","yolo11","Mixtec",150,,"no","cognate_set",,,"yes"
"D167","feist2015yoloxochitl","yolo11","Mixtec",606,"verbs","yes","paradigms",,,"yes"
"D168",,"yolo11","Mixtec",2500,"all","yes","dictionary","unpublished","yes","yes"
"D169","josserand1983mixtec","yolo12","Mixtec",150,,"no","cognate_set",,,"yes"
"D17","josserand1983mixtec","atat11","Mixtec",150,,"no","cognate_set",,,"yes"
"D170","josserand1983mixtec","yoso11","Mixtec",150,,"no","cognate_set",,,"yes"
"D171","farris2012diccionario","yoso11","Mixtec",1100,,"no","dictionary",,,"no"
"D172","josserand1983mixtec","yucu11","Mixtec",150,,"no","cognate_set",,,"yes"
"D173","josserand1983mixtec","yucu12","Mixtec",150,,"no","cognate_set",,,"yes"
"D174","josserand1983mixtec","yucu13","Mixtec",150,,"no","cognate_set",,,"yes"
"D175","josserand1983mixtec","yucu14","Mixtec",150,,"no","cognate_set",,,"yes"
"D176","josserand1983mixtec","yucu15","Mixtec",150,,"no","cognate_set",,,"yes"
"D177","josserand1983mixtec","yucu16","Mixtec",150,,"no","cognate_set",,,"yes"
"D178","josserand1983mixtec","yuta11","Mixtec",150,,"no","cognate_set",,,"yes"
"D179","josserand1983mixtec","yuta12","Mixtec",150,,"no","cognate_set",,,"yes"
"D18","alexander1980gramatica","atat11","Mixtec",600,,"yes","pedagogical_grammar, vocabulary",,,"no"
"D180","williams2017diccionario","yuta13","Mixtec",4400,,"yes","dictionary",,,"no"
"D181","josserand1983mixtec","zaca11","Mixtec",150,,"no","cognate_set",,,"yes"
"D182","josserand1983mixtec","zapo11","Mixtec",150,,"no","cognate_set",,,"yes"
"D19","josserand1983mixtec","aten11","Mixtec",150,,"no","cognate_set",,,"yes"
"D2","josserand1983mixtec","acat11","Mixtec",150,,"no","cognate_set",,,"yes"
"D20","josserand1983mixtec","atoy11","Mixtec",150,,"no","cognate_set",,,"yes"
"D21","durr1987preliminary","ayut11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D22","campos2004diccionario","ayut11","Mixtec",120,,"yes","dictionary",,,"no"
"D23","josserand1983mixtec","ayut11","Mixtec",150,,"no","cognate_set",,,"yes"
"D24","josserand1983mixtec","brav11","Mixtec",150,,"no","cognate_set",,,"yes"
"D25","durr1987preliminary","caca11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D26","josserand1983mixtec","caca11","Mixtec",150,,"no","cognate_set",,,"yes"
"D27","durr1987preliminary","cahu11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D28","josserand1983mixtec","cahu11","Mixtec",150,,"no","cognate_set",,,"yes"
"D29","josserand1983mixtec","chal11","Mixtec",150,,"no","cognate_set",,,"yes"
"D3","josserand1983mixtec","achi11","Mixtec",150,,"no","cognate_set",,,"yes"
"D30","macaulay1990grammar","chal11","Mixtec",1400,,"yes","grammar",,,"no"
"D31","durr1987preliminary","chay11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D32","josserand1983mixtec","chay11","Mixtec",150,,"no","cognate_set",,,"yes"
"D33","pensinger1974diccionario","chay11","Mixtec",1200,,"no","dictionary",,,"no"
"D34","josserand1983mixtec","chay12","Mixtec",150,,"no","cognate_set",,,"yes"
"D35","josserand1983mixtec","chaz11","Mixtec",150,,"no","cognate_set",,,"yes"
"D36","josserand1983mixtec","chic11","Mixtec",150,,"no","cognate_set",,,"yes"
"D37","matsukawa2005preliminary","chic12","Triqui",400,,"yes","cognate_set",,,"no"
"D38","good1978diccionario","chic12","Triqui",1500,,"yes","dictionary",,,"no"
"D39","josserand1983mixtec","chig11","Mixtec",150,,"no","cognate_set",,,"yes"
"D4","josserand1983mixtec","adeq11","Mixtec",150,,"no","cognate_set",,,"yes"
"D40","durr1987preliminary","coat11","Mixtec",100,,"yes","cognate_set",,,"yes"
"D41","josserand1983mixtec","coic11","Mixtec",150,,"no","cognate_set",,,"yes"
"D42",,"colo11","Mixtec",120,,"no","dictionary_minimal",,,"no"
"D43","josserand1983mixtec","colo11","Mixtec",150,,"no","cognate_set",,,"yes"
"D44","feist2015colorado","colo11","Mixtec",237,"verbs","yes","paradigms",,,"yes"
"D45","campbell1986diccionario","colo11","Mixtec",1300,,"no","dictionary",,,"no"
"D46",,"copa11","Triqui",120,,"no","dictionary_minimal",,,"no"
"D47","matsukawa2005preliminary","copa11","Triqui",400,,"yes","cognate_set",,,"no"
"D48",,"copa11","Triqui",500,,"yes","grammar_sketch",,,"no"
"D49","josserand1983mixtec","coso11","Mixtec",150,,"no","cognate_set",,,"yes"
"D5","josserand1983mixtec","agua11","Mixtec",150,,"no","cognate_set",,,"yes"
"D50","josserand1983mixtec","coxc11","Mixtec",150,,"no","cognate_set",,,"yes"
"D51","josserand1983mixtec","cuat11","Mixtec",150,,"no","cognate_set",,,"yes"
"D52","josserand1983mixtec","cuau11","Mixtec",150,,"no","cognate_set",,,"yes"
"D53","josserand1983mixtec","cuil11","Mixtec",150,,"no","cognate_set",,,"yes"
"D54","josserand1983mixtec","cuya11","Mixtec",150,,"no","cognate_set",,,"yes"
