ID	Name	Location	Branch	Latitude	Longitude	Glottocode	ISO639P3code
59	ixta12	Santiago Ixtaltepec	Mixtec	17.54171	-97.11437	NA	NA
60	ixta13	San Miguel Ixtapam	Mixtec	18.80685	-100.15039	NA	NA
61	jami11	Santiago Jamiltepec	Mixtec	16.2279	-97.8417	jami1235	mxt
62	jate11	San Francisco Jaltepetongo	Mixtec	17.38592	-97.26345	NA	NA
63	jica11	Santa María Jicaltepec	Mixtec	16.38086	-98.04128	pino1237	mio
64	jica12	San Pedro Jicayán	Mixtec	16.45235	-98.0151	NA	NA
65	joco11	San Pedro Jocotipac	Mixtec	17.7687	-97.07983	NA	NA
66	juxt11	Santiago Juxtlahuaca	Mixtec	17.3518	-98.0146	juxt1235	vmc
67	lore11	San Lorenzo	Mixtec	17.66757	-98.11901	NA	NA
68	mech11	Santa Catarina Mechoacán	Mixtec	16.33471	-97.83626	chay1249	mih
69	metl11	Metlatónoc	Mixtec	17.1947	-98.3514	metl1238	mxv
70	mica11	El Rosario Micaltepec	Mixtec	18.04537	-97.85057	NA	NA
71	mitl11	Santiago Mitlatongo	Mixtec	17.16	-97.1757	mitl1235	vmm
72	mixt11	San Juan Mixtepec	Mixtec	17.3317	-97.8791	mixt1425	mix
73	moli11	San Pedro Molinos	Mixtec	17.10495	-97.54152	sanp1259	mig
74	mont11	San Antonino Monte Verde	Mixtec	17.53375	-97.72149	mont1271	xtn
75	mont12	San Sebastián del Monte	Mixtec	17.6793	-98.02259	sila1250	mks
76	mont13	Santa Lucía Monteverde	Mixtec	16.9969	-97.6277	sant1439	mdv
77	mont14	San Agustín Monte Lobos	Mixtec	17.63031	-97.28821	NA	NA
78	more11	San Luis Morelia	Mixtec	17.70342	-98.21456	tama1339	vmx
79	ndua11	San Antonio Nduayaco	Mixtec	17.68547	-97.14745	apas1235	mip
80	nica11	San Sebastián Nicananduta	Mixtec	17.51737	-97.68345	nort2985	xtn
81	nuch11	San Jorge Nuchita	Mixtec	17.65569	-98.10499	sila1250	mks
82	numi11	San Juan Ñumi	Mixtec	17.39759	-97.70603	nort2985	xtn
83	nund11	Santa Cruz Nundaco	Mixtec	17.17339	-97.72325	NA	NA
84	nund12	Santiago Nundiche	Mixtec	17.3312	-97.67444	nort2985	xtn
85	nund13	Santo Domingo Nundo	Mixtec	17.60855	-97.68566	NA	NA
86	nuti11	Santa María Nutio	Mixtec	16.48542	-97.90405	NA	NA
87	nuxa11	Santo Domingo Nuxaá	Mixtec	17.21663	-97.12285	NA	NA
88	nuxi11	San Andrés Nuxiño	Mixtec	17.23883	-97.10497	NA	NA
89	nuyo11	Santiago Nuyoó	Mixtec	17.0147	-97.76674	nuyo1238	meh
90	ocot11	Santo Tomás Ocotepec	Mixtec	17.14419	-97.76322	ocot1243	mie
91	papa11	Santa María Pápalo	Cuicatec	17.26813	-96.56338	sant1437	cux
92	pena11	Magdalena Peñasco	Mixtec	17.2837	-97.5413	magd1235	xtm
93	pena12	San Mateo Peñasco	Mixtec	17.15127	-97.53321	sanm1293	xtm
94	peno11	Santa María Peñoles	Mixtec	17.07959	-97.00272	sant1445	mil
95	peno11	Santa María Peñoles	Mixtec	17.0671	-97.0101	peno1244	mil
96	pera11	San Martín Peras	Mixtec	17.35912	-98.23725	sanm1291	jmx
97	petl11	Petlacalancingo	Mixtec	17.37597	-98.49096	petl1238	xta
98	pied11	San Miguel Piedras	Mixtec	16.9944	-97.2056	sanm1294	xtp
99	pied12	Piedra Azul	Mixtec	17.380833	-98.185833	NA	NA
100	pina11	San Juan Piñas	Mixtec	17.22264	-98.14487	sanj1280	jmx
101	pino11	Santiago Pinotepa Nacional	Mixtec	16.3043	-97.9966	pino1237	mio
102	pino12	Pinotepa de Don Luis	Mixtec	16.42666	-97.97647	pino1237	mio
103	plan11	Plan de Guadalupe	Mixtec	17.21731	-97.7826	plan1238	mim
104	poto11	Potoichan	Mixtec	17.42233	-98.72009	poto1253	mim
105	prog11	San Miguel Progreso	Mixtec	17.1743	-97.79838	NA	NA
106	prog12	San Jerónimo Progreso	Mixtec	17.44616	-98.15466	sila1250	mks
107	prom01	Proto-Mixtec	Mixtec	NA	NA	mixt1427	NA
108	prot01	Proto-Trique	Mixtec	NA	NA	triq1251	NA
109	reye11	Santos Reyes Tepejillo	Mixtec	17.43262	-97.93997	NA	NA
110	sayu11	San Francisco Sayultepec	Mixtec	16.59537	-98.12933	pino1237	mio
111	sila11	Silacayoapam	Mixtec	17.5541	-98.1163	sila1250	mks
112	sind11	San Mateo Sindihui	Mixtec	17.02	-97.3036	sind1277	xts
113	sini11	San José Sinicahua	Mixtec	17.221800000000002	-97.5904	sini1243	xti
114	soso11	San Jerónimo Sosola	Mixtec	17.36657	-97.03295	NA	NA
115	soya11	San Bartolo Soyaltepec	Mixtec	17.5892	-97.1921	soya1236	vmq
116	tama11	San Juan Tamazola	Mixtec	17.1258	-97.0998	tama1339	vmx
117	tama12	Santiago Tamazola	Mixtec	17.67041	-98.2216	NA	NA
118	tata11	Santa María Tataltepec	Mixtec	17.14222	-97.39407	sant1444	NA
119	teco11	San Sebastián Tecomaxtlahuaca	Mixtec	17.34568	-98.0312	NA	NA
120	teit11	San Juan Teita	Mixtec	17.1542	-97.3899	sanj1282	xtj
121	tejo11	Los Tejocotes	Mixtec	17.31342	-97.89609	NA	NA
122	tepa11	Tepango	Mixtec	20.00242	-97.79622	ayut1236	miy
123	tepa12	San Mateo Tepantepec	Mixtec	17.00277	-97.03289	sanm1297	mil
124	tepe03	San Juan Tepeuxila 1900	Mixtec	18.72299	-95.84118	tepe1280	cux
125	tepe11	Tepejillo	Mixtec	18.05265	-97.83906	NA	NA
126	tepe12	San Antonio Tepetlapa	Mixtec	16.54182	-98.06578	NA	NA
127	tepe13	San Juan Tepeuxila	Cuicatec	17.72299	-96.84118	tepe1280	cux
128	tepo01	San Pedro y San Pablo Teposcolula 1600	Mixtec	17.51167	-97.48883	NA	NA
129	tepo11	San Pedro y San Pablo Teposcolula	Mixtec	17.51167	-97.48883	NA	NA
130	teut11	San Pedro Teutila	Cuicatec	17.97703	-96.705581	teut1235	cut
