Grapheme1,Grapheme2,IPA,Class,Status,Comments,Source,Doculect
NA,NA,a1,VT,NA,NA,hills1990syntactic,ayut11
à,NA,a1,VT,NA,NA,oxnard2020,bate11
à,NA,a1,VT,NA,NA,pensinger1974diccionario,chay11
à,NA,a1,VT,NA,NA,pike1974downstepping,coat11
ā,NA,a1,VT,NA,NA,small1990syntactic,coat11
a,NA,a1,VT,NA,NA,bradley1991preliminary,conc11
a,NA,a1,VT,NA,NA,kuiper1991syntactic,diux11
à,NA,a1,VT,NA,NA,pike1976stress,diux11
à,NA,a1,VT,NA,NA,hernandez2020san-martin,dura11
à,NA,a1,VT,NA,NA,oxnard2020,flor12
ā,NA,a1,VT,NA,NA,dyk1965vocabulario,gran11
a,NA,a1,VT,NA,basic tones marked,johnson1988syntactic,jami11
à,NA,a1,VT,NA,NA,bradley1970a-linguistic,jica11
à,NA,a1,VT,NA,NA,overholt1961tonemic,metl11
à,NA,a1,VT,NA,NA,oxnard2020,mont12
a,NA,a1,VT,NA,NA,alexander1988syntactic,ocot11
à,NA,a1,VT,NA,NA,daly1977mixteco,peno11
à,NA,a1,CVC,NA,NA,oxnard2020,pied12
a̱,NA,a1,VT,NA,NA,north1976gramatica,prog12
NA,a,a1,VT,NA,NA,shields1988syntactic,prog12
à,NA,a1,V and tone,NA,NA,oxnard2020,tlah11
a,NA,a1,VT,NA,NA,farris1992syntactic,yoso11
à,NA,a1,VT,NA,NA,NA,NA
à,NA,a1,V,NA,NA,NA,NA
àn$,NA,ã1,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
à̧,NA,ã1,V,NA,NA,"josserand1983mixtec,",alac11
an$,NA,ã1,VT,NA,NA,zylstra1991syntactic,alac11
ān$,NA,ã1,VT,NA,NA,alexander1980gramatica,atat11
an$,NA,ã1,VT,NA,NA,hills1990syntactic,ayut11
àn$,NA,ã1,VT,NA,NA,oxnard2020,bate11
àn$,NA,ã1,VT,NA,NA,pensinger1974diccionario,chay11
à̢,NA,ã1,VT,NA,NA,pike1974downstepping,coat11
ān$,NA,ã1,VT,NA,NA,small1990syntactic,coat11
an$,NA,ã1,VT,NA,NA,bradley1991preliminary,conc11
à̢,NA,ã1,VT,NA,NA,pike1976stress,diux11
an,NA,ã1,VT,NA,NA,kuiper1991syntactic,diux11
àn$,NA,ã1,VT,NA,NA,hernandez2020san-martin,dura11
àn$,NA,ã1,VT,NA,NA,oxnard2020,flor12
ān$,NA,ã1,VT,NA,NA,dyk1965vocabulario,gran11
an$,NA,ã1,VT,NA,NA,johnson1988syntactic,jami11
à̢,NA,ã1,VT,NA,NA,bradley1970a-linguistic,jica11
àn,NA,ã1,VT,NA,NA,overholt1961tonemic,metl11
àn,NA,ã1,VT,NA,NA,oxnard2020,mont12
an$,NA,ã1,VT,NA,NA,alexander1988syntactic,ocot11
à̢,NA,ã1,VT,NA,NA,daly1977mixteco,peno11
àn,NA,ã1,CVC,NA,NA,oxnard2020,pied12
a̱n,NA,ã1,VT,NA,NA,north1976gramatica,prog12
NA,an,ã1,VT,NA,NA,shields1988syntactic,prog12
àn,NA,ã1,VT,NA,NA,oxnard2020,tlah11
an,NA,ã1,VT,NA,NA,farris1992syntactic,yoso11
à̧,NA,ã1,VT,NA,NA,NA,NA
à̧,NA,ã1,V,NA,NA,NA,NA
ǎ,NA,a15,V,NA,NA,josserand1983mixtec,alac11
ǎ,NA,a15,VT,NA,NA,oxnard2020,bate11
ǎ,NA,a15,VT,NA,NA,pike1974downstepping,coat11
ǎ,NA,a15,VT,NA,NA,oxnard2020,flor12
ǎ,NA,a15,CVC,NA,NA,oxnard2020,pied12
ǎ,NA,a15,VT,NA,NA,NA,NA
ǎ,NA,a15,V,NA,NA,NA,NA
ǎn$,NA,ã15,VT,NA,NA,oxnard2020,bate11
ǎ̢,NA,ã15,VT,NA,NA,pike1974downstepping,coat11
ǎn$,NA,ã15,VT,NA,NA,oxnard2020,flor12
ǎn,NA,ã15,CVC,NA,NA,oxnard2020,pied12
ààn,NA,ã1ã1,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
aan,NA,ã1ã1,VT,NA,NA,zylstra1991syntactic,alac11
āān,NA,ã1ã1,VT,NA,NA,alexander1980gramatica,atat11
aan,NA,ã1ã1,VT,NA,NA,hills1990syntactic,ayut11
ààn,NA,ã1ã1,VT,NA,NA,oxnard2020,bate11
ààn,NA,ã1ã1,VT,NA,NA,pensinger1974diccionario,chay11
āān,NA,ã1ã1,VT,NA,NA,small1990syntactic,coat11
aan,NA,ã1ã1,VT,NA,NA,kuiper1991syntactic,diux11
ààn,NA,ã1ã1,VT,NA,NA,hernandez2020san-martin,dura11
ààn,NA,ã1ã1,VT,NA,NA,oxnard2020,flor12
āān,NA,ã1ã1,VT,NA,NA,dyk1965vocabulario,gran11
aan,NA,ã1ã1,VT,NA,NA,johnson1988syntactic,jami11
ààn,NA,ã1ã1,VT,NA,NA,oxnard2020,mont12
aan,NA,ã1ã1,VT,NA,NA,alexander1988syntactic,ocot11
àà̢,NA,ã1ã1,VT,NA,NA,daly1977mixteco,peno11
ààn,NA,ã1ã1,CVC,NA,NA,oxnard2020,pied12
a̱a̱n,NA,ã1ã1,VT,NA,NA,north1976gramatica,prog12
NA,aan,ã1ã1,VT,NA,NA,shields1988syntactic,prog12
ààn,NA,ã1ã1,VT,NA,NA,oxnard2020,tlah11
aan,NA,ã1ã1,VT,NA,NA,farris1992syntactic,yoso11
àǎn,NA,ã1ã15,VT,NA,NA,oxnard2020,bate11
àǎn,NA,ã1ã15,VT,NA,NA,oxnard2020,flor12
àǎn,NA,ã1ã15,CVC,NA,NA,oxnard2020,pied12
àan,NA,ã1ã3,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
aān,NA,ã1ã3,VT,NA,NA,zylstra1991syntactic,alac11
āan,NA,ã1ã3,VT,NA,NA,alexander1980gramatica,atat11
aān,NA,ã1ã3,VT,NA,NA,hills1990syntactic,ayut11
àan,NA,ã1ã3,VT,NA,NA,oxnard2020,bate11
àān,NA,ã1ã3,VT,NA,NA,pensinger1974diccionario,chay11
aān,NA,ã1ã3,VT,NA,NA,kuiper1991syntactic,diux11
àan,NA,ã1ã3,VT,NA,NA,hernandez2020san-martin,dura11
àan,NA,ã1ã3,VT,NA,NA,oxnard2020,flor12
āan,NA,ã1ã3,VT,NA,NA,dyk1965vocabulario,gran11
aān,NA,ã1ã3,VT,NA,NA,johnson1988syntactic,jami11
àan,NA,ã1ã3,VT,NA,NA,oxnard2020,mont12
aān,NA,ã1ã3,VT,NA,NA,alexander1988syntactic,ocot11
àa̢,NA,ã1ã3,VT,NA,NA,daly1977mixteco,peno11
àan,NA,ã1ã3,CVC,NA,NA,oxnard2020,pied12
aān,NA,ã1ã3,VT,NA,NA,shields1988syntactic,prog12
a̱an,NA,ã1ã3,VT,NA,NA,north1976gramatica,prog12
àan,NA,ã1ã3,VT,NA,NA,oxnard2020,tlah11
aān,NA,ã1ã3,VT,NA,NA,farris1992syntactic,yoso11
àă̢,NA,ã1ã35,VT,NA,NA,daly1977mixteco,peno11
àán,NA,ã1ã5,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
aán,NA,ã1ã5,VT,NA,NA,zylstra1991syntactic,alac11
āán,NA,ã1ã5,VT,NA,NA,alexander1980gramatica,atat11
aán,NA,ã1ã5,VT,NA,NA,hills1990syntactic,ayut11
àán,NA,ã1ã5,VT,NA,NA,oxnard2020,bate11
àán,NA,ã1ã5,VT,NA,NA,pensinger1974diccionario,chay11
āán,NA,ã1ã5,VT,NA,NA,small1990syntactic,coat11
aán,NA,ã1ã5,VT,NA,NA,kuiper1991syntactic,diux11
àán,NA,ã1ã5,VT,NA,NA,hernandez2020san-martin,dura11
àán,NA,ã1ã5,VT,NA,NA,oxnard2020,flor12
āán,NA,ã1ã5,VT,NA,NA,dyk1965vocabulario,gran11
aán,NA,ã1ã5,VT,NA,NA,johnson1988syntactic,jami11
àán,NA,ã1ã5,VT,NA,NA,oxnard2020,mont12
aán,NA,ã1ã5,VT,NA,NA,alexander1988syntactic,ocot11
àá̢,NA,ã1ã5,VT,NA,NA,daly1977mixteco,peno11
àán,NA,ã1ã5,CVC,NA,NA,oxnard2020,pied12
a̱án,NA,ã1ã5,VT,NA,NA,north1976gramatica,prog12
NA,aán,ã1ã5,V and tone,NA,NA,shields1988syntactic,prog12
àán,NA,ã1ã5,VT,NA,NA,oxnard2020,tlah11
aán,NA,ã1ã5,VT,NA,NA,farris1992syntactic,yoso11
àân,NA,ã1ã51,VT,NA,NA,oxnard2020,bate11
āân,NA,ã1ã51,VT,NA,NA,small1990syntactic,coat11
aân,NA,ã1ã51,VT,NA,NA,kuiper1991syntactic,diux11
àân,NA,ã1ã51,VT,NA,NA,oxnard2020,flor12
àân,NA,ã1ã51,CVC,NA,NA,oxnard2020,pied12
a,NA,a3,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
ā,NA,a3,V,NA,NA,"josserand1983mixtec, zylstra1991syntactic",alac11
a,NA,a3,VT,NA,NA,alexander1980gramatica,atat11
ā,NA,a3,VT,NA,NA,hills1990syntactic,ayut11
a,NA,a3,VT,NA,NA,oxnard2020,bate11
ā,NA,a3,VT,NA,NA,pensinger1974diccionario,chay11
ā,NA,a3,VT,NA,NA,bradley1991preliminary,conc11
ā,NA,a3,VT,NA,NA,kuiper1991syntactic,diux11
a,NA,a3,VT,NA,NA,hernandez2020san-martin,dura11
a,NA,a3,VT,NA,NA,oxnard2020,flor12
a,NA,a3,VT,NA,NA,dyk1965vocabulario,gran11
ā,NA,a3,VT,NA,NA,johnson1988syntactic,jami11
ā,NA,a3,VT,NA,NA,bradley1970a-linguistic,jica11
ā,NA,a3,VT,NA,NA,overholt1961tonemic,metl11
a,NA,a3,VT,NA,NA,oxnard2020,mont12
ā,NA,a3,VT,NA,NA,alexander1988syntactic,ocot11
a,NA,a3,VT,NA,NA,daly1977mixteco,peno11
a,NA,a3,CVC,NA,NA,oxnard2020,pied12
a,NA,a3,VT,NA,NA,north1976gramatica,prog12
ā,NA,a3,VT,NA,NA,shields1988syntactic,prog12
a,NA,a3,VT,NA,NA,oxnard2020,tlah11
ā,NA,a3,VT,NA,NA,farris1992syntactic,yoso11
ā,NA,a3,VT,NA,NA,NA,NA
ā,NA,a3,V,NA,NA,NA,NA
an$,NA,ã3,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
ā̧,NA,ã3,V,NA,NA,"josserand1983mixtec,",alac11
ān$,NA,ã3,VT,NA,NA,zylstra1991syntactic,alac11
an$,NA,ã3,VT,NA,NA,alexander1980gramatica,atat11
ān$,NA,ã3,VT,NA,NA,hills1990syntactic,ayut11
an$,NA,ã3,VT,NA,NA,oxnard2020,bate11
ān$,NA,ã3,VT,NA,NA,pensinger1974diccionario,chay11
ān$,NA,ã3,VT,NA,NA,bradley1991preliminary,conc11
ān,NA,ã3,VT,NA,NA,kuiper1991syntactic,diux11
an$,NA,ã3,VT,NA,NA,hernandez2020san-martin,dura11
an$,NA,ã3,VT,NA,NA,oxnard2020,flor12
an$,NA,ã3,VT,NA,NA,dyk1965vocabulario,gran11
ān$,NA,ã3,VT,NA,NA,johnson1988syntactic,jami11
ā̢,NA,ã3,VT,NA,NA,bradley1970a-linguistic,jica11
ān,NA,ã3,VT,NA,NA,overholt1961tonemic,metl11
an,NA,ã3,VT,NA,NA,oxnard2020,mont12
ān$,NA,ã3,VT,NA,NA,alexander1988syntactic,ocot11
a̢,NA,ã3,VT,NA,NA,daly1977mixteco,peno11
an,NA,ã3,CVC,NA,NA,oxnard2020,pied12
an,NA,ã3,VT,NA,NA,north1976gramatica,prog12
ān,NA,ã3,VT,NA,NA,shields1988syntactic,prog12
an,NA,ã3,VT,NA,NA,oxnard2020,tlah11
ān,NA,ã3,VT,NA,NA,farris1992syntactic,yoso11
ā̧,NA,ã3,VT,NA,NA,NA,NA
ā̧,NA,ã3,V,NA,NA,NA,NA
ă,NA,a35,VT,NA,NA,daly1977mixteco,peno11
ă̢,NA,ã35,VT,NA,NA,daly1977mixteco,peno11
