LEXEME,IMPF,PFV,IRR
V046_kuniñu'u,ɕiniɲuʔu,iɕiniɲuʔu,kuniɲuʔu
V047_kua'nu,ɕaʔnu,iɕaʔnu,kuaʔnu
V048_kunii,kunii,ikunii,kunii
V049_koan,kiβi,ikiβi,koã
V050_ichi,it͡ʃi,iit͡ʃi,it͡ʃi
V051_tu'un,tuʔũ,ituʔũ,tuʔũ
V052_kasini,sisĩ,isisini,kasini
V053_suva'a,suβaʔa,isuβaʔa,suβaʔa
V054_ntikoo,ⁿdikoo,iⁿdikoo,ⁿdikoo
V055_kuni,ɕituⁿd͡ʑeʔe,iɕini,kuni
V056_kashi,ʃaʃi,iʃaʃi,kaʃi
V057_tashi,taʃi,itaʃi,taʃi
V058_sakuchi,sakut͡ʃi,isakut͡ʃi,sakut͡ʃi
V059_kuchi,ʃit͡ʃi,iʃit͡ʃi,kut͡ʃi
V060_kunani,nani,iɕinani,kunani
V061_saka,saka,isaka,saka
V062_chikaa,t͡ʃikaa,it͡ʃikaa,t͡ʃikaa
V063_kutxiya'a,kut͡ɕiʒaʔa,iɕikut͡ɕiʒaʔa,kut͡ɕiʒaʔa
V064_tava,taβa,itaβa,taβa
V065_ntikatxa,ⁿdikat͡ɕa,iⁿdikat͡ɕa,ⁿdikat͡ɕa
V066_koxoo,koɕoo,ikoɕoo,koɕoo
V067_taan,tãã,itãã,tãã
V068_ntova,ⁿdoβa,iⁿdoβa,ⁿdoβa
V069_kuñu'un,ɲuʔũ,iɕiɲuʔũ,kuɲuʔũ
V070_yakua,ʒakua,iʒakua,ʒakua
V071_nuna,nuna,inuna,nuna
V072_kuna,ɕuna,iɕuna,kuna
V073_kixa'a,kiɕaʔa,ikiɕaʔa,kiɕaʔa
V074_ntantoso,ⁿdaⁿdoso,iⁿdaⁿdoso,ⁿdaⁿdoso
V075_kuntxi'i,kuⁿd͡ʑiʔi,ikuⁿd͡ʑiʔi,kuⁿd͡ʑiʔi
V076_kotontoso,ɕitoⁿdoso,iɕitoⁿdoso,kotoⁿdoso
V077_kumani,kumani,ikumani,kumani
V078_kotoo,kotoo,ikotoo,kotoo
V079_kasun,kasũ,ikasũ,kasũ
V080_sakasun,sakasũ,isakasũ,sakasũ
V081_kutxaki,t͡ɕaki,iɕit͡ɕaki,kut͡ɕaki
V082_koo,ĩĩ,iɕoo,koo
V083_txe'i,t͡ɕeʔi,it͡ɕeʔi,t͡ɕeʔi
V084_kagua,kawa,ikawa,kawa
V085_ntataka,ⁿdataka,iⁿdataka,ⁿdataka
V086_santuvi,saⁿduβi,isaⁿduβi,saⁿduβi
V087_kuchuun,kut͡ʃũũ,ikut͡ʃũũ,kut͡ʃũũ
