LEXEME,microclasses,IMPF,PFV,IRR,SegClass,ToneClass
V108_kaxi,5,ɕa5ɕi5,i1ɕa3ɕi3,ka3ɕi3,B,1
V109_kee,5,ɕe5e5,i1ɕe3e3,ke3e3,B,1
V204_katxa,5,ɕa5t͡ɕa5,i1ɕa3t͡ɕa3,ka3t͡ɕa3,B,1
V034_ka'mi,12,ɕa5ʔmi3,i1ɕa3ʔmi3,ka3ʔmi3,B,1
V072_kuna,12,ɕu5na5,i1ɕu3na5,ku3na5,B,1
V212_ku'ni,12,ɕu5ʔni5,i1ɕu3ʔni5,ku3ʔni5,B,1
V322_katxa,12,ɕa5t͡ɕa3,i1ɕa3t͡ɕa3,ka3t͡ɕa3,B,1
V132_kuna,20,ɕu5na1,i1ɕu1na1,ku1na1,B,1
V290_ka'nu,20,ɕa5ʔnu1,i1ɕa1ʔnu1,ka1ʔnu1,B,1
V056_kashi,V056_kashi,ʃa5ʃi1,i1ʃa1ʃi1,ka1ʃi1,B,1
V288_koso,V288_koso,so5so1,i1so1so1,ko1so1,B,1
V321_kasi,V321_kasi,sa5si5,i1sa5si3,ka5si3,B,1
V002_kaka,re-assign,ɕi5ka3,i1ɕi1ka3,ka3ka3,B,3
V242_kakintxaa,V242_kakintxaa,ɕa3ki3ⁿd͡ʑa3a3,i1ɕa3ki3ⁿd͡ʑa3a3,ka3ki3ⁿd͡ʑa3a3,B,4
V001_kaxa'an,re-assign,ɕi5ɕa5ʔã3,i1ɕi1ɕa5ʔã3,ka3ɕa5ʔã3,B,3
V026_kuati,11,ɕa5ti3,i1ɕa3ti3,kʷa3ti3,C,1
V028_kua'a,11,ɕa5ʔa3,i1ɕa3ʔa3,kʷa3ʔa3,C,1
V047_kua'nu,11,ɕa5ʔnu3,i1ɕa3ʔnu3,kʷa3ʔnu3,C,1
V330_xiti,11,ɕi5ti3,i1ɕi3ti3,kʷi3ti3,C,1
V019_kuaki,16,ɕa5ki1,i1ɕa1ki1,kʷa1ki1,C,1
V107_kuixa,16,ɕi5ɕa3,i1ɕi1ɕa3,kʷi1ɕa3,C,1
V205_kuitxa,16,ɕi5t͡ɕa1,i1ɕi1t͡ɕa1,kʷi1t͡ɕa1,C,1
V036_kuiin,V036_kuiin,ɕĩ5ĩ3,i1ɕĩ3ĩ3,ku3ĩ3ĩ3,C,1
V113_kotoini,10,ɕi5to3i3ni3,i1ɕi3to3i3ni3,ko3to3i3ni3,D,1
V114_koto,10,ɕi5to3,i1ɕi3to3,ko3to3,D,1
V147_kunu,10,ɕi5nu3,i1ɕi3nu3,ku3nu3,D,1
V194_koko,10,ɕi5ko5,i1ɕi3ko5,ko3ko5,D,1
V027_kakan,V027_kakan,ɕi5kã1,i1ɕi1kã1,ka1kã1,D,1
V030_ko'o,V030_ko'o,ɕi5ʔi3,i1ɕi3ʔi3,ko3ʔo3,D,1
