LEXEME,microclasses,IMPF,PFV,IRR,SegClass,ToneClass
V183_ntani'i,1,ⁿda5ni3ʔi3,i1ⁿda3ni3ʔi3,ⁿda3ni3ʔi3,A,1
V184_ntativi,1,ⁿda5ti3βi3,i1ⁿda3ti3βi3,ⁿda3ti3βi3,A,1
V189_ntoo,1,ⁿdo5o3,i1ⁿdo3o3,ⁿdo3o3,A,1
V190_ntaki'in,1,ⁿda5ki3ʔĩ3,i1ⁿda3ki3ʔĩ3,ⁿda3ki3ʔĩ3,A,1
V191_ni'i,1,ni5ʔi3,i1ni3ʔi3,ni3ʔi3,A,1
V195_tivi,1,ti5βi3,i1ti3βi3,ti3βi3,A,1
V198_kaa,1,ka5a3,i1ka3a3,ka3a3,A,1
V201_ntañuu,1,ⁿda5ɲu3u3,i1ⁿda3ɲu3u3,ⁿda3ɲu3u3,A,1
V206_yakun,1,ʒa5kũ5,i1ʒa3kũ5,ʒa3kũ5,A,1
V208_nañu,1,na5ɲu3,i1na3ɲu3,na3ɲu3,A,1
V209_nuntxa'a,1,nu5ⁿd͡ʑa3ʔa3,i1nu3ⁿd͡ʑa3ʔa3,nu3ⁿd͡ʑa3ʔa3,A,1
V210_ntiku'unini,1,ⁿdi5ku3ʔu3ni3ni3,i1ⁿdi3ku3ʔu3ni3ni3,ⁿdi3ku3ʔu3ni3ni3,A,1
V214_yata,1,ʒa5ta3,i1ʒa3ta3,ʒa3ta3,A,1
V218_chikava'a,1,t͡ʃi5ka1βa1ʔa3,i1t͡ʃi3ka1βa1ʔa3,t͡ʃi3ka1βa1ʔa3,A,1
V222_chikili,1,t͡ʃi5ki1li5,i1t͡ʃi3ki1li5,t͡ʃi3ki1li5,A,1
V227_kuva'a,1,ku5βa1ʔa3,i1ku3βa1ʔa3,ku3βa1ʔa3,A,1
V230_ka'a,1,ka5ʔa3,i1ka3ʔa3,ka3ʔa3,A,1
V233_ntakaxi,1,ⁿda5ka1ɕi3,i1ⁿda3ka1ɕi3,ⁿda3ka1ɕi3,A,1
V234_txaa,1,t͡ɕa5a3,i1t͡ɕa3a3,t͡ɕa3a3,A,1
V244_kavanuu,1,ka5βa3nu5u5,i1ka3βa3nu5u5,ka3βa3nu5u5,A,1
V245_ntisaka,1,ⁿdi5sa3ka3,i1ⁿdi3sa3ka3,ⁿdi3sa3ka3,A,1
V248_ntxikokoo,1,ⁿd͡ʑi5ko3ko1o3,i1ⁿd͡ʑi3ko3ko1o3,ⁿd͡ʑi3ko3ko1o3,A,1
V252_kuita,1,kʷi5ta5,i1kʷi3ta5,kʷi3ta5,A,1
V255_sana,1,sa5na3,i1sa3na3,sa3na3,A,1
V256_ntatava,1,ⁿda5ta3βa3,i1ⁿda3ta3βa3,ⁿda3ta3βa3,A,1
V257_chintxaa,1,t͡ʃi5ⁿd͡ʑa3a3,i1t͡ʃi3ⁿd͡ʑa3a3,t͡ʃi3ⁿd͡ʑa3a3,A,1
V258_xixin,1,ɕi5ɕĩ3,i1ɕi3ɕĩ3,ɕi3ɕĩ3,A,1
V262_kuntxitxa,1,ku5ⁿd͡ʑi3t͡ɕa1,i1ku3ⁿd͡ʑi3t͡ɕa1,ku3ⁿd͡ʑi3t͡ɕa1,A,1
V263_numi,1,nu5mi3,i1nu3mi3,nu3mi3,A,1
V266_ntasaa,1,ⁿda5sa1a1,i1ⁿda3sa1a1,ⁿda3sa1a1,A,1
V268_tana,1,ta5na3,i1ta3na3,ta3na3,A,1
V269_txañu,1,t͡ɕa5ɲu3,i1t͡ɕa3ɲu3,t͡ɕa3ɲu3,A,1
V272_ntakasi,1,ⁿda5ka3si3,i1ⁿda3ka3si3,ⁿda3ka3si3,A,1
V275_ntiko'o,1,ⁿdi5ko3ʔo3,i1ⁿdi3ko3ʔo3,ⁿdi3ko3ʔo3,A,1
V281_ntachikaa,1,ⁿda5t͡ʃi3ka1a1,i1ⁿda3t͡ʃi3ka1a1,ⁿda3t͡ʃi3ka1a1,A,1
V282_nta'ava,1,ⁿda5ʔa3βa3,i1ⁿda3ʔa3βa3,ⁿda3ʔa3βa3,A,1
V284_ntikua'a,1,ⁿdi5kʷa1ʔa3,i1ⁿdi3kʷa1ʔa3,ⁿdi3kʷa1ʔa3,A,1
V285_kunaa,1,ku5na3a3,i1ku3na3a3,ku3na3a3,A,1
V286_ñani,1,ɲa5ni5,i1ɲa3ni5,ɲa3ni5,A,1
V289_titi,1,ti5ti5,i1ti3ti5,ti3ti5,A,1
V294_shatxa,1,ʃa5t͡ɕa5,i1ʃa3t͡ɕa5,ʃa3t͡ɕa5,A,1
V295_chichi,1,t͡ʃi5t͡ʃi5,i1t͡ʃi3t͡ʃi5,t͡ʃi3t͡ʃi5,A,1
V296_ntaxin,1,ⁿda5ɕĩ3,i1ⁿda3ɕĩ3,ⁿda3ɕĩ3,A,1
V302_ka'vi,1,ka5ʔβi3,i1ka3ʔβi3,ka3ʔβi3,A,1
V303_kata,1,ka5ta5,i1ka3ta5,ka3ta5,A,1
V304_kuun,1,kũ5ũ3,i1kũ3ũ3,kũ3ũ3,A,1
V305_kisi,1,ki5si3,i1ki3si3,ki3si3,A,1
V309_kuchuun,1,ku5t͡ʃũ3ũ3,i1ku3t͡ʃũ3ũ3,ku3t͡ʃũ3ũ3,A,1
V312_nana,1,na5na3,i1na3na3,na3na3,A,1
V315_ntxitxa,1,ⁿd͡ʑi5t͡ɕa3,i1ⁿd͡ʑi3t͡ɕa3,ⁿd͡ʑi3t͡ɕa3,A,1
V318_kuyatxi,1,ku5ʒa3t͡ɕi3,i1ku3ʒa3t͡ɕi3,ku3ʒa3t͡ɕi3,A,1
V323_kuchishi,1,ku5t͡ʃi5ʃi5,i1ku3t͡ʃi5ʃi5,ku3t͡ʃi5ʃi5,A,1
V324_ntichishi,1,ⁿdi5t͡ʃi5ʃi5,i1ⁿdi3t͡ʃi5ʃi5,ⁿdi3t͡ʃi5ʃi5,A,1
V326_kukiniini,1,ku5ki3ni3i3ni3,i1ku3ki3ni3i3ni3,ku3ki3ni3i3ni3,A,1
V004_ka'an,2,ka5ʔã1,i1ka1ʔã1,ka1ʔã1,A,1
V006_txiin,2,t͡ɕĩ5ĩ3,i1t͡ɕĩ1ĩ3,t͡ɕĩ1ĩ3,A,1
V009_kikin,2,ki5kĩ3,i1ki1kĩ3,ki1kĩ3,A,1
