"LEXEME","IMPF","PFV","IRR"
"72","V072_kuna","55","135","35"
"73","V073_kixa'a","335","1135","355"
"74","V074_ntantoso","555","1355","355"
"75","V075_kuntxi'i","511","1311","311"
"76","V076_kotontoso","5333","11333","3333"
"77","V077_kumani","531","1331","331"
"78","V078_kotoo","335","1355","355"
"79","V079_kasun","55","133","33"
"80","V080_sakasun","533","1533","533"
"81","V081_kutxaki","55","1133","333"
"82","V082_koo","53","113","33"
"83","V083_txe'i","55","111","11"
"84","V084_kagua","51","111","11"
"85","V085_ntataka","533","1333","333"
"86","V086_santuvi","533","1333","533"
"87","V087_kuchuun","353","1353","353"
"88","V088_ntiki","55","135","35"
"89","V089_saka'a","333","1133","133"
"90","V090_ntika'nu","553","1353","353"
"91","V091_kachi","55","133","33"
"92","V092_ntachinuu","5355","13353","3353"
"93","V093_santoko","533","1533","533"
"94","V094_kotuntxe'e","55","11335","3335"
"95","V095_ntiyaa","511","1111","111"
"96","V096_txitxiin","513","1313","313"
"97","V097_txiin","53","113","13"
"98","V098_kunti'i","531","1131","331"
"99","V099_nu'un","11","111","11"
"100","V100_ntake'e","535","1333","333"
"101","V101_taan","55","133","33"
"102","V102_ku'un","311","111","11"
"103","V103_ntikue'e","311","13311","3311"
"104","V104_ntxi'i","53","133","33"
"105","V105_tivi","53","113","13"
"106","V106_ka'mu","53","113","13"
"107","V107_kuixa","53","113","313"
"108","V108_kaxi","55","133","33"
"109","V109_kee","55","133","33"
"110","V110_ke'e","55","135","35"
"111","V111_xani","55","115","15"
"112","V112_kusiiini","53133","131133","31133"
"113","V113_kotoini","5333","13333","3333"
"114","V114_koto","53","133","33"
"115","V115_nto'o","53","133","33"
"116","V116_ntikua'a","3311","13311","3311"
"117","V117_kotoni'ni","5333","11133","1133"
"118","V118_ntakan","51","131","31"
"119","V119_ntakatu'un","5315","13315","3315"
"120","V120_kana","53","133","33"
"121","V121_chintxee","535","1135","135"
"122","V122_ki'in","33","133","33"
"123","V123_txatxa","55","113","13"
"124","V124_nuu","53","133","33"
"125","V125_nuuse'e","5333","13333","3333"
"126","V126_keta","53","113","13"
"127","V127_koyo","53","133","33"
"128","V128_xaa","51","111","11"
"129","V129_satatan","555","1555","555"
"130","V130_kini","55","135","35"
"131","V131_ntashita","515","1315","315"
"132","V132_kuna","51","111","11"
"133","V133_kukumi","55","1135","335"
"134","V134_tavi","53","133","33"
"135","V135_si'vi","55","135","35"
"136","V136_ntava","53","133","33"
"137","V137_kani'i","533","1333","333"
"138","V138_chiñu'u","355","1355","355"
"139","V139_kataxa'a","3355","11355","3355"
"140","V140_ki'vi","53","113","13"
"141","V141_kukii","55","1133","333"
"142","V142_ntakatxa","533","1333","333"
"143","V143_katun","51","111","11"
"144","V144_ntikaxi","555","1355","355"
"145","V145_txivintxaa","5333","13333","3333"
"146","V146_ntakoto","533","1333","333"
"147","V147_kunu","53","133","33"
"148","V148_chinii","533","1333","333"
"149","V149_kutaka","533","1333","333"
"150","V150_kataka","533","1333","333"
"151","V151_ntata","55","135","35"
"152","V152_kuya'a","55","1355","355"
"153","V153_ntikua'a","355","13355","3355"
"154","V154_ntasi","55","1133","333"
"155","V155_soo","53","133","33"
"156","V156_kuntaa","53","1113","313"
"157","V157_kantxaa","533","1333","333"
"158","V158_ya'a","53","133","33"
"159","V159_ntixaa","515","1315","315"
"160","V160_txaso'o","513","1313","313"
"161","V161_ntuta'an","533","1333","333"
"162","V162_kutuntxe'e","3335","11335","3333"
"163","V163_chintoo","533","1333","333"
"164","V164_chitivintxaa","33133","133333","33333"
"165","V165_koso","53","133","33"
"166","V166_vaxi","13","133","33"
"167","V167_tanta'a","531","1331","331"
"168","V168_ka'an","55","135","35"
"169","V169_sa'antxiva'a","53531","153531","53533"
"170","V170_kanii","533","1333","333"
