IMPF,"('PFV', 'IRR')",Class
ka5t͡ʃi5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5t͡ʃi3nu5u5,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ⁿdo3ko3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdi5ʒa1a1,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ɕi5t͡ɕĩ1ĩ3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ɕĩ5ĩ3_2,i1 ⇌  / _X*[+syll][1-3-5],1
nu1ʔũ1,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ke3ʔe5,i1 ⇌  / _X*[+syll][1-3-5],1
tã5ã5,i1 ⇌  / _X*[+syll][1-3-5],1
kʷe1ʔe1,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿd͡ʑi5ʔi3,i1 ⇌  / _X*[+syll][1-3-5],1
ti5βi3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ʔmu3,i1 ⇌  / _X*[+syll][1-3-5],1
ke5ʔe5,i1 ⇌  / _X*[+syll][1-3-5],1
ɕa5ni5,i1 ⇌  / _X*[+syll][1-3-5],1
ku5si3i1i3ni3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdo5ʔo3,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿdi3kʷa1ʔa1,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5kã1,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ka3tu1ʔũ5,i1 ⇌  / _X*[+syll][1-3-5],1
ka5na3_2,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ʃi5ⁿd͡ʑe3e5,i1 ⇌  / _X*[+syll][1-3-5],1
ki3ʔĩ3,i1 ⇌  / _X*[+syll][1-3-5],1
t͡ɕa5t͡ɕa5,i1 ⇌  / _X*[+syll][1-3-5],1
nu5u3,i1 ⇌  / _X*[+syll][1-3-5],1
nu5u3se3ʔe3,i1 ⇌  / _X*[+syll][1-3-5],1
ke5ta3,i1 ⇌  / _X*[+syll][1-3-5],1
ko5ʒo3,i1 ⇌  / _X*[+syll][1-3-5],1
ɕa5a1,i1 ⇌  / _X*[+syll][1-3-5],1
sa5ta5tã5,i1 ⇌  / _X*[+syll][1-3-5],1
ki5ni5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5ʃi1ta5,i1 ⇌  / _X*[+syll][1-3-5],1
ta5βi3,i1 ⇌  / _X*[+syll][1-3-5],1
si5ʔβi5,i1 ⇌  / _X*[+syll][1-3-5],1
ⁿda5βa3,i1 ⇌  / _X*[+syll][1-3-5],1
ka5ni3ʔi3,i1 ⇌  / _X*[+syll][1-3-5],1
